Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dhekiajuli,05/03/2019,5,Local,700,800,800,
Dhekiajuli,27/03/2019,3.5,Local,700,800,800,
Dhekiajuli,28/03/2019,3.5,Local,700,800,800,
Dhing,02/03/2019,150,Local,800,1050,900,
Dhing,05/03/2019,100,Local,700,900,800,
Dhing,06/03/2019,120,Local,700,950,800,
Dhing,08/03/2019,110,Local,700,1000,850,
Dhing,10/03/2019,140,Local,800,1000,900,
Dhing,14/03/2019,130,Local,700,1000,800,
Dhing,15/03/2019,120,Local,700,1000,800,
Dhing,17/03/2019,140,Local,700,1000,800,
Dhing,20/03/2019,160,Local,600,1000,800,
Dhing,27/03/2019,150,Local,600,800,700,
Dhing,28/03/2019,130,Local,700,850,800,
Dhing,29/03/2019,130,Local,700,900,800,
Dhing,30/03/2019,140,Local,700,850,800,
Dibrugarh,06/03/2019,9.8,Local,900,1100,950,
Dibrugarh,07/03/2019,6.7,Local,900,1100,950,
Dibrugarh,08/03/2019,4.7, ,NR,NR,NR,
Dibrugarh,09/03/2019,5.1,Local,900,1100,950,
Dibrugarh,10/03/2019,3.8,Local,900,1100,950,
Dibrugarh,11/03/2019,4.8,Local,900,1100,950,
Dibrugarh,12/03/2019,3.7,Local,900,1100,950,
Dibrugarh,13/03/2019,7.4,Local,900,1100,950,
Dibrugarh,14/03/2019,6.3,Local,500,700,600,
Dibrugarh,15/03/2019,4.6,Local,500,700,600,
Dibrugarh,16/03/2019,3.6,Local,500,700,600,
Dibrugarh,17/03/2019,8.5,Local,500,700,600,
Dibrugarh,18/03/2019,5.9,Local,500,700,600,
Dibrugarh,19/03/2019,6.3,Local,500,700,600,
Dibrugarh,20/03/2019,7.7,Local,500,700,600,
Dibrugarh,21/03/2019,3.8,Local,500,700,600,
Dibrugarh,22/03/2019,4.6,Local,500,700,600,
Dibrugarh,23/03/2019,13.8,Local,500,700,600,
Dibrugarh,24/03/2019,6.4,Local,500,700,600,
Dibrugarh,25/03/2019,4.4,Local,500,700,600,
Dibrugarh,26/03/2019,4.1,Local,500,700,600,
Dibrugarh,27/03/2019,5.7,Local,500,700,600,
Dibrugarh,28/03/2019,7.7,Local,500,700,600,
Dibrugarh,29/03/2019,5.6,Local,500,700,600,
Dibrugarh,30/03/2019,6.4,Local,500,700,600,
Dibrugarh,31/03/2019,8.5,Local,500,700,600,
Howly,01/03/2019,60,Local,400,500,450,
Howly,04/03/2019,40,Local,400,550,500,
Howly,05/03/2019,38,Local,450,550,500,
Howly,06/03/2019,38,Local,450,550,500,
Howly,07/03/2019,36,Local,450,550,500,
Howly,08/03/2019,40,Local,450,540,500,
Howly,11/03/2019,20,Local,450,500,475,
Howly,12/03/2019,45,Local,450,500,475,
Howly,13/03/2019,70,Local,500,550,500,
Howly,14/03/2019,80,Local,700,750,730,
Howly,15/03/2019,50,Local,700,750,730,
Howly,16/03/2019,30,Local,400,500,450,
Howly,18/03/2019,50,Local,400,500,450,
Jorhat,01/03/2019,150,Potato,450,520,500,
Jorhat,02/03/2019,180,Potato,450,500,480,
Jorhat,03/03/2019,100,Potato,450,520,500,
Jorhat,04/03/2019,180,Potato,500,580,550,
Jorhat,05/03/2019,160,Potato,500,580,550,
Jorhat,06/03/2019,150,Potato,500,580,550,
Jorhat,07/03/2019,180,Potato,600,650,620,
Jorhat,08/03/2019,160,Potato,600,650,620,
Jorhat,09/03/2019,150,Potato,650,700,680,
Jorhat,10/03/2019,140,Potato,650,700,680,
Jorhat,11/03/2019,160,Potato,680,750,700,
Jorhat,12/03/2019,140,Potato,650,700,680,
Jorhat,13/03/2019,150,Potato,620,680,650,
Jorhat,14/03/2019,160,Potato,600,650,620,
Kharupetia,01/03/2019,4.5,Badshah,600,700,650,
Kharupetia,02/03/2019,4,Badshah,600,700,650,
Kharupetia,04/03/2019,4,Badshah,600,700,650,
Kharupetia,05/03/2019,4,Badshah,600,700,650,
Kharupetia,06/03/2019,4.5,Badshah,700,800,750,
Kharupetia,07/03/2019,4,Badshah,600,700,650,
Kharupetia,08/03/2019,4.5,Badshah,600,700,650,
Kharupetia,12/03/2019,4,Badshah,600,700,650,
Kharupetia,20/03/2019,4,Badshah,600,700,650,
Kharupetia,25/03/2019,4,Badshah,600,700,650,
Kharupetia,26/03/2019,3.5,Badshah,700,800,750,
Kharupetia,27/03/2019,4,Badshah,700,800,750,
Kharupetia,28/03/2019,3,Badshah,600,700,650,
P.O. Uparhali Guwahati,01/03/2019,24,Potato,500,600,550,
P.O. Uparhali Guwahati,04/03/2019,25,Potato,500,600,550,
P.O. Uparhali Guwahati,05/03/2019,20,Potato,500,600,550,
P.O. Uparhali Guwahati,07/03/2019,24,Potato,500,600,550,
P.O. Uparhali Guwahati,09/03/2019,22.5,Potato,500,600,550,
P.O. Uparhali Guwahati,13/03/2019,24,Potato,600,700,650,
P.O. Uparhali Guwahati,14/03/2019,25.5,Potato,550,650,600,
P.O. Uparhali Guwahati,18/03/2019,24.5,Potato,550,650,600,
P.O. Uparhali Guwahati,19/03/2019,24,Potato,550,650,600,
P.O. Uparhali Guwahati,26/03/2019,24.5,Potato,550,650,600,
P.O. Uparhali Guwahati,27/03/2019,24.6,Potato,500,600,550,
P.O. Uparhali Guwahati,29/03/2019,30,Potato,600,700,650,
Pamohi(Garchuk),02/03/2019,120,Potato,550,650,600,
Pamohi(Garchuk),04/03/2019,150,Potato,600,750,700,
Pamohi(Garchuk),05/03/2019,180,Potato,600,750,700,
Pamohi(Garchuk),06/03/2019,150,Potato,550,750,650,
Pamohi(Garchuk),08/03/2019,80,Potato,700,800,750,
Pamohi(Garchuk),12/03/2019,180,Potato,650,750,700,
Pamohi(Garchuk),13/03/2019,160,Potato,650,750,700,
Pamohi(Garchuk),14/03/2019,150,Potato,650,750,700,
Pamohi(Garchuk),15/03/2019,180,Potato,650,750,700,
Pamohi(Garchuk),18/03/2019,150,Potato,650,750,700,
Pamohi(Garchuk),19/03/2019,150,Potato,600,800,700,
Pamohi(Garchuk),20/03/2019,150,Potato,600,800,700,
Pamohi(Garchuk),25/03/2019,160,Potato,600,800,700,
Pamohi(Garchuk),26/03/2019,160,Potato,600,800,700,
Pamohi(Garchuk),27/03/2019,180,Potato,600,800,700,
Pamohi(Garchuk),28/03/2019,200,Potato,600,800,700,
Pamohi(Garchuk),30/03/2019,150,Potato,600,800,700,
