Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Durg,01/08/2018,12,Other,1300,1500,1400,
Durg,02/08/2018,11,Other,1200,1600,1400,
Durg,03/08/2018,14,Other,1400,1600,1500,
Durg,04/08/2018,12,Other,1200,1600,1400,
Durg,05/08/2018,14,Other,1400,1600,1500,
Durg,07/08/2018,15,Other,1200,1600,1400,
Durg,08/08/2018,13,Other,1500,1700,1600,
Durg,09/08/2018,11,Other,1400,1600,1500,
Durg,10/08/2018,12,Other,1200,1600,1400,
Durg,11/08/2018,9,Other,1400,1600,1500,
Durg,12/08/2018,8,Other,1200,1600,1400,
Durg,14/08/2018,8,Other,1200,1600,1400,
Durg,16/08/2018,7,Other,1400,1600,1500,
Durg,17/08/2018,6,Other,1000,1500,1250,
Durg,18/08/2018,7,Other,1500,1700,1600,
Durg,19/08/2018,8,Other,1500,1700,1600,
Durg,21/08/2018,10,Other,1600,1700,1650,
Durg,23/08/2018,12,Other,1600,1800,1700,
Durg,24/08/2018,14,Other,1200,1600,1400,
Durg,25/08/2018,12,Other,1600,1800,1700,
Durg,26/08/2018,7,Other,1500,1700,1600,
Durg,28/08/2018,15,Other,1600,1800,1700,
Durg,29/08/2018,13,Other,1400,1600,1500,
Durg,30/08/2018,12,Other,1500,1700,1600,
Durg,31/08/2018,10,Other,1200,1600,1400,
Raigarh,02/08/2018,43,Other,1200,1300,1200,
Raigarh,03/08/2018,153,Other,1200,1300,1200,
Raigarh,04/08/2018,106,Other,1200,1300,1200,
Raigarh,05/08/2018,46,Other,1200,1300,1200,
Raigarh,06/08/2018,86,Other,1200,1300,1200,
Raigarh,07/08/2018,40,Other,1200,1350,1250,
Raigarh,08/08/2018,46,Other,1200,1300,1200,
Raigarh,09/08/2018,64,Other,1250,1350,1250,
Raigarh,10/08/2018,47,Other,1200,1300,1200,
Raigarh,11/08/2018,158,Other,1200,1300,1200,
Raigarh,12/08/2018,87,Other,1200,1300,1200,
Raigarh,13/08/2018,72,Other,1200,1300,1200,
Raigarh,14/08/2018,46,Other,1300,1400,1350,
Raigarh,15/08/2018,25,Other,1300,1400,1300,
Raigarh,16/08/2018,66,Other,1300,1400,1300,
Raigarh,17/08/2018,87,Other,1350,1400,1350,
Raigarh,18/08/2018,60,Other,1250,1350,1250,
Raigarh,19/08/2018,76,Other,1350,1400,1350,
Raigarh,20/08/2018,43,Other,1300,1400,1300,
Raigarh,21/08/2018,66,Other,1300,1400,1300,
Raigarh,22/08/2018,21,Other,1200,1300,1200,
Raigarh,23/08/2018,63,Other,1200,1300,1200,
Raigarh,24/08/2018,87,Other,1300,1400,1300,
Raigarh,25/08/2018,43,Other,1250,1300,1250,
Raigarh,26/08/2018,45,Other,1200,1300,1200,
Raigarh,27/08/2018,25,Other,1200,1300,1200,
Raigarh,29/08/2018,50,Other,1300,1400,1300,
Raigarh,30/08/2018,40,Other,1100,1200,1100,
Raigarh,31/08/2018,43,Other,1200,1300,1200,
Rajnandgaon,03/08/2018,7.5,Potato,1600,1600,1600,
Rajnandgaon,04/08/2018,7,Potato,1500,1500,1500,
Rajnandgaon,05/08/2018,7.5,Potato,1500,1500,1500,
Rajnandgaon,07/08/2018,8,Potato,1500,1500,1500,
Rajnandgaon,08/08/2018,4,Potato,1500,1500,1500,
Rajnandgaon,11/08/2018,10,Potato,1500,1500,1500,
Rajnandgaon,14/08/2018,7.5,Potato,1600,1600,1600,
Rajnandgaon,17/08/2018,6,Potato,1200,1200,1200,
Rajnandgaon,18/08/2018,3.5,Potato,1300,1300,1300,
Rajnandgaon,21/08/2018,2.5,Potato,1200,1200,1200,
Rajnandgaon,22/08/2018,6,Potato,1300,1300,1300,
Rajnandgaon,23/08/2018,4,Potato,1400,1400,1400,
Rajnandgaon,24/08/2018,5,Potato,1400,1400,1400,
Rajnandgaon,25/08/2018,2.5,Potato,1400,1400,1400,
Rajnandgaon,26/08/2018,7,Potato,1500,1500,1500,
Rajnandgaon,29/08/2018,5,Potato,1300,1300,1300,
Rajnandgaon,30/08/2018,10,Potato,1300,1300,1300,
Tiphra,02/08/2018,60,Other,1600,1800,1700,
Tiphra,03/08/2018,62,Other,1600,1800,1700,
Tiphra,04/08/2018,60,Other,1500,1800,1700,
Tiphra,05/08/2018,42,Other,1600,1800,1750,
Tiphra,06/08/2018,60,Other,1500,1800,1600,
Tiphra,07/08/2018,70,Other,1200,1700,1300,
Tiphra,08/08/2018,60,Other,1100,1700,1500,
Tiphra,09/08/2018,68,Other,1200,1700,1400,
Tiphra,10/08/2018,61,Other,1100,1400,1200,
Tiphra,12/08/2018,55,Other,1200,1400,1300,
Tiphra,13/08/2018,61,Other,1300,1500,1400,
Tiphra,14/08/2018,53,Other,1200,1400,1300,
Tiphra,15/08/2018,58,Other,1300,1500,1400,
Tiphra,16/08/2018,60,Other,1300,1700,1500,
Tiphra,17/08/2018,80,Other,1200,1400,1300,
Tiphra,18/08/2018,75,Other,1300,1400,1350,
Tiphra,19/08/2018,40,Other,1400,1600,1500,
Tiphra,20/08/2018,50,Other,1300,1500,1400,
Tiphra,21/08/2018,52,Other,1200,1600,1400,
Tiphra,22/08/2018,50,Other,1300,1600,1400,
Tiphra,23/08/2018,48,Other,1300,1600,1400,
Tiphra,24/08/2018,50,Other,1000,1400,1200,
Tiphra,25/08/2018,55,Other,900,1200,1100,
Tiphra,27/08/2018,50,Other,900,1300,1100,
Tiphra,28/08/2018,52,Other,1000,1300,1200,
Tiphra,29/08/2018,52,Other,900,1200,1100,
Tiphra,30/08/2018,50,Other,1000,1300,1200,
