Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Durg,01/11/2018,7, ,NR,NR,NR,
Durg,02/11/2018,5, ,NR,NR,NR,
Durg,03/11/2018,5,Other,1400,1600,1500,
Durg,04/11/2018,8,Other,1400,1600,1500,
Durg,06/11/2018,10,Other,1200,1600,1400,
Durg,07/11/2018,8,Other,1400,1600,1500,
Durg,10/11/2018,7,Other,1200,1600,1400,
Durg,11/11/2018,8,Other,1400,1600,1500,
Durg,13/11/2018,10,Other,1200,1400,1300,
Durg,14/11/2018,11,Other,1500,1700,1600,
Durg,15/11/2018,10,Other,1600,1800,1700,
Durg,16/11/2018,8,Other,1400,1800,1600,
Durg,17/11/2018,7,Other,1600,1800,1700,
Durg,18/11/2018,9,Other,1500,1700,1600,
Durg,20/11/2018,11,Other,1600,1800,1700,
Durg,21/11/2018,10,Other,1400,1800,1600,
Durg,22/11/2018,8,Other,1400,1600,1500,
Durg,23/11/2018,7,Other,1200,1600,1400,
Durg,24/11/2018,5,Other,1400,1600,1500,
Durg,25/11/2018,8,Other,1200,1600,1400,
Durg,27/11/2018,10,Other,1400,1600,1500,
Durg,28/11/2018,8,Other,1200,1600,1400,
Durg,29/11/2018,7,Other,1400,1800,1600,
Durg,30/11/2018,6,Other,1600,1800,1700,
Raigarh,01/11/2018,20, ,NR,NR,NR,
Raigarh,02/11/2018,109, ,NR,NR,NR,
Raigarh,03/11/2018,40,Other,1300,1400,1300,
Raigarh,04/11/2018,71,Other,1350,1400,1350,
Raigarh,05/11/2018,20,Other,1300,1400,1300,
Raigarh,07/11/2018,77,Other,1300,1400,1300,
Raigarh,08/11/2018,65,Other,1300,1400,1300,
Raigarh,09/11/2018,117,Other,1350,1400,1350,
Raigarh,10/11/2018,73,Other,1300,1400,1300,
Raigarh,11/11/2018,50,Other,1400,1500,1400,
Raigarh,12/11/2018,55,Other,1300,1400,1300,
Raigarh,13/11/2018,75,Other,1350,1400,1350,
Raigarh,14/11/2018,46,Other,1300,1400,1300,
Raigarh,15/11/2018,116,Other,1300,1400,1300,
Raigarh,16/11/2018,111,Other,1300,1450,1300,
Raigarh,17/11/2018,44,Other,1350,1400,1350,
Raigarh,18/11/2018,50,Other,1300,1400,1300,
Raigarh,19/11/2018,93,Other,1300,1400,1300,
Raigarh,20/11/2018,45,Other,1300,1400,1300,
Raigarh,21/11/2018,52,Other,1200,1300,1200,
Raigarh,22/11/2018,45,Other,1300,1400,1300,
Raigarh,23/11/2018,45,Other,1200,1300,1200,
Raigarh,24/11/2018,47,Other,1100,1200,1100,
Raigarh,25/11/2018,65,Other,1000,1100,1000,
Raigarh,26/11/2018,118,Other,1000,1100,1000,
Raigarh,27/11/2018,71,Other,900,1000,900,
Raigarh,28/11/2018,113,Other,900,1000,900,
Raigarh,29/11/2018,89,Other,800,900,800,
Raigarh,30/11/2018,78,Other,900,1000,900,
Rajnandgaon,01/11/2018,5,Potato,1400,1400,1400,
Rajnandgaon,02/11/2018,5, ,NR,NR,NR,
Rajnandgaon,03/11/2018,5, ,NR,NR,NR,
Rajnandgaon,07/11/2018,5,Potato,1500,1500,1500,
Rajnandgaon,10/11/2018,10,Potato,1600,1600,1600,
Rajnandgaon,11/11/2018,5,Potato,1600,1600,1600,
Rajnandgaon,13/11/2018,4.5,Potato,1500,1500,1500,
Rajnandgaon,14/11/2018,10,Potato,1400,1400,1400,
Rajnandgaon,15/11/2018,5, ,NR,NR,NR,
Rajnandgaon,16/11/2018,5, ,NR,NR,NR,
Rajnandgaon,17/11/2018,6,Potato,1400,1400,1400,
Rajnandgaon,18/11/2018,9,Potato,1400,1400,1400,
Rajnandgaon,20/11/2018,5,Potato,1500,1500,1500,
Rajnandgaon,21/11/2018,5.5,Potato,1500,1500,1500,
Rajnandgaon,22/11/2018,7,Potato,1500,1500,1500,
Rajnandgaon,23/11/2018,10,Potato,1500,1500,1500,
Rajnandgaon,24/11/2018,10,Potato,1300,1300,1300,
Rajnandgaon,25/11/2018,5,Potato,1300,1300,1300,
Rajnandgaon,27/11/2018,5.5,Potato,1000,1000,1000,
Rajnandgaon,28/11/2018,10,Potato,1200,1200,1200,
Rajnandgaon,29/11/2018,10,Potato,1000,1000,1000,
Rajnandgaon,30/11/2018,5,Potato,1000,1000,1000,
Tiphra,02/11/2018,80, ,NR,NR,NR,
Tiphra,03/11/2018,70, ,NR,NR,NR,
Tiphra,04/11/2018,85,Other,1400,1900,1700,
Tiphra,05/11/2018,73,Other,1500,1700,1600,
Tiphra,06/11/2018,70,Other,1500,1800,1600,
Tiphra,07/11/2018,40,Other,1600,1800,1700,
