Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhuntar,01/03/2020,0.8, ,NR,NR,NR,
Bhuntar,02/03/2020,0.7, ,NR,NR,NR,
Bhuntar,03/03/2020,0.7,Other,1700,1900,1750,
Bhuntar,04/03/2020,1,Other,1900,2000,1950,
Bhuntar,05/03/2020,0.9,Other,1900,2000,1950,
Bhuntar,06/03/2020,1.5,Other,1800,2000,1900,
Bhuntar,08/03/2020,1,Other,1900,2000,1950,
Bhuntar,09/03/2020,0.4,Other,1800,2000,1900,
Bhuntar,10/03/2020,0.4,Other,1700,2000,1900,
Bhuntar,11/03/2020,0.4,Other,1400,2100,1800,
Bhuntar,12/03/2020,0.4,Other,1900,2100,2000,
Bhuntar,15/03/2020,0.9,Other,1800,2000,1900,
Bhuntar,16/03/2020,1,Other,2000,2100,2050,
Bhuntar,17/03/2020,0.9,Other,2000,2100,2050,
Bhuntar,18/03/2020,0.8,Other,1900,2000,1950,
Bhuntar,19/03/2020,0.9,Other,2000,2100,2050,
Bhuntar,20/03/2020,0.6,Other,2000,2100,2050,
Bhuntar,24/03/2020,1,Other,2100,2200,2150,
Bhuntar,29/03/2020,1.3,Other,2000,2800,2500,
Bhuntar,30/03/2020,1.5,Other,2400,2500,2450,
Bhuntar,31/03/2020,1.2,Other,2300,2400,2350,
Bilaspur,02/03/2020,2.1, ,NR,NR,NR,
Bilaspur,03/03/2020,2.2, ,NR,NR,NR,
Bilaspur,04/03/2020,2.4,Other,1100,1600,1400,
Bilaspur,05/03/2020,2.4,Other,1100,1600,1300,
Bilaspur,06/03/2020,2.1,Other,1200,1700,1500,
Bilaspur,07/03/2020,2.3,Other,1400,1800,1600,
Bilaspur,11/03/2020,2.2,Other,1100,1700,1400,
Bilaspur,12/03/2020,2.4,Other,1600,2000,1800,
Bilaspur,14/03/2020,1.7,Other,1200,2300,1500,
Bilaspur,16/03/2020,2.2,Other,1700,2200,1900,
Bilaspur,17/03/2020,1.8,Other,1800,2200,1900,
Bilaspur,18/03/2020,2.1,Other,1800,2300,2100,
Bilaspur,19/03/2020,1.8,Other,1800,2200,1900,
Bilaspur,20/03/2020,2.1,Other,1800,2300,1900,
Bilaspur,21/03/2020,2.1,Other,1800,2200,2100,
Bilaspur,31/03/2020,15,Other,2300,2700,2400,
Chamba,02/03/2020,2.65, ,NR,NR,NR,
Chamba,03/03/2020,2.7, ,NR,NR,NR,
Chamba,04/03/2020,7.5,Other,400,600,500,
Chamba,05/03/2020,3,Other,300,500,400,
Chamba,06/03/2020,6,Other,500,600,550,
Chamba,07/03/2020,2.85,Other,500,1500,1000,
Chamba,09/03/2020,3.6,Other,500,1600,1050,
Chamba,11/03/2020,5.4,Other,500,600,550,
Chamba,12/03/2020,3,Other,500,700,600,
Chamba,13/03/2020,3,Other,500,600,550,
Chamba,16/03/2020,3,Other,500,700,600,
Chamba,17/03/2020,3.3,Other,600,1700,1150,
Chamba,18/03/2020,6.9,Other,600,1600,1100,
Chamba,19/03/2020,1,Other,700,900,800,
Chamba,20/03/2020,5,Other,600,800,700,
Chamba,21/03/2020,7.9,Other,800,2000,1400,
Chamba,23/03/2020,0.5,Other,900,1100,1000,
Dhanotu (Mandi),02/03/2020,2.9, ,NR,NR,NR,
Dhanotu (Mandi),03/03/2020,2.4,Other,1400,1500,1450,
Dhanotu (Mandi),04/03/2020,2.4,Other,1400,1600,1500,
Dhanotu (Mandi),06/03/2020,2.6,Other,1200,1600,1400,
Dhanotu (Mandi),13/03/2020,2.9,Other,1600,1700,1650,
Dhanotu (Mandi),16/03/2020,2.9,Other,1600,1800,1700,
Dhanotu (Mandi),17/03/2020,2.6,Other,1600,1800,1700,
Dhanotu (Mandi),18/03/2020,2.6,Other,1500,2000,1750,
Dhanotu (Mandi),19/03/2020,2.4,Other,1600,1800,1700,
Dhanotu (Mandi),21/03/2020,2.4,Other,1600,1900,1750,
Dhanotu (Mandi),23/03/2020,2.3,Other,1700,1800,1750,
Hamirpur,02/03/2020,2.55,Other,1400,1500,1450,
Hamirpur,03/03/2020,2.9,Other,1400,1500,1450,
Hamirpur,04/03/2020,2.6,Other,1400,1500,1450,
Hamirpur,05/03/2020,2.35,Other,1500,1700,1600,
Hamirpur,06/03/2020,2.5,Other,1500,1700,1600,
Hamirpur,07/03/2020,2.1,Other,1600,1700,1650,
Hamirpur,09/03/2020,2.55,Other,1600,1700,1650,
Hamirpur,11/03/2020,2.4,Other,1700,1800,1750,
Hamirpur,12/03/2020,2.25,Other,1700,1900,1800,
Hamirpur,13/03/2020,2.95,Other,1700,1900,1800,
