Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alappuzha,05/02/2018,5,Other,1800,2000,1900,
Alappuzha,06/02/2018,5,Other,2000,2100,2050,
Alappuzha,07/02/2018,5,Other,1950,2050,2000,
Alappuzha,08/02/2018,5,Other,2000,2100,2050,
Aluva,01/02/2018,4,Potato,1500,2400,2000,
Aluva,02/02/2018,3,Potato,1600,2400,2000,
Aluva,05/02/2018,6,Potato,1800,2500,2200,
Aluva,06/02/2018,8,Potato,1800,2500,2200,
Aluva,07/02/2018,6,Potato,1800,2400,2100,
Aluva,08/02/2018,10,Potato,1800,2500,2200,
Aluva,09/02/2018,3,Potato,1800,2500,2200,
Aluva,12/02/2018,8,Potato,1600,2400,2000,
Aluva,14/02/2018,10,Potato,1600,2400,2000,
Aluva,15/02/2018,5,Potato,1600,2400,2000,
Aluva,16/02/2018,6,Potato,1600,2400,2000,
Aluva,19/02/2018,8,Potato,1600,2400,2000,
Aluva,20/02/2018,4,Potato,1600,2400,2000,
Aluva,21/02/2018,15,Potato,1600,2400,2000,
Aluva,22/02/2018,6,Potato,1600,2400,2000,
Aluva,23/02/2018,2,Potato,1600,2400,2000,
Aluva,26/02/2018,15,Potato,1400,2000,1700,
Aluva,27/02/2018,4,Potato,1600,2400,2000,
Aluva,28/02/2018,5,Potato,1400,2000,1700,
Anchal,01/02/2018,0.5,Other,1800,1800,1800,
Anchal,02/02/2018,0.5,Other,1700,1700,1700,
Anchal,03/02/2018,0.5,Other,2000,2000,2000,
Anchal,04/02/2018,0.5,Other,1800,2200,2000,
Anchal,05/02/2018,0.5,Other,1800,2000,1900,
Anchal,06/02/2018,0.5,Other,1800,2000,1900,
Anchal,07/02/2018,0.5,Other,1800,2000,1900,
Anchal,08/02/2018,0.5,Other,1800,2000,1900,
Anchal,10/02/2018,0.5,Other,1800,2000,1900,
Anchal,13/02/2018,0.5,Other,1800,2000,1900,
Anchal,14/02/2018,0.5,Other,1800,2200,2000,
Anchal,15/02/2018,0.5,Other,2000,2200,2100,
Anchal,16/02/2018,0.5,Other,1800,2200,2000,
Anchal,17/02/2018,0.5,Other,1800,2000,1900,
Anchal,19/02/2018,0.5,Other,1900,2100,2000,
Anchal,20/02/2018,0.5,Other,1800,2000,1900,
Anchal,21/02/2018,0.5,Other,1800,2000,1900,
Anchal,22/02/2018,0.5,Other,1800,2200,2000,
Anchal,23/02/2018,0.5,Other,1800,2000,1900,
Anchal,24/02/2018,0.5,Other,1800,2000,1900,
Anchal,25/02/2018,0.5,Other,1800,2000,1900,
Anchal,26/02/2018,0.5,Other,1600,1800,1700,
Anchal,27/02/2018,0.5,Other,1600,1800,1700,
Anchal,28/02/2018,0.5,Other,1700,1900,1800,
Angamaly,01/02/2018,1,Potato,1800,2200,2000,
Angamaly,02/02/2018,1,Potato,1900,2300,2100,
Angamaly,03/02/2018,1,Potato,1800,2200,2000,
Angamaly,05/02/2018,1,Potato,1800,2200,2000,
Angamaly,06/02/2018,1,Potato,1800,2200,2000,
Angamaly,07/02/2018,1,Potato,2000,2400,2200,
Angamaly,08/02/2018,1,Potato,2000,2400,2200,
Angamaly,09/02/2018,1,Potato,2000,2400,2200,
Angamaly,12/02/2018,1.5,Potato,2200,2600,2400,
Angamaly,14/02/2018,2,Potato,1800,2200,2000,
Angamaly,15/02/2018,1,Potato,1800,2200,2000,
Angamaly,16/02/2018,1,Potato,2000,2400,2200,
Angamaly,17/02/2018,1,Potato,1800,2200,2000,
Angamaly,19/02/2018,1,Potato,1800,2200,2000,
Angamaly,20/02/2018,1,Potato,1800,2200,2000,
Angamaly,21/02/2018,1,Potato,1800,2200,2000,
Angamaly,23/02/2018,1,Potato,1800,2200,2000,
Angamaly,24/02/2018,1,Potato,1800,2200,2000,
Angamaly,26/02/2018,1,Potato,1800,2200,2000,
Angamaly,27/02/2018,1,Potato,1800,2200,2000,
Angamaly,28/02/2018,1,Potato,1800,2200,2000,
Aralamoodu,03/02/2018,2,Potato,2000,2000,2000,
Aralamoodu,07/02/2018,2,Potato,2000,2000,2000,
Aralamoodu,10/02/2018,1.8,Potato,2500,2500,2500,
Aralamoodu,14/02/2018,2,Potato,2500,2500,2500,
Aralamoodu,17/02/2018,1.5,Potato,2500,2500,2500,
Aralamoodu,21/02/2018,2,Potato,2500,2500,2500,
Aralamoodu,24/02/2018,1.8,Potato,2500,2500,2500,
Aralamoodu,28/02/2018,1.8,Potato,2000,2000,2000,
Aroor,08/02/2018,0.1,Other,2000,2200,2100,
Aroor,10/02/2018,0.1,Other,1900,2100,2000,
Athirampuzha,01/02/2018,1.2,Potato,2000,2000,2000,
Athirampuzha,02/02/2018,0.6,Potato,2000,2000,2000,
Athirampuzha,03/02/2018,0.8,Potato,2000,2000,2000,
Athirampuzha,05/02/2018,1.2,Potato,1600,1800,1700,
Athirampuzha,06/02/2018,0.6,Potato,1700,1900,1800,
Athirampuzha,07/02/2018,0.9,Potato,1800,1800,1800,
Athirampuzha,08/02/2018,1,Potato,2000,2000,2000,
Athirampuzha,09/02/2018,0.8,Potato,1800,1800,1800,
Athirampuzha,12/02/2018,1,Potato,1600,1800,1700,
Athirampuzha,14/02/2018,0.8,Potato,1800,1800,1800,
Athirampuzha,15/02/2018,1.2,Potato,1800,1800,1800,
Athirampuzha,16/02/2018,0.6,Potato,1800,1800,1800,
Athirampuzha,17/02/2018,0.8,Potato,1800,1800,1800,
Athirampuzha,19/02/2018,1,Potato,1800,1800,1800,
Athirampuzha,20/02/2018,0.8,Potato,1800,1800,1800,
Athirampuzha,21/02/2018,0.8,Potato,1800,1800,1800,
Athirampuzha,22/02/2018,1.2,Potato,1800,1800,1800,
Athirampuzha,23/02/2018,0.6,Potato,1800,1800,1800,
Athirampuzha,24/02/2018,0.8,Potato,1800,1800,1800,
Athirampuzha,26/02/2018,1,Potato,1800,1800,1800,
Athirampuzha,28/02/2018,0.9,Potato,1600,1600,1600,
Chala,01/02/2018,3,Other,2200,2253,2226,
Chala,02/02/2018,3,Other,2200,2251,2224,
