Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bishenpur,01/04/2019,1.5,Other,1300,1500,1500,
Bishenpur,02/04/2019,1.4,Other,1300,1500,1500,
Bishenpur,03/04/2019,1.5,Other,1300,1500,1500,
Bishenpur,04/04/2019,1.4,Other,1300,1500,1500,
Bishenpur,05/04/2019,1.5,Other,1300,1500,1500,
Bishenpur,08/04/2019,1.4,Other,1300,1500,1500,
Bishenpur,09/04/2019,1.5,Other,1300,1500,1500,
Bishenpur,10/04/2019,1.4,Other,1300,1500,1500,
Bishenpur,11/04/2019,1.5,Other,1300,1500,1500,
Bishenpur,16/04/2019,1.6,Other,1300,1500,1500,
Bishenpur,20/04/2019,1.5,Other,1300,1500,1500,
Bishenpur,22/04/2019,1.6,Other,1300,1500,1500,
Bishenpur,24/04/2019,1.5,Other,1300,1500,1500,
Bishenpur,25/04/2019,1.6,Other,1300,1500,1500,
Bishenpur,26/04/2019,1.5,Other,1300,1500,1500,
Bishenpur,27/04/2019,1.6,Other,1300,1500,1500,
Bishenpur,29/04/2019,1.5,Other,1300,1500,1500,
Bishenpur,30/04/2019,1.6,Other,1300,1500,1500,
Imphal,01/04/2019,5.2,Other,1500,1500,1500,
Imphal,02/04/2019,5.4,Other,1500,1500,1500,
Imphal,03/04/2019,5.2,Other,1500,1500,1500,
Imphal,04/04/2019,5.4,Other,1500,1500,1500,
Imphal,05/04/2019,5.2,Other,1500,1500,1500,
Imphal,08/04/2019,5.4,Other,1500,1500,1500,
Imphal,09/04/2019,5.2,Other,1500,1500,1500,
Imphal,10/04/2019,5.2,Other,1500,1500,1500,
Imphal,12/04/2019,5.4,Other,1500,1500,1500,
Imphal,15/04/2019,5.2,Other,1500,1500,1500,
Imphal,16/04/2019,5.4,Other,1500,1500,1500,
Imphal,17/04/2019,5.2,Other,1100,1300,1300,
Imphal,20/04/2019,5,Other,1100,1300,1300,
Imphal,22/04/2019,5,Other,1100,1300,1300,
Imphal,24/04/2019,4.8,Other,1100,1300,1300,
Imphal,25/04/2019,5,Other,1100,1300,1300,
Imphal,26/04/2019,4.8,Other,1100,1300,1300,
Imphal,27/04/2019,5,Other,1100,1300,1300,
Imphal,29/04/2019,4.8,Other,1100,1300,1300,
Imphal,30/04/2019,4.6,Other,1100,1300,1300,
Lamlong Bazaar,01/04/2019,1.8,Other,1300,1500,1500,
Lamlong Bazaar,02/04/2019,1.7,Other,1300,1500,1500,
Lamlong Bazaar,03/04/2019,2,Other,1300,1500,1500,
Lamlong Bazaar,04/04/2019,1.8,Other,1300,1500,1500,
Lamlong Bazaar,05/04/2019,2,Other,1300,1500,1500,
Lamlong Bazaar,08/04/2019,1.8,Other,1100,1300,1300,
Lamlong Bazaar,09/04/2019,2,Other,1100,1300,1300,
Lamlong Bazaar,10/04/2019,1.8,Other,1100,1300,1300,
Lamlong Bazaar,11/04/2019,2,Other,1100,1300,1300,
Lamlong Bazaar,12/04/2019,2.2,Other,1100,1300,1300,
Lamlong Bazaar,15/04/2019,2,Other,1100,1300,1300,
Lamlong Bazaar,16/04/2019,1.8,Other,1100,1300,1300,
Lamlong Bazaar,17/04/2019,2,Other,1100,1300,1300,
Lamlong Bazaar,20/04/2019,1.8,Other,1100,1300,1300,
Lamlong Bazaar,22/04/2019,2,Other,1100,1300,1300,
Lamlong Bazaar,24/04/2019,2.2,Other,1100,1300,1300,
Lamlong Bazaar,25/04/2019,2, ,NR,NR,NR,
Lamlong Bazaar,26/04/2019,1.8, ,NR,NR,NR,
Lamlong Bazaar,27/04/2019,2, ,NR,NR,NR,
Lamlong Bazaar,29/04/2019,2.2, ,NR,NR,NR,
Lamlong Bazaar,30/04/2019,2, ,NR,NR,NR,
Moreh,12/04/2019,1.8,Other,1200,1600,1400,
Moreh,20/04/2019,1.9,Other,1200,1600,1400,
Moreh,26/04/2019,2,Other,1500,1700,1500,
Thoubal,01/04/2019,2.3,Other,1100,1500,1300,
Thoubal,02/04/2019,2.2,Other,1100,1500,1300,
Thoubal,03/04/2019,2.3,Other,1100,1500,1300,
Thoubal,04/04/2019,2.2,Other,1100,1500,1300,
Thoubal,05/04/2019,2.4,Other,1100,1500,1300,
Thoubal,08/04/2019,2.3,Other,1100,1500,1300,
Thoubal,09/04/2019,2.4,Other,1000,1400,1200,
Thoubal,10/04/2019,2.2,Other,1000,1400,1200,
Thoubal,11/04/2019,2.4,Other,1000,1400,1200,
Thoubal,12/04/2019,2.2,Other,1100,1500,1300,
Thoubal,15/04/2019,2.3,Other,1100,1500,1300,
Thoubal,16/04/2019,2.4,Other,1100,1500,1300,
Thoubal,17/04/2019,2.2,Other,1100,1500,1300,
Thoubal,20/04/2019,2,Other,1100,1500,1300,
Thoubal,22/04/2019,2.2,Other,1300,1700,1500,
Thoubal,24/04/2019,2.3,Other,1300,1700,1500,
Thoubal,25/04/2019,2.1,Other,1300,1700,1500,
Thoubal,26/04/2019,2,Other,1300,1700,1500,
Thoubal,27/04/2019,2,Other,1300,1700,1500,
Thoubal,29/04/2019,2.4,Other,1300,1700,1500,
Thoubal,30/04/2019,2.3,Other,1300,1700,1500,
