Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dadengiri,14/11/2018,1,Other,2000,2500,2400,
Dadengiri,21/11/2018,1,Other,2000,3000,2500,
Dadengiri,28/11/2018,1.1,Other,3000,3500,3400,
Khliehriat,01/11/2018,5.2,Local,2500,3000,2750,
Mawiong Regulated Market,01/11/2018,47.6,Other,1400,1700,1400,
Mawiong Regulated Market,02/11/2018,18.9,Other,1300,1800,1300,
Mawiong Regulated Market,03/11/2018,33.6,Other,1500,2000,1500,
Mawiong Regulated Market,05/11/2018,16.8,Other,1500,2000,1500,
Mawiong Regulated Market,06/11/2018,24.5,Other,1500,2000,1500,
Mawiong Regulated Market,09/11/2018,73.5,Other,1500,2000,1500,
Mawiong Regulated Market,10/11/2018,29,Other,1500,2000,1500,
Mawiong Regulated Market,12/11/2018,49.7,Other,1500,2000,1500,
Mawiong Regulated Market,13/11/2018,29.4,Other,1500,2000,1500,
Mawiong Regulated Market,14/11/2018,68.6,Other,1500,2100,1500,
Mawiong Regulated Market,15/11/2018,53.2,Other,1500,2000,1500,
Mawiong Regulated Market,16/11/2018,66.5,Other,1300,2100,1300,
Mawiong Regulated Market,17/11/2018,109.2,Other,1500,2000,1500,
Mawiong Regulated Market,19/11/2018,43.8,Other,1500,2000,1500,
Mawiong Regulated Market,20/11/2018,53.2,Other,1500,2000,1500,
Mawiong Regulated Market,21/11/2018,77,Other,1500,2000,1500,
Mawiong Regulated Market,22/11/2018,105.7,Other,1500,2000,1500,
Mawiong Regulated Market,23/11/2018,149.1,Other,1400,1800,1600,
Mawiong Regulated Market,24/11/2018,40.6,Other,1400,1800,1600,
Mawiong Regulated Market,26/11/2018,100.1,Other,1400,1800,1600,
Mawiong Regulated Market,27/11/2018,81.9,Other,1500,2000,1800,
Mawiong Regulated Market,28/11/2018,140.7, ,NR,NR,NR,
Mawiong Regulated Market,29/11/2018,120.8,Other,1600,2000,1800,
Mawiong Regulated Market,30/11/2018,107.8,Other,1500,2000,1500,
Rongram,02/11/2018,1, ,NR,NR,NR,
Rongram,16/11/2018,1,Potato,2000,2500,2400,
Rongram,23/11/2018,1.2,Potato,2000,2500,2400,
Rongram,30/11/2018,3,Potato,2500,3000,2800,
Shillong,01/11/2018,25,Jyoti,2000,2800,2500,
Shillong,02/11/2018,30, ,NR,NR,NR,
Shillong,03/11/2018,20, ,NR,NR,NR,
Shillong,05/11/2018,20,Jyoti,2000,2800,2500,
Shillong,06/11/2018,24,Jyoti,2200,2800,2500,
Shillong,07/11/2018,16,Jyoti,1800,2800,2500,
Shillong,08/11/2018,25,Jyoti,1700,2400,2150,
Shillong,09/11/2018,20,Jyoti,1700,2400,2000,
Shillong,10/11/2018,20,Jyoti,1650,2400,2000,
Shillong,12/11/2018,20,Jyoti,1700,2400,2000,
Shillong,13/11/2018,15,Jyoti,1700,2400,2250,
Shillong,14/11/2018,25,Jyoti,1700,2300,2100,
Shillong,16/11/2018,30,Jyoti,1700,2300,2000,
Shillong,17/11/2018,25,Jyoti,1700,2300,2000,
Shillong,19/11/2018,25,Jyoti,1700,2350,2150,
Shillong,20/11/2018,35,Jyoti,1700,2400,2000,
Shillong,21/11/2018,35,Jyoti,1600,2300,2000,
Shillong,22/11/2018,30,Jyoti,1600,2500,2250,
Shillong,23/11/2018,30,Jyoti,1650,2400,2150,
Shillong,26/11/2018,35,Jyoti,1700,2300,2200,
Shillong,27/11/2018,35,Jyoti,1800,2400,2000,
Shillong,28/11/2018,35,Jyoti,1800,2400,2000,
Shillong,29/11/2018,40,Jyoti,1600,2200,2000,
Shillong,30/11/2018,40,Jyoti,1700,2300,2000,
Tura,02/11/2018,1.5,Potato,2000,2500,2400,
Tura,05/11/2018,1, ,NR,NR,NR,
Tura,06/11/2018,1.5,Potato,1800,2100,2000,
Tura,10/11/2018,2, ,NR,NR,NR,
Tura,12/11/2018,1, ,NR,NR,NR,
Tura,14/11/2018,1.2, ,NR,NR,NR,
Tura,15/11/2018,0.7, ,NR,NR,NR,
Tura,16/11/2018,1, ,NR,NR,NR,
Tura,17/11/2018,2,Potato,2000,2200,2100,
Tura,19/11/2018,1,Potato,2000,2200,2100,
Tura,20/11/2018,1.2, ,NR,NR,NR,
Tura,21/11/2018,1.1,Potato,2000,2500,2400,
Tura,24/11/2018,2,Potato,2000,2500,2400,
Tura,26/11/2018,0.8,Potato,2000,2500,2400,
Tura,28/11/2018,1.05, ,NR,NR,NR,
Tura,29/11/2018,0.8,Potato,2000,2500,2300,
Tura,30/11/2018,1.05, ,NR,NR,NR,
