Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abu Road,01/08/2019,15.4,Other,575,625,600,
Abu Road,02/08/2019,6.25,Other,775,825,800,
Abu Road,03/08/2019,4.25,Other,775,825,800,
Abu Road,04/08/2019,7.25,Other,675,725,700,
Abu Road,05/08/2019,6.55,Other,675,725,700,
Abu Road,06/08/2019,5.2,Other,775,825,800,
Abu Road,07/08/2019,13.25,Other,775,825,800,
Abu Road,10/08/2019,6,Other,775,825,800,
Abu Road,11/08/2019,3.75,Other,775,825,800,
Abu Road,12/08/2019,8.5,Other,775,825,800,
Abu Road,14/08/2019,1.5,Other,775,825,800,
Abu Road,15/08/2019,1.25,Other,775,825,800,
Abu Road,16/08/2019,6,Other,775,825,800,
Abu Road,17/08/2019,0.3,Other,775,825,800,
Abu Road,18/08/2019,11.5,Other,775,825,800,
Abu Road,19/08/2019,6.25,Other,775,825,800,
Abu Road,20/08/2019,5.75,Other,875,925,900,
Abu Road,21/08/2019,6.55, ,NR,NR,NR,
Abu Road,22/08/2019,7.5,Other,775,825,800,
Abu Road,23/08/2019,6,Other,775,825,800,
Abu Road,24/08/2019,6,Other,775,825,800,
Abu Road,25/08/2019,4.5,Other,775,825,800,
Abu Road,26/08/2019,5.5,Other,775,825,800,
Abu Road,27/08/2019,4.8,Other,775,825,800,
Abu Road,28/08/2019,7.75,Other,775,825,800,
Abu Road,29/08/2019,5.6,Other,775,825,800,
Abu Road,31/08/2019,15.75,Other,775,825,800,
Ajmer(F&V),01/08/2019,39.6,Other,800,1100,1000,
Ajmer(F&V),02/08/2019,63.6,Other,800,1100,1000,
Ajmer(F&V),03/08/2019,45.9,Other,800,1100,1000,
Ajmer(F&V),05/08/2019,75.8,Other,800,1100,1000,
Ajmer(F&V),06/08/2019,82.6,Other,800,1100,1000,
Ajmer(F&V),07/08/2019,44.3,Other,800,1100,1000,
Ajmer(F&V),08/08/2019,57.6,Other,800,1100,1000,
Ajmer(F&V),09/08/2019,73.6,Other,600,1000,850,
Ajmer(F&V),10/08/2019,89.7,Other,600,1100,900,
Ajmer(F&V),11/08/2019,96.6,Other,600,1100,950,
Ajmer(F&V),12/08/2019,53.7,Other,600,1100,900,
Ajmer(F&V),13/08/2019,95.2,Other,600,1100,900,
Ajmer(F&V),14/08/2019,48.3,Other,600,900,750,
Ajmer(F&V),16/08/2019,102.4,Other,600,900,800,
Ajmer(F&V),17/08/2019,26.9,Other,600,900,750,
Ajmer(F&V),18/08/2019,36.4,Other,600,900,800,
Ajmer(F&V),19/08/2019,162.3, ,NR,NR,NR,
Ajmer(F&V),21/08/2019,61.4, ,NR,NR,NR,
Ajmer(F&V),22/08/2019,122.5,Other,700,1000,900,
Ajmer(F&V),23/08/2019,73.7, ,NR,NR,NR,
Ajmer(F&V),24/08/2019,115.8,Other,700,1000,900,
Ajmer(F&V),25/08/2019,70.2,Other,700,1000,950,
Ajmer(F&V),27/08/2019,86.6,Other,700,1000,900,
Ajmer(F&V),28/08/2019,43.9,Other,700,1000,950,
Ajmer(F&V),29/08/2019,52.2,Other,700,1000,900,
Ajmer(F&V),30/08/2019,116.6,Other,700,1000,900,
Ajmer(F&V),31/08/2019,72.8,Other,700,1000,950,
Alwar(FV),01/08/2019,35,Other,900,1200,1050,
Alwar(FV),02/08/2019,95.6,Other,900,1200,1050,
Alwar(FV),03/08/2019,62.3,Other,1000,1300,1150,
Alwar(FV),04/08/2019,124,Other,1000,1200,1100,
Alwar(FV),05/08/2019,92.3,Other,800,1000,900,
Alwar(FV),06/08/2019,74.4,Other,800,1000,900,
Alwar(FV),07/08/2019,38.7,Other,800,1000,900,
Alwar(FV),08/08/2019,132.7,Other,900,1000,950,
Alwar(FV),10/08/2019,123.1,Other,800,1000,900,
Alwar(FV),11/08/2019,64.5,Other,700,1000,850,
Alwar(FV),12/08/2019,53.7,Other,700,1000,850,
Alwar(FV),13/08/2019,105.1,Other,700,1000,850,
Alwar(FV),14/08/2019,93.7,Other,700,1000,850,
Alwar(FV),16/08/2019,60.7,Other,700,1000,850,
Alwar(FV),17/08/2019,91.9,Other,700,1000,850,
Alwar(FV),18/08/2019,57.7,Other,700,1000,850,
Alwar(FV),19/08/2019,125.8,Other,700,1000,850,
Alwar(FV),20/08/2019,79.2,Other,700,1000,850,
Alwar(FV),21/08/2019,102.8,Other,700,1000,850,
Alwar(FV),23/08/2019,73.7,Other,800,1000,900,
Alwar(FV),24/08/2019,64.8,Other,900,1100,1000,
Alwar(FV),25/08/2019,61.4,Other,900,1100,1000,
Alwar(FV),26/08/2019,86.4,Other,900,1000,950,
Alwar(FV),27/08/2019,115.3,Other,800,1000,900,
Alwar(FV),28/08/2019,78.3,Other,800,1000,900,
Bayana,02/08/2019,3.5,Other,1010,1020,1020,
Bayana,06/08/2019,2,Other,1020,1020,1020,
Bayana,07/08/2019,2,Other,1010,1010,1010,
Bayana,08/08/2019,2,Other,1020,1020,1020,
Bayana,10/08/2019,1,Other,700,700,700,
Bayana,11/08/2019,3,Other,1020,1020,1020,
