Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alipurduar,01/04/2020,10,Jyoti,1180,1210,1200,
Alipurduar,02/04/2020,10,Jyoti,1180,1210,1200,
Alipurduar,03/04/2020,10,Jyoti,1180,1210,1200,
Alipurduar,04/04/2020,10,Jyoti,1180,1210,1200,
Alipurduar,05/04/2020,10,Jyoti,1180,1210,1200,
Alipurduar,06/04/2020,10,Jyoti,1180,1210,1200,
Alipurduar,07/04/2020,10,Jyoti,1080,1110,1100,
Alipurduar,07/04/2020,10,Other,1180,1210,1200,
Alipurduar,08/04/2020,10,Jyoti,1100,1170,1150,
Alipurduar,09/04/2020,10,Jyoti,1100,1170,1150,
Alipurduar,10/04/2020,10,Jyoti,1100,1170,1150,
Alipurduar,11/04/2020,10,Jyoti,1270,1310,1300,
Alipurduar,12/04/2020,10,Jyoti,1280,1310,1300,
Alipurduar,13/04/2020,10,Jyoti,1280,1310,1300,
Alipurduar,14/04/2020,10,Jyoti,1480,1510,1500,
Alipurduar,15/04/2020,10,Jyoti,1600,1680,1650,
Alipurduar,16/04/2020,10,Jyoti,1600,1680,1650,
Alipurduar,16/04/2020,10,Other,1750,1810,1800,
Alipurduar,17/04/2020,10,Jyoti,1650,1710,1700,
Alipurduar,18/04/2020,10,Jyoti,1550,1610,1600,
Alipurduar,19/04/2020,10,Jyoti,1550,1610,1600,
Alipurduar,20/04/2020,10,Jyoti,1600,1670,1650,
Alipurduar,23/04/2020,10,Jyoti,1580,1610,1600,
Alipurduar,26/04/2020,10,Jyoti,1580,1610,1600,
Asansol,01/04/2020,29,Jyoti,1600,1640,1600,
Asansol,02/04/2020,31,Jyoti,1560,1600,1560,
Asansol,03/04/2020,32,Jyoti,1540,1580,1560,
Asansol,04/04/2020,33,Jyoti,1540,1680,1560,
Asansol,05/04/2020,34,Jyoti,1500,1560,1520,
Asansol,06/04/2020,34.5,Jyoti,1460,1540,1500,
Asansol,07/04/2020,35.2,Jyoti,1460,1540,1500,
Asansol,08/04/2020,36,Jyoti,1500,1540,1500,
Asansol,09/04/2020,35,Jyoti,1520,1560,1540,
Asansol,10/04/2020,34,Jyoti,1540,1580,1560,
Asansol,11/04/2020,33,Jyoti,1560,1600,1580,
Asansol,12/04/2020,32,Jyoti,1600,1640,1620,
Asansol,13/04/2020,31,Jyoti,1640,1660,1640,
Asansol,14/04/2020,32,Jyoti,1600,1680,1640,
Asansol,15/04/2020,33,Jyoti,1640,1680,1660,
Asansol,16/04/2020,32,Jyoti,1640,1680,1660,
Asansol,17/04/2020,34,Jyoti,1620,1660,1640,
Asansol,18/04/2020,33,Jyoti,1640,1680,1660,
Asansol,19/04/2020,32.6,Jyoti,1640,1700,1680,
Asansol,20/04/2020,34,Jyoti,1640,1660,1640,
Asansol,21/04/2020,34.6,Jyoti,1640,1680,1660,
Asansol,22/04/2020,35,Jyoti,1620,1700,1640,
Asansol,23/04/2020,33,Jyoti,2950,3050,3000,
Asansol,24/04/2020,34,Jyoti,1800,1860,1800,
Asansol,25/04/2020,32,Jyoti,1800,1860,1840,
Asansol,26/04/2020,31,Jyoti,1800,1880,1840,
Asansol,27/04/2020,34,Jyoti,1800,1880,1840,
Asansol,28/04/2020,38,Jyoti,1750,1820,1800,
Asansol,29/04/2020,38.7,Jyoti,1750,1800,1800,
Asansol,30/04/2020,40,Jyoti,1700,1780,1740,
Balarampur,02/04/2020,14.35,Other,1250,1360,1350,
Balarampur,03/04/2020,14.35,Other,1250,1350,1300,
Balarampur,04/04/2020,14.15,Other,1360,1420,1400,
Balarampur,05/04/2020,14.25,Other,1360,1400,1380,
Balarampur,07/04/2020,14.35,Other,1280,1400,1300,
Balarampur,08/04/2020,14.35,Other,1300,1400,1340,
Balarampur,09/04/2020,14.25,Other,1500,1640,1540,
Balarampur,10/04/2020,14.15,Other,1540,1640,1580,
Balarampur,15/04/2020,14.45,Other,1580,1640,1600,
Balarampur,16/04/2020,14.35,Other,1580,1640,1600,
Balarampur,17/04/2020,14.25,Other,1600,1640,1620,
Balarampur,18/04/2020,14.45,Other,1600,1700,1650,
