Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Madagadipet,06/05/2019,0.66,Other,2520,2560,2540,
Madagadipet,07/05/2019,0.3, ,NR,NR,NR,
Madagadipet,27/05/2019,0.35,Other,2430,2549,2489,
Madagadipet,28/05/2019,0.61,Other,2449,2449,2449,
Thattanchavady,02/05/2019,2.5,Other,2547,2605,2576,
Thattanchavady,03/05/2019,0.4,Other,2610,2610,2610,
Thattanchavady,06/05/2019,2.5,Other,2547,2642,2594,
Thattanchavady,07/05/2019,0.3,Other,2640,2667,2653,
Thattanchavady,08/05/2019,2,Other,2617,2639,2628,
Thattanchavady,09/05/2019,1,Other,2397,2647,2522,
Thattanchavady,13/05/2019,1,Other,2609,2621,2615,
Thattanchavady,14/05/2019,4,Other,2639,2649,2644,
Thattanchavady,15/05/2019,1,Other,2297,2650,2473,
Thattanchavady,16/05/2019,0.6,Other,2577,2597,2587,
Thattanchavady,17/05/2019,0.6,Other,2609,2609,2609,
Thattanchavady,21/05/2019,1.2,Other,2427,2536,2481,
Thattanchavady,24/05/2019,1.4,Other,2521,2609,2565,
Thattanchavady,27/05/2019,2,Other,2481,2539,2510,
Thattanchavady,28/05/2019,2.5,Other,2536,2627,2581,
