Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badepalli,05/02/2019,0.2,Local,2351,2351,2351,
Badepalli,18/02/2019,0.1,Local,1910,1910,1910,
Badepalli,27/02/2019,3.4,Local,2412,2412,2412,
Badepalli,28/02/2019,4.4,Local,2320,2400,2320,
Mahbubnagar,14/02/2019,6,Local,2501,2501,2501,
Mahbubnagar,21/02/2019,7,Local,2352,2710,2710,
Mahbubnagar,22/02/2019,11,Local,2501,2751,2751,
Mahbubnagar,23/02/2019,2,Local,2412,2412,2412,
Mahbubnagar,26/02/2019,15,Local,2812,2812,2812,
Mahbubnagar,28/02/2019,2,Local,2460,2460,2460,
Mahbubnagar(Nawabpet),24/02/2019,1.8, ,NR,NR,NR,
