Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arang,27/06/2018,10.3,Soyabeen,3050,3050,3050,
Bemetara,06/06/2018,10,Yellow,3150,3200,3200,
Bemetara,11/06/2018,8.4,Yellow,3005,3005,3005,
Bemetara,12/06/2018,8.7,Yellow,3100,3100,3100,
Bemetara,30/06/2018,21.7,Yellow,4050,4050,4050,
Berla,29/06/2018,22.5,Yellow,3400,3400,3400,
Bhatapara,02/06/2018,2.2, ,NR,NR,NR,
Bhatapara,05/06/2018,0.7,Other,2200,3410,2960,
Bhatapara,06/06/2018,0.5,Other,1790,3000,1790,
Bhatapara,08/06/2018,0.3,Other,2200,2800,2800,
Bhatapara,09/06/2018,1.2,Other,2850,3110,3110,
Bhatapara,11/06/2018,0.8,Other,2300,2411,2411,
Bhatapara,12/06/2018,1.7,Other,1650,2900,2400,
Bhatapara,13/06/2018,0.8,Other,3410,3410,3410,
Bhatapara,15/06/2018,4.1,Other,2725,3995,3030,
Bhatapara,18/06/2018,1,Other,2490,2935,2935,
Bhatapara,19/06/2018,0.1,Other,2860,3700,3700,
Bhatapara,20/06/2018,0.4,Other,2881,2881,2881,
Bhatapara,21/06/2018,1.4,Other,1700,3400,2570,
Bhatapara,22/06/2018,2.3,Other,2601,2861,2720,
Bhatapara,23/06/2018,1.9,Other,2600,3370,2801,
Bhatapara,25/06/2018,0.5,Other,2900,3278,3278,
Bhatapara,27/06/2018,0.4,Other,2811,2945,2945,
Bhatapara,29/06/2018,0.9,Other,2311,2980,2980,
Bhatapara,30/06/2018,0.4,Other,4110,4110,4110,
Dongargaon,01/06/2018,154.1,Local,2982,3482,3246,
Dongargaon,04/06/2018,296.3,Local,3056,3452,3340,
Dongargaon,05/06/2018,52.4,Local,2366,3325,2950,
Dongargaon,06/06/2018,115.8,Local,2518,3365,3293,
Dongargaon,07/06/2018,87.9,Local,2794,3350,3230,
Dongargaon,08/06/2018,133.7,Local,2733,3569,3127,
Dongargaon,09/06/2018,184.9,Local,2366,3324,3112,
Dongargaon,11/06/2018,100.9,Local,2785,3358,3221,
Dongargaon,12/06/2018,190.1,Local,2851,3348,3254,
Dongargaon,13/06/2018,91.1,Local,2411,3285,3169,
Dongargaon,14/06/2018,238.4,Local,2731,3352,3134,
Dongargaon,15/06/2018,140.6,Local,2188,3373,3053,
Dongargaon,18/06/2018,180.7,Local,2548,3294,3085,
Dongargaon,19/06/2018,97,Local,3025,3229,3220,
Dongargaon,20/06/2018,56.9,Local,3109,3323,3208,
Dongargaon,21/06/2018,91.7,Local,2796,3336,3187,
Dongargaon,22/06/2018,85.6,Local,2535,3285,2535,
Dongargaon,23/06/2018,70.3,Local,2024,3211,3039,
Dongargaon,25/06/2018,31,Local,2273,3191,3191,
Dongargaon,26/06/2018,82.2,Local,2567,3217,3130,
Dongargaon,27/06/2018,94,Local,2658,3435,3219,
Dongargaon,29/06/2018,50.6,Local,3053,3248,3155,
Dongargaon,30/06/2018,76.4,Local,2403,3280,2940,
Kawardha,04/06/2018,2,Yellow,3051,3375,3100,
Kawardha,05/06/2018,5,Yellow,3061,3171,3065,
Kawardha,06/06/2018,16.8,Yellow,3000,3255,3190,
Kawardha,07/06/2018,0.9,Yellow,2935,3185,2975,
Kawardha,09/06/2018,14.5,Yellow,2950,3145,3100,
Kawardha,10/06/2018,8.8,Yellow,2700,3237,3075,
Kawardha,11/06/2018,0.5,Yellow,3000,3153,3100,
Kawardha,12/06/2018,1,Yellow,2870,3025,2996,
Kawardha,13/06/2018,0.3,Yellow,3000,3002,3001,
Kawardha,14/06/2018,0.6,Yellow,3000,3091,3050,
Kawardha,17/06/2018,1.4,Yellow,3020,3182,3088,
Kawardha,18/06/2018,0.3,Yellow,3000,3170,3150,
Kawardha,20/06/2018,0.5,Yellow,3001,3021,3020,
Kawardha,21/06/2018,5.9,Yellow,2801,3176,3100,
Kawardha,24/06/2018,10.9,Yellow,3100,3300,3122,
Kawardha,25/06/2018,12.6,Yellow,2982,3235,3132,
Kawardha,26/06/2018,5.9,Yellow,3000,3200,3172,
Kawardha,27/06/2018,5.2,Yellow,3180,3250,3200,
Kawardha,30/06/2018,5.7,Yellow,3001,3380,3190,
Khamhariya,02/06/2018,23.6,Other,3100,3100,3100,
Khamhariya,09/06/2018,19.6,Yellow,3100,3100,3100,
Khamhariya,11/06/2018,15,Yellow,3000,3000,3000,
Khamhariya,14/06/2018,19.1,Yellow,3000,3000,3000,
Khamhariya,21/06/2018,18.4,Yellow,3000,3000,3000,
Kharora,19/06/2018,420,Yellow,2800,2800,2800,
Kheragarh,13/06/2018,7,Other,2900,3100,3000,
Munguli,01/06/2018,4.6,Yellow,3190,3375,3300,
Munguli,02/06/2018,5.6,Yellow,3090,3340,3270,
Munguli,04/06/2018,6.2,Yellow,3150,3310,3260,
Munguli,05/06/2018,12.7,Yellow,3150,3300,3240,
Munguli,06/06/2018,1.5,Yellow,3200,3260,3250,
Munguli,07/06/2018,4.2,Yellow,2700,3300,3210,
Munguli,08/06/2018,4.3,Yellow,2990,3320,3280,
Munguli,09/06/2018,16.5,Yellow,2900,3315,3180,
Munguli,11/06/2018,7.9,Yellow,2840,3250,3140,
Munguli,12/06/2018,3.5,Yellow,2920,3090,3030,
Munguli,13/06/2018,8.9,Yellow,3000,3220,3140,
Munguli,14/06/2018,4,Yellow,2900,3170,3020,
Munguli,15/06/2018,8.3,Yellow,2990,3250,3180,
Munguli,18/06/2018,3.2,Yellow,3010,3120,3090,
Munguli,19/06/2018,2,Yellow,2940,3330,3140,
Munguli,20/06/2018,7.2,Yellow,2980,3125,3070,
Munguli,21/06/2018,8.9,Yellow,2990,3250,3140,
Munguli,22/06/2018,5.3,Yellow,2630,3230,3090,
Munguli,23/06/2018,3.2,Yellow,3090,3225,3140,
Munguli,25/06/2018,0.9,Yellow,3060,3200,3060,
Munguli,26/06/2018,1.1,Yellow,3100,3200,3150,
Munguli,27/06/2018,4.3,Yellow,3060,3300,3200,
Munguli,29/06/2018,2.2,Yellow,3190,3370,3240,
Munguli,30/06/2018,7.3,Yellow,3270,3400,3310,
Rajnandgaon,01/06/2018,1.3,Yellow,3001,3360,3001,
Rajnandgaon,04/06/2018,0.2,Yellow,3305,3305,3305,
Rajnandgaon,05/06/2018,35.3,Yellow,3141,3590,3371,
Rajnandgaon,06/06/2018,1.4,Yellow,3180,3180,3180,
Rajnandgaon,07/06/2018,1.9,Yellow,3140,3140,3140,
Rajnandgaon,08/06/2018,4.3,Yellow,3000,3241,3000,
Rajnandgaon,09/06/2018,1.9,Yellow,2800,3000,2800,
Rajnandgaon,11/06/2018,0.1,Yellow,2011,2011,2011,
Rajnandgaon,14/06/2018,1.7,Yellow,3180,3271,3180,
Rajnandgaon,15/06/2018,0.6,Yellow,2300,2801,2300,
Rajnandgaon,18/06/2018,1.3,Yellow,2999,2999,2999,
Rajnandgaon,19/06/2018,0.2,Yellow,3211,3211,3211,
Rajnandgaon,20/06/2018,5.6,Yellow,3125,3125,3125,
Rajnandgaon,21/06/2018,6.4,Yellow,3142,3400,3142,
Rajnandgaon,22/06/2018,1.4,Yellow,3151,3440,3300,
Rajnandgaon,25/06/2018,23.6,Yellow,3240,3260,3250,
Rajnandgaon,26/06/2018,3.6,Yellow,3301,3418,3301,
Rajnandgaon,27/06/2018,1,Yellow,2700,2751,2700,
Rajnandgaon,29/06/2018,28,Yellow,3111,3407,3310,
Rajnandgaon,30/06/2018,26,Yellow,3461,3461,3461,
Sambalpur,22/06/2018,0.5,Soyabeen,4400,4400,4400,
