Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aurad,15/04/2020,1,Soyabeen,3730,3730,3730,
Aurad,24/04/2020,1,Soyabeen,3600,3600,3600,
Bailahongal,10/04/2020,43,Local,3500,3800,3700,
Bailahongal,18/04/2020,24,Local,3600,3770,3700,
Bailahongal,22/04/2020,1,Local,3550,3680,3650,
Bailahongal,30/04/2020,23,Local,3650,3750,3700,
Bangalore,03/04/2020,2,Soyabeen,4600,5200,4900,
Bangalore,21/04/2020,15,Soyabeen,4600,5200,4900,
Bangalore,28/04/2020,3,Soyabeen,4600,5200,4900,
Bangalore,30/04/2020,43,Soyabeen,4600,5200,4900,
Basava Kalayana,10/04/2020,1,Soyabeen,3500,3600,3500,
Basava Kalayana,13/04/2020,4,Soyabeen,3700,3900,3750,
Basava Kalayana,15/04/2020,3,Soyabeen,3600,3700,3650,
Basava Kalayana,17/04/2020,4,Soyabeen,3601,3800,3700,
Basava Kalayana,18/04/2020,5,Soyabeen,3700,3800,3750,
Basava Kalayana,20/04/2020,2,Soyabeen,3600,3740,3650,
Basava Kalayana,21/04/2020,2,Soyabeen,3581,3651,3648,
Basava Kalayana,23/04/2020,6,Soyabeen,3526,3651,3600,
Basava Kalayana,24/04/2020,3,Soyabeen,3500,3650,3600,
Basava Kalayana,25/04/2020,3,Soyabeen,3700,37770,3751,
Basava Kalayana,27/04/2020,12,Soyabeen,3500,3780,3730,
Basava Kalayana,28/04/2020,2,Soyabeen,3500,3700,3600,
Basava Kalayana,29/04/2020,4,Soyabeen,3651,3771,3680,
Basava Kalayana,30/04/2020,2,Soyabeen,3600,3801,3750,
Bhalki,09/04/2020,3,Soyabeen,3300,3700,3500,
Bhalki,10/04/2020,26,Soyabeen,3600,3700,3635,
Bhalki,11/04/2020,12,Soyabeen,3650,3710,3700,
Bhalki,13/04/2020,27,Soyabeen,3708,3708,3708,
Bhalki,15/04/2020,22,Soyabeen,3600,3650,3637,
Bhalki,16/04/2020,20,Soyabeen,3850,3850,3850,
Bhalki,17/04/2020,20,Soyabeen,3850,3850,3850,
