Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
A lot,02/07/2018,22.8,Yellow,3100,3470,3350,
A lot,03/07/2018,3.9,Yellow,3200,3499,3466,
A lot,04/07/2018,0.6,Yellow,3400,3415,3415,
A lot,05/07/2018,6.5,Yellow,3281,3381,3351,
A lot,06/07/2018,5.4,Yellow,3200,3466,3365,
A lot,07/07/2018,2.38,Yellow,3221,3490,3475,
A lot,09/07/2018,5.9,Yellow,3100,3500,3450,
A lot,10/07/2018,1.62,Yellow,3100,3440,3395,
A lot,11/07/2018,6.63,Yellow,3260,3431,3375,
A lot,13/07/2018,10.7,Yellow,3121,3361,3330,
A lot,14/07/2018,30.1,Yellow,3081,3300,3276,
A lot,16/07/2018,10.8,Yellow,2899,3371,3333,
A lot,17/07/2018,0.8,Yellow,3070,3299,3299,
A lot,18/07/2018,4.6,Yellow,3299,3501,3340,
A lot,19/07/2018,6.6,Yellow,3100,3361,3300,
A lot,20/07/2018,3.4,Yellow,3100,3361,3340,
A lot,21/07/2018,30,Yellow,3240,3360,3340,
A lot,23/07/2018,4.8,Yellow,3339,3363,3356,
A lot,24/07/2018,1.2,Yellow,3322,3322,3322,
A lot,25/07/2018,6,Yellow,3285,3350,3340,
A lot,26/07/2018,15.8,Yellow,3165,3345,3315,
A lot,27/07/2018,137.4,Yellow,3250,3330,3300,
A lot,31/07/2018,3.02,Yellow,3280,3351,3336,
Agar,02/07/2018,60,Other,3100,4150,3450,
Agar,03/07/2018,90,Other,3200,4126,3550,
Agar,04/07/2018,110,Other,3100,3510,3400,
Agar,05/07/2018,95,Other,3000,3480,3350,
Agar,06/07/2018,150,Other,3000,3500,3420,
Agar,07/07/2018,73,Other,3000,3500,3350,
Agar,09/07/2018,100,Other,3000,3470,3400,
Agar,10/07/2018,140,Other,3000,3460,3370,
Agar,11/07/2018,90,Other,2900,3400,3350,
Agar,12/07/2018,67,Other,2800,3450,3300,
Agar,16/07/2018,85,Other,3000,3425,3300,
Agar,17/07/2018,55,Other,3000,3310,3250,
Agar,18/07/2018,65,Other,2900,3410,3300,
Agar,19/07/2018,40,Other,2950,3390,3250,
Agar,20/07/2018,30,Other,2950,3396,3220,
Agar,21/07/2018,60, ,NR,NR,NR,
Agar,26/07/2018,7.5,Other,3100,3240,3190,
Agar,27/07/2018,10,Other,2900,3330,3200,
Agar,30/07/2018,45,Other,3000,3415,3280,
Agar,31/07/2018,70,Other,3000,3410,3250,
Akodia,03/07/2018,74.67,Other,3000,3430,3350,
Akodia,04/07/2018,63.34,Other,3000,3380,3350,
Akodia,05/07/2018,29.79,Other,3000,3398,3300,
Akodia,06/07/2018,66.08,Other,3000,3600,3250,
Akodia,07/07/2018,16.83,Other,3000,3445,3250,
Akodia,10/07/2018,38.14,Other,3000,3440,3250,
Akodia,11/07/2018,12.23,Other,3000,3437,3400,
Akodia,20/07/2018,17.24,Other,3000,3440,3400,
Akodia,26/07/2018,8.98,Other,3280,3350,3300,
Akodia,30/07/2018,15.01,Other,3000,3424,3350,
Akodia,31/07/2018,9.7,Other,3000,3429,3400,
Alirajpur,01/07/2018,33,Other,2900,3050,3000,
Alirajpur,02/07/2018,40,Other,3000,3200,3100,
Alirajpur,03/07/2018,10,Other,2600,2800,2700,
Alirajpur,06/07/2018,12.3,Other,3000,3200,3100,
Alirajpur,11/07/2018,40.9,Other,3000,3200,3150,
Alirajpur,14/07/2018,26.7,Other,2900,3000,2950,
Alirajpur,15/07/2018,25.5,Other,3000,3100,3050,
Alirajpur,26/07/2018,25,Other,3000,3300,3150,
Alirajpur,28/07/2018,22.35,Other,2700,3000,2800,
Alirajpur,30/07/2018,22.5,Other,2800,3000,2900,
Alirajpur,31/07/2018,20,Other,2700,3000,2850,
Anjad,03/07/2018,6.2,Other,3000,3275,3200,
Anjad,18/07/2018,25,Other,3000,3028,3028,
Aron,02/07/2018,29,Other,2400,3795,3425,
Aron,03/07/2018,60.7, ,NR,NR,NR,
Aron,04/07/2018,31.4, ,NR,NR,NR,
Aron,05/07/2018,27.3,Other,2000,3411,3105,
Aron,06/07/2018,14.6,Other,2625,3421,3210,
Aron,07/07/2018,13.1,Other,3261,3425,3300,
Aron,09/07/2018,36,Other,2965,3476,3236,
Aron,10/07/2018,38.2,Other,2881,3456,3285,
Aron,11/07/2018,31.8,Other,2965,3401,3296,
Aron,12/07/2018,17.9,Other,3131,3420,3381,
Aron,13/07/2018,9.8,Other,2715,3441,3180,
Aron,16/07/2018,52.2,Other,2500,3364,3181,
Aron,17/07/2018,36.4,Other,2800,3433,3000,
Aron,18/07/2018,28.4,Other,2350,3440,2995,
Aron,19/07/2018,0.45,Other,3260,NR,3300,
Aron,20/07/2018,14.9,Other,2875,3433,3295,
Aron,21/07/2018,10.4,Other,2980,3361,3286,
Aron,23/07/2018,5.6,Other,3271,3412,3321,
Aron,24/07/2018,19.55,Other,2490,3400,2945,
Aron,25/07/2018,0.2,Other,NR,NR,3250,
Aron,26/07/2018,8.4,Other,3285,3416,3351,
Aron,27/07/2018,3.6,Other,3277,3390,3334,
Aron,31/07/2018,1.7,Other,3215,3400,3395,
Ashoknagar,02/07/2018,220.8,Yellow,2960,3825,3450,
Ashoknagar,03/07/2018,134.3,Yellow,3030,3701,3474,
Ashoknagar,04/07/2018,235.9,Yellow,2800,3535,3351,
Ashoknagar,05/07/2018,201.1,Yellow,2750,3701,3448,
Ashoknagar,06/07/2018,139.6,Yellow,2800,3511,3335,
Ashoknagar,07/07/2018,96.3,Yellow,2936,3507,3380,
Ashoknagar,09/07/2018,225.8,Yellow,2700,3540,3401,
Ashoknagar,10/07/2018,188.3,Yellow,2875,3499,3338,
Ashoknagar,11/07/2018,132.5,Yellow,2760,3481,3299,
Ashoknagar,12/07/2018,109.8,Yellow,2900,3497,3279,
Ashoknagar,13/07/2018,234.5,Yellow,2950,3480,3280,
Ashoknagar,16/07/2018,264.6,Yellow,2976,3443,3250,
Ashoknagar,17/07/2018,144.5,Yellow,2983,3431,3212,
Ashoknagar,20/07/2018,69.7,Yellow,2945,3466,3266,
Ashoknagar,21/07/2018,83.3,Yellow,3070,3477,3300,
Ashoknagar,23/07/2018,37.2,Yellow,3070,3450,3270,
Ashoknagar,24/07/2018,71.9,Yellow,2899,3415,3281,
Ashoknagar,31/07/2018,93.3,Yellow,2900,3418,3214,
Ashta,02/07/2018,726.7,Yellow,2002,5020,3560,
Ashta,03/07/2018,863.3,Yellow,1800,3700,3500,
Ashta,04/07/2018,875.4,Yellow,2200,3530,3400,
Ashta,05/07/2018,387.1,Yellow,2200,3541,3425,
Ashta,06/07/2018,672.2,Yellow,2000,3730,3420,
Ashta,07/07/2018,794.1,Yellow,1500,3540,3415,
Ashta,09/07/2018,896.4,Yellow,1500,3515,3440,
Ashta,10/07/2018,621.3,Yellow,1500,3481,3400,
Ashta,11/07/2018,480.5,Yellow,1800,3540,3440,
Ashta,12/07/2018,202.2,Yellow,2525,3625,3480,
Ashta,16/07/2018,659.1,Yellow,1801,3454,3380,
Ashta,18/07/2018,342.1,Yellow,1600,3473,3410,
Ashta,19/07/2018,378.8,Yellow,1501,3475,3380,
Ashta,20/07/2018,322.5,Yellow,1500,3471,3370,
Ashta,21/07/2018,259.1,Yellow,1802,3477,3377,
Ashta,31/07/2018,168.5,Yellow,2000,3612,3450,
Badamalhera,01/07/2018,26.1,Soyabeen,3000,3200,3100,
Badamalhera,05/07/2018,40.2,Soyabeen,2700,3000,2800,
Badamalhera,06/07/2018,20.2,Soyabeen,3000,3100,3050,
Badamalhera,07/07/2018,59.6,Soyabeen,2850,2950,2900,
Badamalhera,10/07/2018,50.8,Soyabeen,3000,3200,3100,
Badamalhera,11/07/2018,6.6,Soyabeen,3200,3350,3300,
Badamalhera,12/07/2018,44.8,Soyabeen,3000,3100,3050,
Badamalhera,13/07/2018,35.2,Soyabeen,3000,3100,3050,
Badamalhera,14/07/2018,19.6,Soyabeen,2900,3100,3000,
Badamalhera,16/07/2018,23.9,Soyabeen,2900,3100,3000,
Badamalhera,18/07/2018,10,Soyabeen,3000,3100,3050,
Badamalhera,20/07/2018,24.1,Soyabeen,3000,3100,3050,
Badamalhera,21/07/2018,21.3,Soyabeen,3000,3100,3050,
Badamalhera,24/07/2018,24.9,Soyabeen,2800,3000,2900,
Badamalhera,25/07/2018,4,Soyabeen,2800,3375,3100,
Badamalhera,27/07/2018,21.3,Soyabeen,2975,3025,3000,
Badamalhera,28/07/2018,48.05,Soyabeen,2900,3100,3000,
Badamalhera,30/07/2018,26.2,Soyabeen,2900,3100,3000,
Badamalhera,31/07/2018,13.7,Soyabeen,2900,3100,3000,
Badarwas,02/07/2018,6.4,Soyabeen,2975,3300,3200,
Badarwas,03/07/2018,8.4,Soyabeen,2950,3350,3250,
Badarwas,04/07/2018,8.4,Soyabeen,2950,3350,3250,
Badarwas,05/07/2018,10.1,Soyabeen,3125,3375,3250,
Badarwas,06/07/2018,10.6,Soyabeen,3050,3375,3250,
Badarwas,07/07/2018,3.9,Soyabeen,3050,3375,3250,
Badarwas,11/07/2018,3.8,Soyabeen,3100,3350,3250,
Badarwas,12/07/2018,1.8,Soyabeen,3050,3360,3250,
Badarwas,13/07/2018,1.4,Soyabeen,3050,3375,3250,
Badarwas,16/07/2018,4.4,Soyabeen,2900,3150,3010,
Badarwas,17/07/2018,9.2,Soyabeen,2940,3170,3010,
Badarwas,18/07/2018,1.1,Soyabeen,2940,3180,3020,
Badarwas,19/07/2018,2.4,Soyabeen,2950,3250,3005,
Badarwas,20/07/2018,1.3,Soyabeen,3010,3210,3105,
Badarwas,24/07/2018,1.5,Soyabeen,3250,3450,3340,
Badarwas,30/07/2018,3.6,Soyabeen,3625,3850,3750,
Badarwas,31/07/2018,0.8,Soyabeen,3050,3325,3200,
Badnagar,02/07/2018,152.9,Yellow,3235,3652,3540,
Badnagar,03/07/2018,644.1,Yellow,3142,3622,3462,
Badnagar,04/07/2018,496.9,Yellow,3122,3530,3442,
Badnagar,05/07/2018,398.2,Yellow,3158,3501,3442,
Badnagar,06/07/2018,635.6,Yellow,3000,3490,3340,
Badnagar,07/07/2018,281.7,Yellow,3020,3500,3442,
Badnagar,09/07/2018,342.8,Yellow,3080,3525,3454,
Badnagar,10/07/2018,271.4,Yellow,3091,3519,3448,
Badnagar,11/07/2018,181.6,Yellow,3022,3460,3441,
Badnagar,12/07/2018,110.4,Yellow,3028,3466,3432,
Badnagar,16/07/2018,407.8,Yellow,3001,3451,3331,
Badnagar,17/07/2018,243.8, ,NR,NR,NR,
