Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bishenpur,03/08/2018,0.5, ,NR,NR,NR,
Bishenpur,04/08/2018,0.5, ,NR,NR,NR,
Bishenpur,06/08/2018,0.5, ,NR,NR,NR,
Bishenpur,14/08/2018,0.5, ,NR,NR,NR,
Bishenpur,16/08/2018,0.5, ,NR,NR,NR,
Bishenpur,18/08/2018,0.5, ,NR,NR,NR,
Bishenpur,20/08/2018,0.5, ,NR,NR,NR,
Bishenpur,21/08/2018,0.5, ,NR,NR,NR,
Bishenpur,28/08/2018,0.5, ,NR,NR,NR,
Imphal,01/08/2018,4.3, ,NR,NR,NR,
Imphal,04/08/2018,4.5, ,NR,NR,NR,
Imphal,14/08/2018,4.3, ,NR,NR,NR,
Imphal,16/08/2018,4.5, ,NR,NR,NR,
Imphal,18/08/2018,4.5, ,NR,NR,NR,
Imphal,20/08/2018,4.3, ,NR,NR,NR,
Imphal,21/08/2018,4.5, ,NR,NR,NR,
Lamlong Bazaar,01/08/2018,0.1, ,NR,NR,NR,
Lamlong Bazaar,04/08/2018,0.1, ,NR,NR,NR,
Lamlong Bazaar,14/08/2018,0.1, ,NR,NR,NR,
Lamlong Bazaar,16/08/2018,0.1, ,NR,NR,NR,
Lamlong Bazaar,18/08/2018,0.1, ,NR,NR,NR,
Lamlong Bazaar,20/08/2018,0.1, ,NR,NR,NR,
Lamlong Bazaar,21/08/2018,0.1, ,NR,NR,NR,
Moreh,20/08/2018,0.4, ,NR,NR,NR,
Moreh,21/08/2018,0.5, ,NR,NR,NR,
Thoubal,03/08/2018,0.6, ,NR,NR,NR,
Thoubal,04/08/2018,0.5, ,NR,NR,NR,
Thoubal,14/08/2018,0.7, ,NR,NR,NR,
Thoubal,16/08/2018,0.5, ,NR,NR,NR,
Thoubal,18/08/2018,0.7, ,NR,NR,NR,
Thoubal,20/08/2018,0.5, ,NR,NR,NR,
Thoubal,21/08/2018,0.7, ,NR,NR,NR,
