Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aklera,01/02/2019,180,Other,3400,3775,3587,
Aklera,05/02/2019,108,Other,3450,3740,3595,
Aklera,06/02/2019,144,Other,3400,3750,3575,
Aklera,07/02/2019,162,Other,3350,3724,3537,
Aklera,11/02/2019,162,Other,3300,3708,3504,
Aklera,12/02/2019,90,Other,3400,3708,3554,
Aklera,13/02/2019,108,Other,3100,3708,3404,
Aklera,14/02/2019,45,Other,3200,3700,3450,
Aklera,15/02/2019,81,Other,3350,3700,3525,
Aklera,16/02/2019,90,Other,3350,3730,3540,
Aklera,18/02/2019,108,Other,3000,3690,3345,
Aklera,19/02/2019,108,Other,3200,3725,3462,
Aklera,20/02/2019,90,Other,3250,3750,3500,
Aklera,21/02/2019,117,Other,3300,3740,3520,
Aklera,22/02/2019,126,Other,3350,3706,3528,
Aklera,23/02/2019,45.5,Other,3350,3650,3500,
Aklera,25/02/2019,72,Other,3250,3680,3465,
Aklera,26/02/2019,90,Other,3200,3600,3400,
Aklera,27/02/2019,108,Other,3350,3650,3500,
Aklera,28/02/2019,90,Other,3300,3640,3470,
Anta,01/02/2019,3.4,Other,3072,3640,3356,
Anta,05/02/2019,1.6,Other,3576,3657,3616,
Anta,06/02/2019,6.6,Other,3561,3599,3580,
Anta,07/02/2019,2.4,Other,2520,3530,3525,
Anta,08/02/2019,3.1,Other,3300,3573,3436,
Anta,12/02/2019,0.5,Other,1900,1900,1900,
Anta,13/02/2019,3,Other,3536,3551,3543,
Anta,21/02/2019,1,Other,3411,3588,3499,
Anta,26/02/2019,5.9,Other,3499,3515,3507,
Atru,01/02/2019,81,Other,3550,3779,3664,
Atru,02/02/2019,58,Other,3300,3753,3526,
Atru,04/02/2019,51.6,Other,3598,3740,3669,
Atru,05/02/2019,86.5,Other,3511,3750,3630,
Atru,06/02/2019,49.2,Other,3636,3767,3701,
Atru,07/02/2019,53.8,Other,3400,3698,3549,
Atru,08/02/2019,31.3,Other,3420,3725,3573,
Atru,09/02/2019,32.5,Other,3350,3725,3538,
Atru,11/02/2019,29.5,Other,3481,3711,3596,
Atru,12/02/2019,29.3,Other,3081,3674,3377,
Atru,13/02/2019,37,Other,3451,3699,3575,
Atru,14/02/2019,29.6,Other,3500,3710,3605,
Atru,15/02/2019,32.9,Other,3100,3694,3397,
Atru,16/02/2019,13.7,Other,3480,3696,3587,
Atru,18/02/2019,47.9,Other,3380,3686,3533,
Atru,19/02/2019,41.2,Other,2900,3738,3319,
Atru,20/02/2019,39.7,Other,3490,3715,3602,
Atru,21/02/2019,39.7,Other,3101,3743,3422,
Atru,22/02/2019,25.8,Other,3200,3689,3444,
Atru,23/02/2019,21.6,Other,3442,3688,3565,
Atru,25/02/2019,36.8,Other,3330,3675,3503,
Atru,26/02/2019,13,Other,3575,3638,3606,
Atru,27/02/2019,23.2,Other,3190,3615,3402,
Atru,28/02/2019,23.7,Other,3128,3575,3351,
Atru(Kawai Salpura),01/02/2019,81.4,Other,3700,3768,3734,
