Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kalikiri,01/05/2019,42.23,Local,860,2660,1800,
Kalikiri,02/05/2019,32.3,Local,1000,2800,2130,
Kalikiri,03/05/2019,42.77,Local,1000,3000,2130,
Kalikiri,05/05/2019,48.31,Local,780,3000,2000,
Kalikiri,06/05/2019,43.16,Local,650,2530,1440,
Kalikiri,07/05/2019,42.69,Local,660,2660,1660,
Kalikiri,08/05/2019,41.34,Local,660,2660,1660,
Kalikiri,09/05/2019,31.98,Local,800,2800,1860,
Kalikiri,12/05/2019,46.24,Local,660,2660,1660,
Kalikiri,13/05/2019,49.79,Local,660,2660,1660,
Kalikiri,14/05/2019,42.66,Local,660,2660,1660,
Kalikiri,15/05/2019,38.19,Local,800,2800,1660,
Kalikiri,16/05/2019,37.36,Local,1000,3660,2330,
Kalikiri,17/05/2019,46.77,Local,1000,3660,2330,
Kalikiri,19/05/2019,38.09,Local,1000,3000,2000,
Kalikiri,20/05/2019,37.75,Local,1000,3000,2000,
Kalikiri,21/05/2019,35.59,Local,1000,3000,2000,
Kalikiri,22/05/2019,47.74,Local,950,3000,2000,
Kalikiri,23/05/2019,30.49,Local,1000,3300,2000,
Kalikiri,24/05/2019,32.53,Local,660,2660,1660,
Kalikiri,26/05/2019,39.14,Local,1000,3000,2000,
Kalikiri,27/05/2019,43.13,Local,1000,3300,2000,
Kalikiri,28/05/2019,32.11,Local,1000,3130,2000,
Kalikiri,29/05/2019,32.85,Local,1000,3660,2330,
Kalikiri,30/05/2019,29.22,Local,1330,4000,2330,
Kalikiri,31/05/2019,33.27,Local,1000,4000,2330,
Mulakalacheruvu,01/05/2019,18,Local,700,1600,800,
Mulakalacheruvu,02/05/2019,23,Local,1000,2200,1500,
Mulakalacheruvu,03/05/2019,38,Local,1300,2800,2200,
Mulakalacheruvu,04/05/2019,18,Local,1300,2800,2200,
Mulakalacheruvu,05/05/2019,24,Local,1300,2800,2200,
Mulakalacheruvu,06/05/2019,18,Local,1300,2800,2200,
Mulakalacheruvu,07/05/2019,32,Local,1300,2800,2200,
Mulakalacheruvu,08/05/2019,18,Local,1100,2500,2000,
