Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kalikiri,01/02/2018,8.5,Local,100,400,330,
Kalikiri,02/02/2018,16.8,Local,100,430,320,
Kalikiri,04/02/2018,16.5,Local,150,440,340,
Kalikiri,05/02/2018,16.5,Local,150,440,340,
Kalikiri,06/02/2018,16.1,Local,150,400,330,
Kalikiri,07/02/2018,16.3,Local,130,330,260,
Kalikiri,08/02/2018,16.3,Local,130,330,260,
Kalikiri,09/02/2018,15,Local,150,480,350,
Kalikiri,11/02/2018,18.9,Local,150,500,350,
Kalikiri,12/02/2018,16.1,Local,150,350,270,
Kalikiri,13/02/2018,13,Local,130,330,200,
Kalikiri,14/02/2018,6.3,Local,130,330,260,
Kalikiri,15/02/2018,13.2,Local,200,400,330,
Kalikiri,16/02/2018,16.5,Local,100,300,200,
Kalikiri,18/02/2018,11.6,Local,100,250,180,
Kalikiri,19/02/2018,13.7,Local,100,300,200,
Kalikiri,20/02/2018,12.2,Local,130,330,260,
Kalikiri,21/02/2018,13.7,Local,150,400,330,
Kalikiri,22/02/2018,15.5,Local,130,330,260,
Kalikiri,23/02/2018,16.4,Local,160,260,200,
Kalikiri,25/02/2018,17.1,Local,160,350,260,
Kalikiri,26/02/2018,17.7,Local,177,260,200,
Kalikiri,27/02/2018,18.9,Local,120,260,200,
Kalikiri,28/02/2018,19.5,Local,100,260,180,
Kuppam,01/02/2018,5.6,Local,200,460,310,
Kuppam,02/02/2018,3.8,Local,250,500,350,
Kuppam,03/02/2018,3,Local,250,500,370,
Kuppam,04/02/2018,5,Local,230,500,350,
Kuppam,05/02/2018,5,Local,220,490,350,
Kuppam,06/02/2018,5.1,Local,230,500,350,
Kuppam,07/02/2018,5,Local,200,480,320,
Kuppam,08/02/2018,5.2,Local,210,480,320,
Kuppam,09/02/2018,5,Local,210,470,300,
Kuppam,10/02/2018,4.5,Local,210,480,320,
Kuppam,11/02/2018,5,Local,220,450,310,
Kuppam,12/02/2018,5.1,Local,220,450,310,
Kuppam,13/02/2018,5,Local,200,400,300,
Kuppam,14/02/2018,5,Local,200,420,300,
Kuppam,15/02/2018,6,Local,150,350,270,
Kuppam,16/02/2018,6.5,Local,150,350,270,
Kuppam,17/02/2018,5.8,Local,150,360,270,
Kuppam,18/02/2018,5.5,Local,150,350,280,
Kuppam,19/02/2018,5.5,Local,150,360,280,
Madanapalli,01/02/2018,159,Local,300,440,380,
Madanapalli,01/02/2018,159,Other,100,280,240,
Madanapalli,02/02/2018,188,Local,300,440,380,
Madanapalli,02/02/2018,188,Other,100,280,240,
Madanapalli,03/02/2018,156,Local,380,540,460,
Madanapalli,03/02/2018,156,Other,140,340,260,
Madanapalli,04/02/2018,148,Local,500,620,580,
Madanapalli,04/02/2018,148,Other,160,480,340,
Madanapalli,05/02/2018,164,Local,300,440,380,
Madanapalli,05/02/2018,164,Other,100,280,240,
Madanapalli,06/02/2018,242,Local,300,480,400,
Madanapalli,06/02/2018,242,Other,100,280,240,
Madanapalli,07/02/2018,243,Local,300,480,400,
Madanapalli,07/02/2018,243,Other,100,280,240,
Madanapalli,08/02/2018,293,Local,300,440,380,
Madanapalli,08/02/2018,293,Other,100,280,240,
Madanapalli,09/02/2018,196,Local,300,440,380,
Madanapalli,09/02/2018,196,Other,100,280,240,
Madanapalli,10/02/2018,182,Local,300,440,380,
Madanapalli,10/02/2018,182,Other,100,280,240,
Madanapalli,11/02/2018,150,Local,300,440,380,
Madanapalli,11/02/2018,150,Other,100,280,240,
Madanapalli,12/02/2018,184,Local,100,260,200,
Madanapalli,13/02/2018,100,Local,480,600,560,
Madanapalli,13/02/2018,100,Other,160,440,320,
Madanapalli,14/02/2018,141,Local,300,440,380,
Madanapalli,14/02/2018,141,Other,100,280,240,
Madanapalli,15/02/2018,212,Local,240,360,320,
Madanapalli,15/02/2018,212,Other,100,220,180,
Madanapalli,16/02/2018,266,Local,200,300,260,
Madanapalli,16/02/2018,266,Other,80,180,160,
Madanapalli,17/02/2018,139,Local,180,260,240,
Madanapalli,17/02/2018,139,Other,80,160,140,
Madanapalli,18/02/2018,145,Local,200,320,280,
Madanapalli,18/02/2018,145,Other,80,180,140,
Madanapalli,19/02/2018,86,Local,400,520,480,
Madanapalli,19/02/2018,86,Other,100,380,280,
Madanapalli,20/02/2018,104,Local,480,600,560,
Madanapalli,20/02/2018,104,Other,160,440,320,
Madanapalli,21/02/2018,113,Local,300,460,380,
Madanapalli,21/02/2018,113,Other,100,280,240,
Madanapalli,22/02/2018,148.8,Local,180,280,240,
Madanapalli,22/02/2018,148.8,Other,80,160,140,
Madanapalli,23/02/2018,214,Local,200,320,280,
Madanapalli,23/02/2018,214,Other,100,180,160,
Madanapalli,24/02/2018,110,Local,200,300,260,
Madanapalli,24/02/2018,110,Other,100,180,160,
Madanapalli,25/02/2018,61,Local,300,400,360,
Madanapalli,25/02/2018,61,Other,100,280,240,
Madanapalli,26/02/2018,123,Local,400,560,500,
Madanapalli,26/02/2018,123,Other,200,380,340,
Madanapalli,27/02/2018,142,Local,300,480,420,
Madanapalli,27/02/2018,142,Other,100,280,240,
Madanapalli,28/02/2018,149,Local,360,440,420,
Madanapalli,28/02/2018,149,Other,180,320,280,
Mulakalacheruvu,01/02/2018,88,Local,90,230,180,
Mulakalacheruvu,02/02/2018,86,Local,100,220,190,
Mulakalacheruvu,03/02/2018,79,Local,100,300,200,
Mulakalacheruvu,04/02/2018,69,Local,120,320,220,
Mulakalacheruvu,05/02/2018,79,Local,120,320,220,
Mulakalacheruvu,06/02/2018,104,Local,130,330,230,
Mulakalacheruvu,07/02/2018,116,Local,100,300,200,
Mulakalacheruvu,08/02/2018,87,Local,110,310,210,
Mulakalacheruvu,09/02/2018,84,Local,100,300,200,
Mulakalacheruvu,10/02/2018,84,Local,90,280,180,
Mulakalacheruvu,11/02/2018,77,Local,70,250,150,
Mulakalacheruvu,12/02/2018,102,Local,50,200,150,
Mulakalacheruvu,13/02/2018,74,Local,50,200,150,
Mulakalacheruvu,14/02/2018,59,Local,80,250,200,
Mulakalacheruvu,15/02/2018,30,Local,80,250,200,
Mulakalacheruvu,16/02/2018,91,Local,70,240,180,
Mulakalacheruvu,17/02/2018,66,Local,70,240,180,
Mulakalacheruvu,18/02/2018,91,Local,80,250,200,
Mulakalacheruvu,19/02/2018,59,Local,70,240,180,
Mulakalacheruvu,20/02/2018,54,Local,80,250,200,
Mulakalacheruvu,21/02/2018,72,Local,100,270,240,
Mulakalacheruvu,22/02/2018,113,Local,80,250,200,
Mulakalacheruvu,23/02/2018,95,Local,70,240,180,
Mulakalacheruvu,24/02/2018,86,Local,80,250,200,
Mulakalacheruvu,25/02/2018,44,Local,80,250,200,
Mulakalacheruvu,26/02/2018,54,Local,100,300,200,
Mulakalacheruvu,27/02/2018,81,Local,80,250,200,
Palamaner,01/02/2018,205.2,Hybrid,260,460,360,
Palamaner,02/02/2018,288.4,Hybrid,330,530,430,
Palamaner,03/02/2018,194.2,Hybrid,250,500,350,
Palamaner,05/02/2018,176.9,Hybrid,230,530,380,
Palamaner,06/02/2018,191.4,Hybrid,300,600,450,
Palamaner,07/02/2018,254.4,Hybrid,260,660,460,
Palamaner,08/02/2018,196.1,Hybrid,130,330,230,
Palamaner,09/02/2018,201.2,Hybrid,260,660,460,
Palamaner,10/02/2018,236.4,Hybrid,230,530,330,
Palamaner,12/02/2018,185.2,Hybrid,230,530,330,
Palamaner,13/02/2018,133,Hybrid,130,430,330,
Palamaner,14/02/2018,161.5,Hybrid,230,530,330,
Palamaner,15/02/2018,226.6,Hybrid,230,430,330,
Palamaner,16/02/2018,308.7,Hybrid,160,260,200,
Palamaner,17/02/2018,215.8,Hybrid,160,260,200,
Palamaner,18/02/2018,196.9,Hybrid,130,330,230,
Palamaner,19/02/2018,119.7,Hybrid,230,530,330,
Palamaner,20/02/2018,138.9,Hybrid,230,530,330,
Palamaner,21/02/2018,203,Hybrid,230,530,330,
Palamaner,22/02/2018,213.8,Hybrid,260,460,360,
Palamaner,23/02/2018,216.4,Hybrid,100,400,250,
Palamaner,24/02/2018,195.7,Hybrid,130,330,230,
Palamaner,25/02/2018,169.7,Hybrid,130,330,230,
Palamaner,26/02/2018,151.5,Hybrid,100,400,250,
Palamaner,27/02/2018,197.7,Hybrid,230,430,330,
Palamaner,28/02/2018,214.1,Hybrid,100,260,180,
Pattikonda,01/02/2018,25,Local,100,272,184,
Pattikonda,02/02/2018,15,Local,100,272,184,
Pattikonda,03/02/2018,18,Local,124,300,212,
Pattikonda,04/02/2018,15,Local,126,236,176,
Pattikonda,05/02/2018,16,Local,100,212,156,
Pattikonda,06/02/2018,15,Local,124,380,252,
Pattikonda,07/02/2018,15,Local,100,280,188,
Pattikonda,08/02/2018,10,Local,132,204,168,
Pattikonda,09/02/2018,15,Local,100,240,170,
Pattikonda,10/02/2018,14,Local,80,164,120,
Punganur,01/02/2018,30,Hybrid,170,470,300,
Punganur,02/02/2018,31,Hybrid,170,400,300,
Punganur,03/02/2018,31,Hybrid,70,470,330,
Punganur,04/02/2018,31,Hybrid,100,470,250,
Punganur,05/02/2018,32,Hybrid,70,470,250,
Punganur,06/02/2018,31.5,Hybrid,100,470,300,
Punganur,07/02/2018,31,Hybrid,150,470,350,
Punganur,08/02/2018,31,Hybrid,70,470,300,
Punganur,09/02/2018,32,Hybrid,70,470,300,
Punganur,10/02/2018,31,Hybrid,150,400,300,
Punganur,11/02/2018,32,Hybrid,10,400,300,
Punganur,12/02/2018,31,Hybrid,150,270,200,
Punganur,13/02/2018,32,Hybrid,150,400,300,
Punganur,14/02/2018,34,Hybrid,150,470,300,
Punganur,15/02/2018,32,Hybrid,150,400,370,
Punganur,16/02/2018,31,Hybrid,70,250,150,
Punganur,17/02/2018,34,Hybrid,70,200,70,
Punganur,18/02/2018,31.5,Hybrid,70,400,150,
Punganur,19/02/2018,32,Hybrid,70,300,150,
Punganur,20/02/2018,31,Hybrid,70,400,250,
Punganur,21/02/2018,32,Hybrid,70,470,300,
Punganur,22/02/2018,32,Hybrid,70,370,150,
Punganur,23/02/2018,32.1,Hybrid,70,400,300,
Punganur,24/02/2018,32.1,Hybrid,70,470,150,
Punganur,25/02/2018,32,Hybrid,70,433,150,
Punganur,27/02/2018,33.24,Hybrid,340,400,370,
Vayalapadu,01/02/2018,40.6,Local,120,520,240,
Vayalapadu,02/02/2018,41.2,Local,160,500,360,
Vayalapadu,03/02/2018,44.3,Local,160,640,400,
Vayalapadu,04/02/2018,26,Local,200,480,360,
Vayalapadu,05/02/2018,40.2,Local,240,560,440,
Vayalapadu,06/02/2018,36,Local,200,620,360,
Vayalapadu,07/02/2018,40.3,Local,240,620,360,
Vayalapadu,08/02/2018,45.6,Local,200,600,360,
Vayalapadu,09/02/2018,41.4,Local,160,480,340,
Vayalapadu,10/02/2018,42.7,Local,200,480,300,
Vayalapadu,11/02/2018,30.9,Local,120,380,260,
Vayalapadu,12/02/2018,43.5,Local,140,320,240,
Vayalapadu,13/02/2018,41,Local,100,320,200,
Vayalapadu,14/02/2018,26,Local,120,320,200,
Vayalapadu,15/02/2018,20.5,Local,120,320,240,
Vayalapadu,16/02/2018,33.3,Local,160,360,200,
Vayalapadu,17/02/2018,30,Local,140,240,180,
Vayalapadu,18/02/2018,17.5,Local,140,280,220,
Vayalapadu,19/02/2018,30,Local,120,300,220,
Vayalapadu,20/02/2018,28.2,Local,120,400,280,
Vayalapadu,21/02/2018,31.2,Local,160,440,300,
Vayalapadu,22/02/2018,28.5,Local,160,360,240,
Vayalapadu,23/02/2018,38.3,Local,160,320,280,
Vayalapadu,24/02/2018,32.7,Local,160,360,200,
Vayalapadu,25/02/2018,21.7,Local,140,280,200,
Vayalapadu,26/02/2018,29.8,Local,160,400,280,
Vayalapadu,27/02/2018,31.1,Local,160,420,240,
Vayalapadu,28/02/2018,28.4,Local,160,400,280,
