Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Chandigarh(Grain/Fruit),02/01/2018,106.75,Other,800,1600,1200,
Chandigarh(Grain/Fruit),03/01/2018,60.98,Other,800,1600,1200,
Chandigarh(Grain/Fruit),04/01/2018,70.38,Other,800,1600,1200,
Chandigarh(Grain/Fruit),05/01/2018,65.58,Other,800,1600,1200,
Chandigarh(Grain/Fruit),06/01/2018,98.22,Other,800,1400,1100,
Chandigarh(Grain/Fruit),07/01/2018,99.25,Other,800,1400,1100,
Chandigarh(Grain/Fruit),09/01/2018,113.65,Other,800,1400,1100,
Chandigarh(Grain/Fruit),10/01/2018,71.97,Other,800,1400,1100,
Chandigarh(Grain/Fruit),11/01/2018,109.67,Other,800,1400,1100,
Chandigarh(Grain/Fruit),12/01/2018,54.5,Other,800,1400,1100,
Chandigarh(Grain/Fruit),13/01/2018,49.38,Other,800,1400,1100,
Chandigarh(Grain/Fruit),14/01/2018,70.97,Other,800,1400,1100,
Chandigarh(Grain/Fruit),16/01/2018,58.83,Other,800,1400,1100,
Chandigarh(Grain/Fruit),17/01/2018,88.33,Other,800,1400,1100,
Chandigarh(Grain/Fruit),18/01/2018,111.05,Other,800,1400,1100,
Chandigarh(Grain/Fruit),19/01/2018,82.08,Other,800,1400,1100,
Chandigarh(Grain/Fruit),20/01/2018,92.92,Other,800,1400,1100,
Chandigarh(Grain/Fruit),21/01/2018,96.03,Other,800,1400,1100,
Chandigarh(Grain/Fruit),23/01/2018,76.35,Other,800,1400,1100,
Chandigarh(Grain/Fruit),24/01/2018,81.95,Other,800,1400,1100,
Chandigarh(Grain/Fruit),25/01/2018,91.13,Other,800,1400,1100,
Chandigarh(Grain/Fruit),26/01/2018,89.35,Other,800,1400,1100,
Chandigarh(Grain/Fruit),27/01/2018,76.35,Other,800,1400,1100,
Chandigarh(Grain/Fruit),28/01/2018,81.65,Other,800,1400,1100,
Chandigarh(Grain/Fruit),30/01/2018,74.35,Other,800,1400,1100,
Chandigarh(Grain/Fruit),31/01/2018,80.88,Other,800,1400,1100,
