Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Durg,01/04/2018,128,Local,200,300,250,
Durg,03/04/2018,134,Local,200,300,250,
Durg,04/04/2018,120,Local,600,800,700,
Durg,05/04/2018,125,Local,500,700,600,
Durg,06/04/2018,130,Local,600,800,700,
Durg,07/04/2018,129,Local,500,600,550,
Durg,08/04/2018,130,Local,500,600,550,
Durg,10/04/2018,135,Local,400,500,450,
Durg,11/04/2018,150,Local,500,700,600,
Durg,12/04/2018,134,Local,700,800,750,
Durg,13/04/2018,140,Local,500,700,600,
Durg,14/04/2018,125,Local,400,600,500,
Durg,15/04/2018,156,Local,700,900,800,
Durg,17/04/2018,166,Local,600,800,700,
Durg,18/04/2018,136, ,NR,NR,NR,
Durg,19/04/2018,115, ,NR,NR,NR,
Durg,20/04/2018,120, ,NR,NR,NR,
Durg,21/04/2018,125, ,NR,NR,NR,
Durg,22/04/2018,156, ,NR,NR,NR,
Durg,25/04/2018,117, ,NR,NR,NR,
Durg,26/04/2018,123, ,NR,NR,NR,
Durg,27/04/2018,110, ,NR,NR,NR,
Durg,28/04/2018,138, ,NR,NR,NR,
Durg,29/04/2018,129, ,NR,NR,NR,
Raigarh,02/04/2018,4,Other,500,600,500,
Raigarh,03/04/2018,26,Other,400,500,400,
Raigarh,04/04/2018,27,Other,400,500,400,
Raigarh,05/04/2018,26,Other,300,400,300,
Raigarh,06/04/2018,27,Other,300,400,300,
Raigarh,08/04/2018,28,Other,300,400,300,
Raigarh,09/04/2018,27,Other,300,400,300,
Raigarh,10/04/2018,26,Other,300,400,300,
Raigarh,11/04/2018,26,Other,300,400,300,
Raigarh,12/04/2018,27,Other,300,400,300,
Raigarh,13/04/2018,26,Other,300,400,300,
Raigarh,14/04/2018,26,Other,300,400,300,
Raigarh,15/04/2018,27,Other,300,400,300,
Raigarh,16/04/2018,24,Other,200,300,200,
Raigarh,17/04/2018,27,Other,300,400,300,
Raigarh,18/04/2018,26,Other,400,500,400,
Raigarh,22/04/2018,27,Other,700,800,700,
Raigarh,23/04/2018,26,Other,700,800,700,
Raigarh,25/04/2018,26,Other,600,700,600,
Raigarh,26/04/2018,26,Other,500,600,500,
Raigarh,27/04/2018,24,Other,600,700,600,
Raigarh,28/04/2018,27,Other,700,800,700,
Raigarh,29/04/2018,28,Other,900,1000,900,
Raigarh,30/04/2018,27,Other,900,1000,900,
Rajnandgaon,01/04/2018,75,Local,200,200,200,
Rajnandgaon,03/04/2018,70,Local,200,200,200,
Rajnandgaon,04/04/2018,62.5,Local,200,200,200,
Rajnandgaon,05/04/2018,67.5,Local,200,200,200,
Rajnandgaon,06/04/2018,67.5,Local,200,200,200,
Rajnandgaon,07/04/2018,50,Local,300,300,300,
Rajnandgaon,08/04/2018,55,Local,200,200,200,
Rajnandgaon,10/04/2018,55,Local,200,200,200,
Rajnandgaon,11/04/2018,52.5,Local,200,200,200,
Rajnandgaon,12/04/2018,50,Local,200,200,200,
Rajnandgaon,13/04/2018,54,Local,300,300,300,
Rajnandgaon,14/04/2018,52.5,Local,300,300,300,
Rajnandgaon,15/04/2018,55,Local,300,300,300,
Rajnandgaon,17/04/2018,62.5,Local,300,300,300,
Rajnandgaon,18/04/2018,45,Local,500,500,500,
Rajnandgaon,19/04/2018,50,Local,400,400,400,
Rajnandgaon,20/04/2018,55,Local,500,500,500,
Rajnandgaon,21/04/2018,52.5,Local,300,300,300,
Rajnandgaon,22/04/2018,62.5, ,NR,NR,NR,
Rajnandgaon,25/04/2018,50,Local,800,800,800,
Rajnandgaon,26/04/2018,55,Local,600,600,600,
Rajnandgaon,27/04/2018,52.5,Local,600,600,600,
Rajnandgaon,28/04/2018,50,Local,700,700,700,
Rajnandgaon,29/04/2018,55,Local,800,800,800,
Tiphra,02/04/2018,200,Other,400,500,450,
Tiphra,03/04/2018,180,Other,300,400,350,
Tiphra,04/04/2018,160,Other,140,300,200,
Tiphra,05/04/2018,180,Other,100,200,150,
Tiphra,06/04/2018,170,Other,200,300,250,
Tiphra,07/04/2018,170,Other,300,350,300,
Tiphra,08/04/2018,160,Other,200,400,300,
Tiphra,09/04/2018,150,Other,150,200,170,
Tiphra,10/04/2018,140,Other,100,200,150,
Tiphra,11/04/2018,150,Other,120,160,140,
Tiphra,12/04/2018,140,Other,100,200,150,
Tiphra,13/04/2018,140,Other,150,200,180,
Tiphra,14/04/2018,150,Other,300,400,350,
Tiphra,15/04/2018,140,Other,200,250,220,
Tiphra,16/04/2018,140,Other,100,150,120,
Tiphra,17/04/2018,150,Other,140,200,160,
Tiphra,18/04/2018,140,Other,200,240,220,
Tiphra,19/04/2018,140,Other,200,250,200,
Tiphra,20/04/2018,130,Other,250,300,280,
Tiphra,21/04/2018,150,Other,200,300,250,
Tiphra,22/04/2018,140, ,NR,NR,NR,
Tiphra,23/04/2018,150, ,NR,NR,NR,
Tiphra,24/04/2018,150,Other,200,300,240,
Tiphra,25/04/2018,180,Other,200,400,300,
Tiphra,26/04/2018,200,Other,150,250,200,
Tiphra,27/04/2018,220,Other,200,300,250,
Tiphra,28/04/2018,200,Other,200,300,250,
Tiphra,29/04/2018,200,Other,300,350,320,
Tiphra,30/04/2018,220,Other,300,340,320,
