Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Durg,01/03/2020,62,Local,400,500,450,
Durg,02/03/2020,62, ,NR,NR,NR,
Durg,03/03/2020,64.5,Local,300,500,400,
Durg,04/03/2020,39,Local,400,600,500,
Durg,05/03/2020,41,Local,500,600,550,
Durg,06/03/2020,49,Local,300,400,350,
Durg,07/03/2020,51,Local,300,500,400,
Durg,09/03/2020,54,Local,400,500,450,
Durg,12/03/2020,31,Local,400,600,500,
Durg,13/03/2020,38,Local,600,700,650,
Durg,14/03/2020,41,Local,400,600,500,
Durg,15/03/2020,44,Local,500,600,550,
Durg,17/03/2020,52,Local,400,600,500,
Durg,18/03/2020,56,Local,500,600,550,
Durg,19/03/2020,58,Local,300,400,350,
Durg,20/03/2020,62,Local,200,400,300,
Durg,21/03/2020,45,Local,300,500,400,
Durg,24/03/2020,53,Local,400,600,500,
Durg,25/03/2020,34,Local,1000,1500,1250,
Durg,26/03/2020,31, ,NR,NR,NR,
Durg,27/03/2020,36, ,NR,NR,NR,
Durg,28/03/2020,29,Local,1000,1200,1100,
Durg,29/03/2020,51,Local,300,400,350,
Durg,31/03/2020,54,Local,500,600,550,
Raigarh,06/03/2020,22,Other,1000,1000,1000,
Raigarh,10/03/2020,54,Other,600,800,600,
Raigarh,14/03/2020,52,Other,800,1000,800,
Raigarh,21/03/2020,54,Other,800,900,800,
Raigarh,23/03/2020,32,Other,1000,1000,1000,
Raigarh,24/03/2020,20,Other,900,1000,900,
Raigarh,25/03/2020,15,Other,1000,1200,1000,
Raigarh,26/03/2020,12,Other,1000,1200,1000,
Raigarh,27/03/2020,25,Other,1400,1500,1400,
Raigarh,28/03/2020,32,Other,1350,1500,1400,
Raigarh,29/03/2020,22,Other,1900,2000,1900,
Raigarh,30/03/2020,23,Other,1500,2000,1500,
Raigarh,31/03/2020,16,Other,1800,2000,1800,
Rajnandgaon,01/03/2020,120,Local,500,500,500,
Rajnandgaon,03/03/2020,100,Local,400,400,400,
Rajnandgaon,04/03/2020,100,Local,400,400,400,
Rajnandgaon,05/03/2020,100,Local,400,400,400,
Rajnandgaon,06/03/2020,100,Local,300,300,300,
Rajnandgaon,07/03/2020,100,Local,300,300,300,
Rajnandgaon,11/03/2020,120,Local,400,400,400,
Rajnandgaon,12/03/2020,80,Local,500,500,500,
Rajnandgaon,13/03/2020,100,Local,400,400,400,
Rajnandgaon,14/03/2020,100,Local,400,400,400,
Rajnandgaon,15/03/2020,120,Local,400,400,400,
Rajnandgaon,17/03/2020,120,Local,500,500,500,
Rajnandgaon,18/03/2020,100,Local,400,400,400,
Rajnandgaon,30/03/2020,100,Local,500,500,500,
Rajnandgaon,31/03/2020,100,Local,500,500,500,
Tiphra,02/03/2020,240,Other,300,400,350,
Tiphra,03/03/2020,230,Other,300,450,350,
Tiphra,04/03/2020,240,Other,300,400,350,
Tiphra,05/03/2020,250,Other,200,300,250,
Tiphra,06/03/2020,240,Other,250,300,250,
Tiphra,07/03/2020,250,Other,250,300,250,
Tiphra,08/03/2020,240,Other,250,300,250,
Tiphra,09/03/2020,220,Other,200,300,250,
Tiphra,12/03/2020,200,Other,400,600,500,
Tiphra,13/03/2020,220,Other,500,600,550,
Tiphra,14/03/2020,200,Other,500,600,550,
Tiphra,15/03/2020,210,Other,500,600,550,
Tiphra,16/03/2020,220,Other,600,650,600,
Tiphra,17/03/2020,205,Other,500,600,550,
Tiphra,18/03/2020,210,Other,500,600,550,
Tiphra,19/03/2020,200,Other,500,600,550,
Tiphra,20/03/2020,210,Other,800,1200,1000,
Tiphra,21/03/2020,200,Other,600,800,700,
Tiphra,27/03/2020,80, ,NR,NR,NR,
Tiphra,28/03/2020,70, ,NR,NR,NR,
Tiphra,29/03/2020,100, ,NR,NR,NR,
Tiphra,30/03/2020,150, ,NR,NR,NR,
Tiphra,31/03/2020,200,Other,1000,1100,1000,
