Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmedabad,01/04/2019,275.4,Other,500,1200,950,
Ahmedabad,02/04/2019,138.8,Other,600,1200,1000,
Ahmedabad,03/04/2019,297.3,Other,500,1200,900,
Ahmedabad,04/04/2019,179.1,Other,400,1300,950,
Ahmedabad,05/04/2019,172,Other,500,1100,850,
Ahmedabad,08/04/2019,502.9,Other,600,1200,1000,
Ahmedabad,09/04/2019,306.2,Other,500,1000,800,
Ahmedabad,10/04/2019,349.9,Other,400,1000,750,
Ahmedabad,11/04/2019,230.8,Other,500,1000,800,
Ahmedabad,12/04/2019,263.7,Other,400,1100,900,
Ahmedabad,13/04/2019,200.6,Other,400,1000,800,
Ahmedabad,15/04/2019,436.4,Other,500,1100,900,
Ahmedabad,16/04/2019,213.4,Other,300,1000,800,
Ahmedabad,18/04/2019,371.4,Other,500,1000,850,
Ahmedabad,20/04/2019,488,Other,500,1100,900,
Ahmedabad,22/04/2019,476.5,Other,500,1200,1000,
Ahmedabad,24/04/2019,320,Other,500,1100,850,
Ahmedabad,25/04/2019,172.5,Other,700,1400,1100,
Ahmedabad,26/04/2019,131.8,Other,700,1500,1200,
Ahmedabad,27/04/2019,132.5,Other,800,1500,1200,
Ahmedabad,29/04/2019,209.9,Other,1000,2200,1700,
Ahmedabad,30/04/2019,192.4,Other,800,2200,1600,
Ahmedabad,02/04/2019,11.6,Other,700,800,750,
Ahmedabad,03/04/2019,10.2,Other,600,800,700,
Ahmedabad,04/04/2019,5,Other,700,800,750,
Ahmedabad,05/04/2019,8.2,Other,500,1000,750,
Ahmedabad,06/04/2019,7.4,Other,700,800,750,
Ahmedabad,08/04/2019,10.4,Other,500,700,600,
Ahmedabad,09/04/2019,7.4,Other,500,600,550,
Ahmedabad,10/04/2019,7,Other,600,800,700,
Ahmedabad,11/04/2019,8,Other,500,750,600,
Ahmedabad,12/04/2019,6.4,Other,500,600,550,
Ahmedabad,13/04/2019,10.8, ,NR,NR,NR,
Ahmedabad,15/04/2019,10.8,Other,700,800,750,
Ahmedabad,16/04/2019,8.8,Other,500,700,600,
Ahmedabad,17/04/2019,6,Other,700,750,725,
Ahmedabad,18/04/2019,7,Other,500,600,550,
Ahmedabad,19/04/2019,7.2,Other,750,1000,900,
Ahmedabad,20/04/2019,7.6,Other,500,750,600,
Ahmedabad,22/04/2019,9.6,Other,700,750,725,
Ahmedabad,24/04/2019,9.8,Other,750,1000,900,
Ahmedabad,25/04/2019,10,Other,800,1000,900,
Ahmedabad,26/04/2019,9.8,Other,500,700,600,
Ahmedabad,27/04/2019,11.6,Other,1250,1500,1400,
Ahmedabad,29/04/2019,5.6,Other,1250,1500,1400,
Ahmedabad,30/04/2019,13.4,Other,1400,1500,1450,
Ankleshwar,01/04/2019,26.11,Tomato,500,1400,1175,
Ankleshwar,02/04/2019,29,Tomato,425,875,650,
Ankleshwar,03/04/2019,30,Tomato,500,1400,1175,
Ankleshwar,05/04/2019,32,Tomato,425,1100,875,
Ankleshwar,06/04/2019,0.33,Tomato,550,1250,1000,
Ankleshwar,07/04/2019,30.22,Tomato,650,1100,925,
Ankleshwar,08/04/2019,35,Tomato,500,1200,950,
Ankleshwar,09/04/2019,27.72,Tomato,550,1250,1000,
Ankleshwar,10/04/2019,29.08,Tomato,500,1400,1175,
Ankleshwar,11/04/2019,29,Tomato,500,1200,950,
Ankleshwar,12/04/2019,30,Tomato,550,1250,1000,
Ankleshwar,13/04/2019,28.12,Tomato,550,1250,1000,
Ankleshwar,14/04/2019,32.54,Tomato,550,1250,1000,
Ankleshwar,15/04/2019,33,Tomato,650,1500,1100,
Ankleshwar,16/04/2019,30.22,Tomato,750,1450,1200,
Ankleshwar,17/04/2019,28.52,Tomato,650,1500,1100,
Ankleshwar,18/04/2019,27.27,Tomato,650,1100,875,
Ankleshwar,19/04/2019,28.72,Tomato,650,1100,875,
Ankleshwar,20/04/2019,29,Tomato,550,1250,1000,
Ankleshwar,21/04/2019,30,Tomato,550,1250,1000,
Ankleshwar,22/04/2019,30.55,Tomato,550,1250,1000,
Ankleshwar,24/04/2019,27.33,Tomato,600,1500,1275,
Ankleshwar,25/04/2019,30.22,Tomato,800,1500,1325,
Ankleshwar,26/04/2019,35,Tomato,800,1500,1250,
Ankleshwar,27/04/2019,27.63,Tomato,800,1500,1250,
Ankleshwar,28/04/2019,28.72,Tomato,1100,1500,1325,
Ankleshwar,29/04/2019,29,Tomato,650,1325,1100,
Ankleshwar,30/04/2019,27.12,Tomato,800,1500,1325,
Bardoli(Katod),01/04/2019,0.16,Other,900,1800,1450,
Bardoli(Katod),02/04/2019,0.36,Other,900,2000,1550,
Bardoli(Katod),03/04/2019,0.4,Other,900,1850,1400,
Bardoli(Katod),04/04/2019,0.34,Other,700,1450,1100,
Bardoli(Katod),05/04/2019,0.3,Other,900,1700,1320,
Bardoli(Katod),06/04/2019,0.2,Other,800,1250,1030,
Bardoli(Katod),07/04/2019,0.24,Other,750,1280,1100,
Bardoli(Katod),08/04/2019,0.2,Other,750,1200,1000,
Bardoli(Katod),09/04/2019,0.24,Other,600,1250,950,
Bardoli(Katod),10/04/2019,0.04,Other,1250,1250,1250,
Bardoli(Katod),11/04/2019,0.28,Other,650,1250,990,
Bardoli(Katod),12/04/2019,0.3,Other,700,1200,1060,
Bardoli(Katod),13/04/2019,0.2,Other,700,1000,870,
Bardoli(Katod),14/04/2019,0.32,Other,600,1000,725,
Bardoli(Katod),15/04/2019,0.16,Other,600,1100,800,
Bardoli(Katod),16/04/2019,0.06,Other,700,1100,1100,
Bardoli(Katod),17/04/2019,0.3,Other,1000,2200,1800,
Bardoli(Katod),19/04/2019,0.16,Other,600,1250,950,
Bardoli(Katod),20/04/2019,0.08,Other,600,1250,950,
Bardoli(Katod),22/04/2019,0.08,Other,750,1250,750,
Bardoli(Katod),23/04/2019,0.28,Other,600,1250,880,
Bardoli(Katod),24/04/2019,0.24,Other,650,1250,960,
Bardoli(Katod),25/04/2019,0.16,Other,750,1150,750,
Bardoli(Katod),26/04/2019,0.2,Other,800,1550,800,
Bardoli(Katod),27/04/2019,0.16,Other,850,1500,1150,
Bharuch,01/04/2019,18.96,Other,800,1250,1000,
Bharuch,02/04/2019,12.58, ,NR,NR,NR,
Bharuch,03/04/2019,14.56,Other,800,1250,1000,
Bharuch,04/04/2019,12.58,Other,800,1250,1000,
Bharuch,05/04/2019,15.46,Other,800,1200,1000,
Bharuch,09/04/2019,12.46,Other,700,1200,850,
Bharuch,11/04/2019,12.46,Other,800,1200,1000,
Bharuch,13/04/2019,12.42,Other,800,1250,1000,
Bharuch,14/04/2019,5.46,Other,800,1250,1000,
Bharuch,15/04/2019,14.5,Other,800,1200,1000,
Bharuch,16/04/2019,11.52,Other,800,1250,1000,
Bharuch,17/04/2019,12.46,Other,800,1250,1000,
Bharuch,18/04/2019,14.52,Other,800,1250,1000,
Bharuch,19/04/2019,13.42,Other,800,1200,1000,
Bharuch,20/04/2019,12,Other,800,1250,1000,
Bharuch,23/04/2019,3.56,Other,800,1250,1000,
Bharuch,24/04/2019,13.48,Other,800,1200,1000,
Bharuch,25/04/2019,12.46,Other,800,1250,1000,
Bharuch,26/04/2019,16.52,Other,800,1300,1000,
Bharuch,27/04/2019,13.24,Other,800,1250,1000,
Bharuch,28/04/2019,11.02,Other,800,1250,1000,
Bharuch,29/04/2019,6.52,Other,800,1250,1000,
Bharuch,30/04/2019,12.04,Other,800,1250,1000,
Bhavnagar,01/04/2019,30,Tomato,1000,1750,1500,
Bhavnagar,02/04/2019,30,Tomato,1250,2000,1500,
Bhavnagar,04/04/2019,30,Tomato,2000,2500,2250,
Bhavnagar,05/04/2019,30,Tomato,1500,2250,1750,
Bhavnagar,08/04/2019,30,Tomato,1000,1150,1100,
Bhavnagar,09/04/2019,30,Tomato,1400,1600,1500,
Bhavnagar,10/04/2019,30,Tomato,1250,1500,1375,
Bhavnagar,11/04/2019,28,Tomato,2000,2500,2250,
Bhavnagar,12/04/2019,30,Tomato,1500,2000,1750,
