Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmedabad,01/10/2019,231.8, ,NR,NR,NR,
Ahmedabad,03/10/2019,601.6,Other,2000,3500,2850,
Ahmedabad,04/10/2019,189.1, ,NR,NR,NR,
Ahmedabad,07/10/2019,498.9,Other,1500,4000,3000,
Ahmedabad,09/10/2019,628.6, ,NR,NR,NR,
Ahmedabad,10/10/2019,263.2, ,NR,NR,NR,
Ahmedabad,11/10/2019,356.4, ,NR,NR,NR,
Ahmedabad,12/10/2019,304.8,Other,2000,4000,3100,
Ahmedabad,14/10/2019,556,Other,2500,4000,3350,
Ahmedabad,15/10/2019,303.4, ,NR,NR,NR,
Ahmedabad,16/10/2019,339.6,Other,2700,4000,3550,
Ahmedabad,17/10/2019,313.1,Other,2500,3200,2900,
Ahmedabad,18/10/2019,271.1,Other,2000,3200,2700,
Ahmedabad,19/10/2019,267.1,Other,2000,3000,2600,
Ahmedabad,21/10/2019,586.9,Other,2000,3500,2850,
Ahmedabad,22/10/2019,339.1,Other,2200,3500,2900,
Ahmedabad,23/10/2019,238.5,Other,2000,3500,2900,
Ahmedabad,24/10/2019,258.6,Other,2000,3500,2800,
Ahmedabad,25/10/2019,264.5,Other,2500,4000,3250,
Ahmedabad,26/10/2019,283.5, ,NR,NR,NR,
Ahmedabad,30/10/2019,952.5,Other,1700,3200,2500,
Ahmedabad,02/10/2019,14.1, ,NR,NR,NR,
Ahmedabad,03/10/2019,10.5,Other,2500,3000,2800,
Ahmedabad,05/10/2019,13.8, ,NR,NR,NR,
Ahmedabad,07/10/2019,16.1, ,NR,NR,NR,
Ahmedabad,08/10/2019,13.8, ,NR,NR,NR,
Ahmedabad,09/10/2019,14.1, ,NR,NR,NR,
Ahmedabad,11/10/2019,17.7, ,NR,NR,NR,
Ahmedabad,12/10/2019,16.8,Other,2500,3000,2800,
Ahmedabad,14/10/2019,16.2,Other,2500,3000,2800,
Ahmedabad,15/10/2019,14,Other,2000,2500,2350,
Ahmedabad,16/10/2019,17, ,NR,NR,NR,
Ahmedabad,17/10/2019,14,Other,3000,3250,3100,
Ahmedabad,18/10/2019,7.7,Other,2000,2500,2300,
Ahmedabad,21/10/2019,15,Other,2500,3000,2800,
Ahmedabad,22/10/2019,16,Other,2500,3000,2800,
Ahmedabad,23/10/2019,13.8,Other,1500,2000,1800,
Ahmedabad,24/10/2019,19.3,Other,2000,2500,2400,
Ahmedabad,25/10/2019,17.2,Other,2000,2500,2400,
Ahmedabad,26/10/2019,10.6, ,NR,NR,NR,
Ahmedabad,30/10/2019,11.8,Other,2000,2500,2300,
Ahmedabad,31/10/2019,15.6,Other,2000,2500,2300,
Ankleshwar,01/10/2019,30.07,Tomato,1000,2600,2200,
Ankleshwar,02/10/2019,29.27,Tomato,975,2575,2175,
Ankleshwar,03/10/2019,30,Tomato,1275,2575,2350,
Ankleshwar,04/10/2019,33.43,Tomato,1450,2750,2350,
Ankleshwar,05/10/2019,34.43,Tomato,1400,3000,2250,
Ankleshwar,06/10/2019,33,Tomato,1400,3000,2750,
Ankleshwar,07/10/2019,30.22,Tomato,1500,3300,2900,
Ankleshwar,08/10/2019,26,Tomato,1900,3500,2800,
Ankleshwar,09/10/2019,27.72,Tomato,2350,3475,3000,
Ankleshwar,10/10/2019,28,Tomato,1650,4350,3650,
Ankleshwar,11/10/2019,25.22,Tomato,2350,3950,3500,
Ankleshwar,12/10/2019,30.54,Tomato,2750,3875,3650,
Ankleshwar,13/10/2019,26.5,Tomato,2600,3500,3275,
Ankleshwar,14/10/2019,23.45,Tomato,1700,2600,2400,
Ankleshwar,15/10/2019,20.22,Tomato,1000,2800,2350,
Ankleshwar,16/10/2019,28.42,Tomato,1900,3500,3250,
Ankleshwar,17/10/2019,26.72,Tomato,1700,3500,3000,
Ankleshwar,18/10/2019,27.27,Tomato,1700,3000,2600,
Ankleshwar,19/10/2019,25.3,Tomato,1100,2400,2000,
Ankleshwar,20/10/2019,29,Tomato,1250,2400,2000,
Ankleshwar,21/10/2019,21.99,Tomato,1325,3575,2925,
Ankleshwar,22/10/2019,22.99,Tomato,1700,3500,3000,
Ankleshwar,23/10/2019,23.45,Tomato,1325,3125,2500,
Ankleshwar,24/10/2019,27.33,Tomato,1400,3000,2750,
Ankleshwar,25/10/2019,25,Tomato,1500,2800,2400,
Ankleshwar,26/10/2019,35,Tomato,1500,3300,2675,
Ankleshwar,27/10/2019,27.27,Tomato,1400,3000,2600,
Bharuch,01/10/2019,16.96,Other,1000,1700,1500,
Bharuch,02/10/2019,16.52,Other,1200,2000,1500,
Bharuch,03/10/2019,26.46,Other,1000,1500,1300,
Bharuch,04/10/2019,19.64,Other,1200,1750,1500,
Bharuch,05/10/2019,21.46,Other,1200,1600,1400,
Bharuch,06/10/2019,19.54,Other,1200,1650,1500,
Bharuch,07/10/2019,16.54,Other,1200,1700,1500,
Bharuch,08/10/2019,15.46,Other,1000,1650,1400,
Bharuch,12/10/2019,19.64,Other,1300,1700,1500,
Bharuch,13/10/2019,13.96,Other,1300,1750,1500,
Bharuch,15/10/2019,16.86,Other,1200,1750,1500,
