Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambala Cantt.,01/12/2018,8.5,Other,900,1200,1000,
Ambala Cantt.,04/12/2018,12,Other,800,1100,1000,
Ambala Cantt.,05/12/2018,10,Other,800,1200,1000,
Ambala Cantt.,06/12/2018,14.5,Other,1000,1500,1200,
Ambala Cantt.,07/12/2018,15,Other,1000,1300,1200,
Ambala Cantt.,09/12/2018,15,Other,1000,1300,1200,
Ambala Cantt.,11/12/2018,15,Other,1000,1300,1150,
Ambala Cantt.,12/12/2018,14.5,Other,1000,1300,1200,
Ambala Cantt.,13/12/2018,13,Other,1000,1300,1200,
Ambala Cantt.,16/12/2018,10,Other,1000,1400,1200,
Ambala Cantt.,18/12/2018,8.5,Other,800,1100,1000,
Ambala Cantt.,19/12/2018,12,Other,800,1100,1000,
Ambala Cantt.,20/12/2018,10,Other,800,1100,1000,
Ambala Cantt.,22/12/2018,8,Other,800,1000,900,
Ambala Cantt.,23/12/2018,7.5,Other,800,1100,1000,
Ambala Cantt.,25/12/2018,5,Other,800,1200,1000,
Ambala Cantt.,27/12/2018,7,Other,1000,1200,1100,
Ambala Cantt.,29/12/2018,10,Other,1000,1500,1200,
Ambala City,03/12/2018,11.7,Local,1100,1500,1300,
Ambala City,05/12/2018,12.8,Local,1000,1505,1300,
Ambala City,06/12/2018,11.2,Local,978,1520,1200,
Asandh,02/12/2018,1.5,Other,1500,1700,1650,
Asandh,03/12/2018,1.7,Other,1500,1600,1550,
Asandh,06/12/2018,1.3,Other,1400,1500,1450,
Asandh,07/12/2018,2,Other,1400,1600,1550,
Asandh,08/12/2018,2.1,Other,1400,1550,1500,
Asandh,09/12/2018,2,Other,1500,1600,1550,
Asandh,10/12/2018,2, ,NR,NR,NR,
Asandh,11/12/2018,2.3, ,NR,NR,NR,
Asandh,12/12/2018,1.9, ,NR,NR,NR,
Asandh,13/12/2018,2.4, ,NR,NR,NR,
Asandh,14/12/2018,1.8, ,NR,NR,NR,
Asandh,15/12/2018,1.6,Other,1400,1500,1450,
Asandh,16/12/2018,1.5,Other,1500,1700,1650,
Asandh,17/12/2018,2.5,Other,1400,1500,1450,
Asandh,18/12/2018,1.8,Other,1400,1500,1450,
Asandh,19/12/2018,2.5,Other,1250,1400,1350,
Asandh,20/12/2018,2.3,Other,1000,1250,1200,
Asandh,21/12/2018,1,Other,1000,1200,1150,
Asandh,22/12/2018,2.2,Other,1100,1500,1400,
Asandh,23/12/2018,2.2,Other,1100,1250,1200,
Asandh,24/12/2018,2.2,Other,1000,1200,1150,
Asandh,25/12/2018,1.7,Other,1100,1200,1150,
Asandh,26/12/2018,1,Other,900,1200,1150,
Asandh,27/12/2018,1.6,Other,900,1200,1150,
Asandh,28/12/2018,1.6,Other,900,1000,950,
Ballabhgarh,02/12/2018,12.4,Other,1400,1800,1600,
Ballabhgarh,03/12/2018,18.7,Other,1000,1500,1200,
Ballabhgarh,04/12/2018,26.7,Other,1100,1500,1300,
Ballabhgarh,05/12/2018,22.2,Other,1000,1400,1200,
Ballabhgarh,06/12/2018,13.1,Other,1000,1500,1200,
Ballabhgarh,07/12/2018,8.9,Other,900,1400,1100,
Ballabhgarh,08/12/2018,9.5,Other,800,1200,1000,
Ballabhgarh,09/12/2018,10.2,Other,800,1100,1000,
Ballabhgarh,11/12/2018,7.5,Other,800,1400,1000,
Ballabhgarh,12/12/2018,6,Other,1000,1500,1200,
Ballabhgarh,16/12/2018,21,Other,1000,1400,1200,
Ballabhgarh,17/12/2018,12.5,Other,800,1200,1000,
Ballabhgarh,18/12/2018,30.5,Other,500,1000,800,
Ballabhgarh,19/12/2018,12.7,Other,800,1200,1000,
Ballabhgarh,20/12/2018,13.5,Other,800,1400,1000,
Ballabhgarh,21/12/2018,12,Other,800,1200,1000,
Ballabhgarh,22/12/2018,16.1,Other,1000,1400,1200,
Ballabhgarh,23/12/2018,17.3,Other,500,900,700,
Ballabhgarh,24/12/2018,14.5,Other,500,900,700,
Ballabhgarh,25/12/2018,22.6,Other,500,1000,700,
Ballabhgarh,26/12/2018,18.3,Other,800,1200,1000,
Ballabhgarh,27/12/2018,13.2,Other,800,1200,1000,
Ballabhgarh,28/12/2018,8.3,Other,800,1200,1000,
Ballabhgarh,29/12/2018,8,Other,800,1200,1000,
Bapauli,10/12/2018,0.36,Other,1550,1950,1750,
Bapauli,17/12/2018,2.6,Other,1450,1850,1650,
Barara,01/12/2018,0.7,Other,1200,1300,1200,
Barara,03/12/2018,0.5,Other,1300,1500,1300,
Barara,04/12/2018,0.6,Other,1300,1400,1300,
Barara,05/12/2018,1,Other,1300,1500,1300,
Barara,08/12/2018,0.8,Other,1000,1200,1000,
Barara,10/12/2018,1.4,Other,1200,1300,1200,
Barara,11/12/2018,0.8,Other,1300,1400,1300,
Barara,12/12/2018,0.7,Other,1200,1400,1200,
Barara,13/12/2018,1.5,Other,1200,1400,1200,
Barara,14/12/2018,0.8,Other,1200,1400,1200,
Barara,15/12/2018,0.8,Other,1200,1400,1200,
Barara,17/12/2018,0.7,Other,1300,1400,1300,
Barara,18/12/2018,0.5,Other,1200,1400,1200,
Barara,19/12/2018,1.2,Other,1300,1400,1300,
Barara,20/12/2018,0.8,Other,1200,1300,1200,
Barara,21/12/2018,0.5,Other,1200,1300,1200,
Barara,22/12/2018,1,Other,1200,1400,1200,
Barara,24/12/2018,1,Other,1200,1400,1200,
Barara,25/12/2018,1.2,Other,1200,1300,1200,
