Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambala Cantt.,25/06/2019,4.5,Other,1300,1500,1400,
Asandh,01/06/2019,1,Other,900,1000,950,
Asandh,02/06/2019,1,Other,900,1100,1000,
Asandh,03/06/2019,1,Other,900,1100,1000,
Asandh,04/06/2019,1,Other,900,1100,1000,
Asandh,05/06/2019,1,Other,1000,1100,1050,
Asandh,06/06/2019,1,Other,1000,1100,1050,
Asandh,07/06/2019,1,Other,1000,1100,1050,
Asandh,08/06/2019,1,Other,900,1100,1000,
Asandh,09/06/2019,1,Other,900,1100,1000,
Asandh,10/06/2019,1,Other,900,1100,1000,
Asandh,11/06/2019,1,Other,1000,1100,1050,
Asandh,12/06/2019,1,Other,900,1100,1000,
Asandh,13/06/2019,0.9,Other,900,1100,1000,
Asandh,14/06/2019,1,Other,900,1100,1000,
Asandh,15/06/2019,1,Other,1000,1100,1050,
Asandh,16/06/2019,1,Other,900,1100,1000,
Asandh,17/06/2019,0.8,Other,1000,1200,1100,
Asandh,18/06/2019,1,Other,1000,1200,1150,
Asandh,19/06/2019,1,Other,1000,1200,1150,
Asandh,20/06/2019,1,Other,1000,1200,1150,
Asandh,21/06/2019,1,Other,1100,1250,1200,
Asandh,22/06/2019,1,Other,1000,1200,1150,
Asandh,23/06/2019,0.8,Other,1000,1200,1150,
Asandh,24/06/2019,1,Other,1100,1200,1150,
Asandh,25/06/2019,1,Other,1100,1300,1250,
Asandh,26/06/2019,1,Other,1100,1300,1250,
Asandh,27/06/2019,1,Other,1100,1300,1250,
Asandh,28/06/2019,1,Other,1100,1300,1250,
Asandh,29/06/2019,1,Other,1100,1250,1200,
Asandh,30/06/2019,1,Other,1000,1400,1350,
Bahadurgarh,04/06/2019,5.5,Other,1600,2000,1800,
Bahadurgarh,05/06/2019,5.5,Other,1800,2000,1900,
Bahadurgarh,06/06/2019,5,Other,1800,2200,2000,
Ballabhgarh,02/06/2019,16.5,Other,2000,2500,2200,
Ballabhgarh,03/06/2019,11.5,Other,2000,2500,2200,
Ballabhgarh,04/06/2019,3,Other,2000,2400,2200,
Ballabhgarh,05/06/2019,6,Other,1600,2000,1800,
Ballabhgarh,06/06/2019,2,Other,1600,2000,1800,
Ballabhgarh,07/06/2019,8.6,Other,1400,1800,1600,
Ballabhgarh,08/06/2019,4.5,Other,1400,1900,1700,
Ballabhgarh,09/06/2019,8,Other,1200,1600,1400,
Ballabhgarh,10/06/2019,13.3,Other,1200,1600,1400,
Ballabhgarh,11/06/2019,4.6,Other,1500,2000,1800,
Ballabhgarh,12/06/2019,10.2,Other,1400,1600,1500,
Ballabhgarh,13/06/2019,7.6,Other,1800,2200,2000,
Ballabhgarh,15/06/2019,17.6,Other,1600,2000,1800,
Ballabhgarh,16/06/2019,12,Other,1600,2000,1800,
Ballabhgarh,17/06/2019,11.3,Other,1500,2000,1800,
Ballabhgarh,18/06/2019,6.2,Other,1200,1600,1500,
Ballabhgarh,19/06/2019,7.5,Other,1200,2000,1500,
Ballabhgarh,20/06/2019,14.2,Other,1200,1800,1400,
Ballabhgarh,21/06/2019,13,Other,1000,1400,1200,
