Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adimali,07/12/2018,0.1, ,NR,NR,NR,
Adimali,18/12/2018,0.1,Hybrid,4000,4300,4200,
Alappuzha,01/12/2018,1,Other,1750,1850,1800,
Alappuzha,03/12/2018,1,Other,1750,1850,1800,
Alappuzha,06/12/2018,0.5,Other,1750,1850,1800,
Alappuzha,07/12/2018,1,Other,1750,1850,1800,
Alappuzha,13/12/2018,1,Other,1650,1750,1700,
Alappuzha,15/12/2018,0.5,Other,1750,1850,1800,
Alappuzha,19/12/2018,1,Other,2250,2350,2300,
Alappuzha,20/12/2018,1,Other,2300,2400,2350,
Alappuzha,21/12/2018,1,Other,2350,2450,2400,
Alappuzha,22/12/2018,0.5,Other,2300,2400,2350,
Alappuzha,24/12/2018,0.5,Other,2350,2450,2400,
Alappuzha,25/12/2018,1,Other,2400,2500,2450,
Alappuzha,26/12/2018,0.5,Other,2350,2450,2400,
Alappuzha,31/12/2018,1,Other,2350,2450,2400,
Aluva,01/12/2018,15,Tomato,1500,2500,2000,
Aluva,03/12/2018,16,Tomato,2000,2500,2300,
Aluva,04/12/2018,10,Tomato,2000,3000,2500,
Aluva,05/12/2018,15,Tomato,2400,3000,2700,
Aluva,06/12/2018,10,Tomato,2000,3000,2500,
Aluva,07/12/2018,14,Tomato,1800,4000,3000,
Aluva,12/12/2018,14,Tomato,1800,2800,2400,
Aluva,13/12/2018,8,Tomato,1800,2800,2300,
Aluva,15/12/2018,10,Tomato,1500,2400,2000,
Aluva,17/12/2018,16,Tomato,2200,3000,2600,
Aluva,18/12/2018,14,Tomato,2000,2800,2400,
Aluva,19/12/2018,18,Tomato,2000,3000,2500,
Aluva,20/12/2018,10,Tomato,2000,2800,2400,
Aluva,21/12/2018,10,Tomato,2000,3000,2500,
Aluva,26/12/2018,18,Tomato,2600,3000,2800,
Aluva,27/12/2018,10,Tomato,1800,2800,2300,
Aluva,28/12/2018,16,Tomato,2000,3000,2500,
Aluva,31/12/2018,18,Tomato,2400,3000,2700,
Anchal,01/12/2018,0.5,Other,2500,2500,2500,
Anchal,03/12/2018,0.5,Other,2500,2700,2600,
Anchal,04/12/2018,0.5,Other,2600,2800,2700,
Anchal,05/12/2018,0.5,Other,2500,2700,2600,
Anchal,07/12/2018,0.5,Other,2700,2900,2800,
Anchal,28/12/2018,0.5,Other,2500,2600,2600,
Anchal,29/12/2018,0.5,Other,2700,2900,2800,
Angamaly,01/12/2018,1,Tomato,2000,2400,2200,
Angamaly,03/12/2018,1,Tomato,2600,3000,2800,
Angamaly,04/12/2018,1,Tomato,2600,3000,2800,
Angamaly,05/12/2018,1,Tomato,2600,3000,2800,
Angamaly,07/12/2018,1,Tomato,2400,2800,2600,
Angamaly,10/12/2018,1,Tomato,3000,3400,3200,
Angamaly,11/12/2018,1,Tomato,2600,3000,2800,
Angamaly,12/12/2018,1,Tomato,2400,2800,2600,
Angamaly,13/12/2018,1,Tomato,2600,3000,2800,
Angamaly,15/12/2018,1,Tomato,3000,3400,3200,
Angamaly,17/12/2018,1,Tomato,1800,2300,2100,
Angamaly,18/12/2018,1,Tomato,1800,2400,2100,
Angamaly,19/12/2018,1,Tomato,1800,2200,2000,
Angamaly,20/12/2018,1,Tomato,2500,2900,2700,
Angamaly,21/12/2018,1,Tomato,2100,2500,2300,
Angamaly,22/12/2018,1,Tomato,2500,2900,2700,
Angamaly,26/12/2018,1,Tomato,1900,2300,2100,
Angamaly,27/12/2018,1,Tomato,2000,2600,2300,
Angamaly,28/12/2018,1,Tomato,2100,2500,2300,
Angamaly,29/12/2018,1,Tomato,2600,3000,2800,
Angamaly,31/12/2018,1,Tomato,3000,3400,3200,
Aralamoodu,01/12/2018,2.5,Tomato,2000,2000,2000,
Aralamoodu,05/12/2018,3,Tomato,2000,2500,2500,
Aralamoodu,08/12/2018,3,Tomato,2500,2500,2500,
Aralamoodu,12/12/2018,2.5,Tomato,2500,3000,3000,
Aralamoodu,15/12/2018,2.5,Tomato,2500,3000,3000,
Aralamoodu,19/12/2018,2.5,Tomato,2500,3000,3000,
Aralamoodu,22/12/2018,2.5,Tomato,2500,3000,3000,
Aralamoodu,26/12/2018,1,Tomato,2500,3000,3000,
Aralamoodu,29/12/2018,2.5,Tomato,2500,3000,3000,
Aroor,05/12/2018,0.2,Other,2000,2200,2100,
Aroor,26/12/2018,0.1,Other,2500,2700,2600,
Aroor,27/12/2018,0.1,Other,2500,2700,2600,
Athirampuzha,01/12/2018,0.4,Tomato,1600,1800,1700,
Athirampuzha,03/12/2018,0.5,Tomato,1700,1900,1800,
Athirampuzha,04/12/2018,0.4,Tomato,2100,2300,2200,
Athirampuzha,05/12/2018,0.25,Tomato,2300,2500,2400,
Athirampuzha,06/12/2018,0.35,Tomato,2100,2300,2200,
Athirampuzha,07/12/2018,0.5,Tomato,2000,2200,2100,
Athirampuzha,10/12/2018,0.5,Tomato,2300,2500,2400,
Athirampuzha,11/12/2018,0.25,Tomato,2200,2400,2300,
Athirampuzha,12/12/2018,0.4,Tomato,2000,2200,2100,
Athirampuzha,13/12/2018,0.35,Tomato,1800,2000,1900,
Athirampuzha,15/12/2018,0.35,Tomato,1800,2000,1900,
Athirampuzha,17/12/2018,0.5,Tomato,1900,2100,2000,
Athirampuzha,18/12/2018,0.4,Tomato,2100,2300,2200,
Athirampuzha,19/12/2018,0.35,Tomato,2100,2300,2200,
Athirampuzha,20/12/2018,0.6,Tomato,2000,2200,2100,
Athirampuzha,21/12/2018,0.4,Tomato,2000,2200,2100,
Athirampuzha,22/12/2018,0.35,Tomato,2000,2200,2100,
Athirampuzha,24/12/2018,0.5,Tomato,2200,2400,2300,
