Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ampati,09/03/2019,2,Local,1800,2000,1800,
Ampati,16/03/2019,1.4,Local,1400,1500,1400,
Ampati,23/03/2019,1.8,Other,1500,1700,1600,
Ampati,31/03/2019,1.2,Other,1800,2100,2000,
Dadengiri,06/03/2019,2,Local,1500,1800,1700,
Dadengiri,13/03/2019,2,Local,1800,2000,1900,
Dadengiri,27/03/2019,1.8,Tomato,1800,2000,1900,
Jowai,07/03/2019,1,Local,3000,3500,3300,
Jowai,12/03/2019,1,Local,3000,6000,4500,
Jowai,13/03/2019,0.9,Local,3000,5000,4000,
Jowai,14/03/2019,1.5,Local,3000,4000,3500,
Jowai,15/03/2019,0.8,Local,3000,5000,4000,
Jowai,19/03/2019,0.8,Local,3000,4000,3500,
Jowai,22/03/2019,0.5,Local,3000,4000,3500,
Jowai,25/03/2019,5.2,Local,3500,4500,4000,
Jowai,26/03/2019,0.6,Local,3500,4500,4000,
Jowai,27/03/2019,0.8,Local,3500,4500,4000,
Jowai,28/03/2019,0.6,Local,3500,4500,4000,
Jowai,29/03/2019,0.8,Local,3500,4500,4000,
Khliehriat,02/03/2019,2.05,Other,2000,3000,2500,
Khliehriat,11/03/2019,2.55,Other,3000,4000,3500,
Khliehriat,25/03/2019,2.05,Other,3000,3500,3250,
Rongram,01/03/2019,0.9,Local,1500,2000,1700,
Rongram,08/03/2019,0.8,Local,1500,2000,1700,
Rongram,15/03/2019,0.8,Local,1500,2000,1700,
Rongram,22/03/2019,0.7,Tomato,2000,2500,2300,
Rongram,29/03/2019,0.6,Tomato,1500,2000,1800,
Tura,01/03/2019,1.2,Tomato,2000,2500,2400,
Tura,04/03/2019,1.2,Tomato,2000,2500,2400,
Tura,05/03/2019,1.1,Tomato,2000,2500,2400,
Tura,06/03/2019,1,Tomato,2500,2800,2700,
Tura,07/03/2019,1,Tomato,2500,2800,2700,
Tura,08/03/2019,1,Tomato,2500,2800,2700,
Tura,11/03/2019,1,Tomato,2500,2800,2700,
Tura,12/03/2019,1.1,Tomato,2500,2800,2700,
Tura,13/03/2019,1,Tomato,2500,2800,2700,
Tura,14/03/2019,1,Tomato,2000,2200,2100,
Tura,15/03/2019,1,Tomato,2000,2200,2100,
Tura,22/03/2019,1,Tomato,2000,2500,2400,
Tura,25/03/2019,0.8,Tomato,1500,2000,1900,
Tura,26/03/2019,0.75,Tomato,1500,2000,1900,
Tura,29/03/2019,0.9,Tomato,1500,2000,1900,
