Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bowenpally,01/02/2019,253.5,Deshi,200,1200,1000,
Bowenpally,02/02/2019,337,Deshi,200,1300,1000,
Bowenpally,10/02/2019,267.8,Deshi,200,1400,1200,
Bowenpally,11/02/2019,163.5,Deshi,400,1200,1000,
Bowenpally,12/02/2019,243.1,Deshi,200,1400,1200,
Bowenpally,13/02/2019,273.5,Deshi,200,1200,1000,
Bowenpally,14/02/2019,240.4,Deshi,600,1400,1200,
Bowenpally,15/02/2019,256,Deshi,200,1400,1200,
Bowenpally,16/02/2019,189.7,Deshi,200,1300,900,
Bowenpally,17/02/2019,208.2,Deshi,200,1400,1200,
Bowenpally,18/02/2019,139.4,Deshi,200,1500,1200,
Bowenpally,19/02/2019,216.3,Deshi,200,1800,1400,
Bowenpally,20/02/2019,232.3,Deshi,300,1500,1200,
Bowenpally,23/02/2019,189.9,Deshi,200,1400,1000,
Bowenpally,24/02/2019,183.4,Deshi,200,1400,1200,
Bowenpally,25/02/2019,147,Deshi,200,1600,1300,
Bowenpally,26/02/2019,200.2,Deshi,300,1700,1200,
Bowenpally,27/02/2019,268,Deshi,200,1600,1400,
Chevella,01/02/2019,3,Deshi,350,350,350,
Chevella,02/02/2019,3,Deshi,300,300,300,
Chevella,03/02/2019,3,Deshi,300,300,300,
Chevella,04/02/2019,3,Deshi,300,300,300,
Chevella,05/02/2019,0.1,Deshi,300,300,300,
Chevella,09/02/2019,3.5,Deshi,400,400,400,
Chevella,10/02/2019,3,Deshi,300,300,300,
Chevella,11/02/2019,3.5, ,NR,NR,NR,
Chevella,12/02/2019,3,Deshi,400,400,400,
Chevella,13/02/2019,3.5,Deshi,350,350,350,
Chevella,14/02/2019,3.5,Deshi,300,300,300,
Chevella,15/02/2019,3.5,Deshi,300,300,300,
Chevella,16/02/2019,3.5,Deshi,300,300,300,
Chevella,17/02/2019,3,Deshi,300,300,300,
Chevella,20/02/2019,3.5,Deshi,300,300,300,
Chevella,21/02/2019,4,Deshi,320,320,320,
Chevella,22/02/2019,3,Deshi,300,300,300,
Chevella,23/02/2019,3.5,Deshi,300,300,300,
Chevella,24/02/2019,30,Deshi,300,300,300,
Chevella,25/02/2019,3.5,Deshi,300,300,300,
Chevella,27/02/2019,3,Deshi,300,300,300,
Chevella,28/02/2019,3.5,Deshi,300,300,300,
Gudimalkapur,01/02/2019,149.6,Deshi,400,1000,700,
Gudimalkapur,02/02/2019,154,Deshi,400,800,600,
Gudimalkapur,03/02/2019,137.1,Deshi,400,800,600,
Gudimalkapur,05/02/2019,100.9,Deshi,400,1200,800,
Gudimalkapur,06/02/2019,158.9,Deshi,400,1200,800,
Gudimalkapur,07/02/2019,185.8,Deshi,600,1200,900,
Gudimalkapur,08/02/2019,104.6,Deshi,400,1000,700,
Gudimalkapur,09/02/2019,136.7,Deshi,400,1000,700,
Gudimalkapur,10/02/2019,158.4,Deshi,400,1000,700,
Gudimalkapur,11/02/2019,133.4,Deshi,200,1000,600,
Gudimalkapur,12/02/2019,141.6,Deshi,400,800,600,
Gudimalkapur,13/02/2019,71.2,Deshi,200,800,500,
Gudimalkapur,14/02/2019,158.7,Deshi,200,600,400,
Gudimalkapur,15/02/2019,126.1,Deshi,200,800,500,
Gudimalkapur,16/02/2019,114.1,Deshi,200,600,400,
Gudimalkapur,17/02/2019,103.7,Deshi,200,600,400,
Gudimalkapur,18/02/2019,103.6,Deshi,200,600,400,
Gudimalkapur,19/02/2019,131.3,Deshi,200,600,400,
Gudimalkapur,20/02/2019,143.5,Deshi,200,800,500,
Gudimalkapur,21/02/2019,130.7,Deshi,400,800,600,
Gudimalkapur,22/02/2019,84.3,Deshi,400,800,600,
Gudimalkapur,23/02/2019,100.3,Deshi,300,600,400,
Gudimalkapur,24/02/2019,116.2,Deshi,200,800,500,
Gudimalkapur,25/02/2019,93.3,Deshi,200,800,500,
Gudimalkapur,26/02/2019,124.2,Deshi,400,1000,700,
Gudimalkapur,27/02/2019,117.6,Deshi,400,1000,700,
Gudimalkapur,28/02/2019,130.1,Deshi,400,800,600,
Ibrahimputnam,01/02/2019,2.5,Deshi,1000,1200,1100,
Ibrahimputnam,02/02/2019,2.5,Deshi,1400,1600,1500,
Ibrahimputnam,03/02/2019,2.5,Deshi,1400,1800,1600,
Ibrahimputnam,04/02/2019,2.5,Deshi,1500,1700,1600,
Ibrahimputnam,05/02/2019,2.5,Deshi,1400,1800,1600,
Ibrahimputnam,06/02/2019,2.5,Deshi,1400,1600,1500,
Ibrahimputnam,07/02/2019,2.5,Deshi,1200,1600,1400,
Ibrahimputnam,08/02/2019,2.5,Deshi,1200,1600,1400,
Ibrahimputnam,09/02/2019,2.5,Deshi,1200,1400,1300,
Ibrahimputnam,10/02/2019,2.5,Deshi,1200,1400,1300,
Ibrahimputnam,11/02/2019,3,Deshi,800,1000,900,
Ibrahimputnam,12/02/2019,2.5,Deshi,1000,1200,1100,
Ibrahimputnam,13/02/2019,3,Deshi,800,1000,900,
Ibrahimputnam,14/02/2019,4,Deshi,600,1000,800,
Ibrahimputnam,15/02/2019,3,Deshi,800,1000,900,
Ibrahimputnam,16/02/2019,3,Deshi,800,1000,900,
Ibrahimputnam,17/02/2019,3,Deshi,800,1000,900,
Ibrahimputnam,18/02/2019,3,Deshi,800,1000,900,
Ibrahimputnam,19/02/2019,3,Deshi,800,1000,900,
Ibrahimputnam,20/02/2019,3,Deshi,800,1000,900,
Ibrahimputnam,21/02/2019,3,Deshi,800,1000,900,
Ibrahimputnam,22/02/2019,3,Deshi,700,900,800,
Ibrahimputnam,23/02/2019,3,Deshi,800,1000,900,
Ibrahimputnam,24/02/2019,3,Deshi,1000,1200,1100,
Ibrahimputnam,25/02/2019,3.5,Deshi,800,1000,900,
Ibrahimputnam,27/02/2019,4,Deshi,800,1000,900,
Ibrahimputnam,28/02/2019,3,Deshi,800,1000,900,
L B Nagar,01/02/2019,31.3,Deshi,600,800,700,
L B Nagar,02/02/2019,27.9,Deshi,600,800,700,
L B Nagar,03/02/2019,49.6,Deshi,600,1200,900,
L B Nagar,05/02/2019,50.3,Deshi,600,1000,800,
L B Nagar,06/02/2019,46.2,Deshi,400,1000,700,
L B Nagar,07/02/2019,59.6,Deshi,400,800,600,
L B Nagar,08/02/2019,31.5,Deshi,400,800,600,
L B Nagar,09/02/2019,48.3,Deshi,400,800,600,
