Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/10/2019,0.1,Hybrid,1780,1890,1800,
Achalda,03/10/2019,0.2,Hybrid,1780,1820,1800,
Achalda,05/10/2019,0.1,Hybrid,2200,2340,2300,
Achalda,07/10/2019,0.12,Hybrid,2200,2400,2300,
Achalda,08/10/2019,0.12,Hybrid,2200,2340,2300,
Achalda,09/10/2019,0.2,Hybrid,2200,2340,2300,
Achalda,10/10/2019,0.1,Hybrid,2300,2400,2350,
Achalda,11/10/2019,0.12,Hybrid,2200,2340,2300,
Achalda,12/10/2019,0.2,Hybrid,2200,2340,2300,
Achalda,14/10/2019,0.1,Hybrid,2700,2900,2800,
Achalda,15/10/2019,0.2,Hybrid,2350,2450,2400,
Achalda,16/10/2019,0.2,Hybrid,2400,2500,2450,
Achalda,17/10/2019,0.2,Hybrid,2400,2600,2500,
Achalda,18/10/2019,0.1,Hybrid,2400,2560,2500,
Achalda,19/10/2019,0.2,Hybrid,2400,2600,2500,
Achalda,21/10/2019,0.1,Hybrid,2300,2450,2400,
Achalda,22/10/2019,0.3,Hybrid,2100,2300,2200,
Achalda,24/10/2019,0.3,Hybrid,2100,2300,2200,
Achalda,25/10/2019,0.1,Hybrid,2100,2300,2200,
Achalda,26/10/2019,0.2,Hybrid,2350,2450,2400,
Achalda,28/10/2019,0.2,Hybrid,2500,2660,2600,
Achalda,29/10/2019,0.2,Hybrid,2500,2700,2600,
Achalda,30/10/2019,0.2,Hybrid,2500,2650,2600,
Achalda,31/10/2019,0.1,Hybrid,2500,2650,2600,
Achnera,01/10/2019,2.1,Deshi,1950,2050,2000,
Achnera,02/10/2019,2.1,Deshi,1900,2000,1950,
Achnera,04/10/2019,1.9,Deshi,2050,2150,2100,
Achnera,05/10/2019,1.9,Deshi,2100,2200,2150,
Achnera,06/10/2019,1.9,Deshi,2350,2450,2400,
Achnera,07/10/2019,1.8,Deshi,2350,2450,2400,
Achnera,08/10/2019,2,Deshi,2450,2550,2500,
Achnera,09/10/2019,2,Deshi,2450,2550,2500,
Achnera,11/10/2019,1.8,Deshi,2500,2600,2550,
Achnera,12/10/2019,1.8,Deshi,2450,2550,2500,
Achnera,13/10/2019,1.9,Deshi,2450,2550,2500,
Achnera,14/10/2019,1.9,Deshi,2350,2450,2400,
Achnera,15/10/2019,1.9,Deshi,2500,2600,2550,
Achnera,16/10/2019,1.9,Deshi,2600,2700,2650,
Achnera,18/10/2019,1.8,Deshi,2450,2550,2500,
Achnera,19/10/2019,1.9,Deshi,2550,2650,2600,
Achnera,20/10/2019,1.9,Deshi,2500,2600,2550,
Achnera,21/10/2019,1.9,Deshi,2550,2650,2600,
Achnera,22/10/2019,2,Deshi,2500,2600,2550,
Achnera,23/10/2019,2,Deshi,2450,2550,2500,
Achnera,25/10/2019,2,Deshi,2450,2550,2500,
Achnera,26/10/2019,2.1,Deshi,2550,2650,2600,
Achnera,27/10/2019,2,Deshi,2500,2600,2550,
Achnera,28/10/2019,2.1,Deshi,2500,2600,2550,
Achnera,29/10/2019,2,Deshi,2450,2550,2500,
Achnera,30/10/2019,2.1,Deshi,2450,2550,2500,
Agra,02/10/2019,92,Hybrid,2300,2500,2400,
Agra,03/10/2019,86,Hybrid,2350,2500,2420,
Agra,04/10/2019,88,Hybrid,2550,2750,2650,
Agra,05/10/2019,85,Hybrid,2600,2750,2680,
Agra,08/10/2019,78,Hybrid,2550,2750,2650,
Agra,09/10/2019,83,Hybrid,2550,2750,2650,
Agra,10/10/2019,74,Hybrid,2600,2750,2680,
Agra,11/10/2019,70,Hybrid,2800,2950,2880,
Agra,12/10/2019,79,Hybrid,2800,3000,2900,
Agra,14/10/2019,83,Hybrid,2750,2950,2850,
Agra,15/10/2019,82,Hybrid,2700,2900,2800,
Agra,16/10/2019,75,Hybrid,2750,2900,2820,
Agra,17/10/2019,82,Hybrid,2600,2800,2700,
Agra,18/10/2019,94.5,Hybrid,2600,2750,2680,
Agra,19/10/2019,92,Hybrid,2600,2800,2700,
Agra,21/10/2019,85.5,Hybrid,2600,2850,2720,
Agra,22/10/2019,95.5,Hybrid,2550,2750,2650,
Agra,23/10/2019,101,Hybrid,2500,2700,2600,
Agra,24/10/2019,95,Hybrid,2580,2700,2650,
Agra,25/10/2019,95,Hybrid,2600,2750,2670,
Agra,26/10/2019,102,Hybrid,2600,2750,2650,
Agra,30/10/2019,109,Hybrid,2580,2750,2650,
Agra,31/10/2019,95,Hybrid,2600,2750,2680,
Ajuha,01/10/2019,2,Tomato,1850,2100,1900,
Ajuha,02/10/2019,1.5,Tomato,1950,2200,2000,
