Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dehradoon,02/07/2018,302.9,Other,500,900,700,
Dehradoon,03/07/2018,193.8,Other,600,1000,800,
Dehradoon,04/07/2018,132.9,Other,450,750,600,
Dehradoon,05/07/2018,106.6,Other,500,800,700,
Dehradoon,06/07/2018,103.9,Other,500,800,600,
Dehradoon,07/07/2018,163.2,Other,400,700,500,
Dehradoon,09/07/2018,194.9,Other,500,850,650,
Dehradoon,10/07/2018,244.8,Other,500,800,600,
Dehradoon,11/07/2018,148,Other,600,800,700,
Dehradoon,12/07/2018,141.2,Other,600,1000,700,
Dehradoon,13/07/2018,121.2,Other,700,1000,800,
Dehradoon,14/07/2018,209,Other,600,1000,700,
Dehradoon,16/07/2018,383,Other,600,1000,700,
Dehradoon,17/07/2018,308.5,Other,600,1000,700,
Dehradoon,18/07/2018,198.4,Other,450,750,500,
Dehradoon,19/07/2018,212.2,Other,450,750,600,
Dehradoon,20/07/2018,161.7,Other,450,750,650,
Dehradoon,21/07/2018,193.9,Other,450,800,600,
Dehradoon,23/07/2018,300.7,Other,400,800,600,
Dehradoon,24/07/2018,206.7,Other,400,700,600,
Dehradoon,25/07/2018,158,Other,400,800,600,
Dehradoon,26/07/2018,145.1,Other,600,1200,900,
Dehradoon,27/07/2018,95.1,Other,600,1100,900,
Dehradoon,28/07/2018,93.3,Other,600,1100,800,
Dehradoon,30/07/2018,103.4,Other,650,1200,850,
Dehradoon,31/07/2018,96.2,Other,650,1200,800,
Haldwani,01/07/2018,0.8, ,NR,NR,NR,
Haldwani,02/07/2018,14.3, ,NR,NR,NR,
Haldwani,03/07/2018,28.8,Other,600,800,700,
Haldwani,04/07/2018,11.4,Other,1800,2500,2300,
Haldwani,05/07/2018,5.2,Other,800,1000,900,
Haldwani,06/07/2018,0.8,Other,230,2500,2400,
Haldwani,08/07/2018,12.6,Other,2300,2500,2400,
Haldwani,09/07/2018,6.7,Other,2300,2500,2400,
Haldwani,10/07/2018,12.4,Other,2100,2500,2300,
Haldwani,11/07/2018,7.3,Other,2000,2400,2200,
Haldwani,12/07/2018,13.3,Other,2000,2200,2100,
Haldwani,13/07/2018,10.8, ,NR,NR,NR,
Haldwani,15/07/2018,32.8,Other,2000,2200,2100,
Haldwani,16/07/2018,12.6,Other,2000,2400,2200,
Haldwani,17/07/2018,2.8, ,NR,NR,NR,
Haldwani,18/07/2018,5.6,Other,1800,2200,2000,
Haldwani,19/07/2018,2,Other,2100,2300,2200,
Haldwani,20/07/2018,4.5,Other,1400,1600,1500,
Haldwani,22/07/2018,2.7,Other,2000,2200,2100,
Haldwani,23/07/2018,11.1,Other,2200,2400,2300,
Haldwani,24/07/2018,10.5,Other,2200,2400,2300,
Haldwani,25/07/2018,5.8,Other,2050,2250,2150,
Haldwani,26/07/2018,5.3,Other,2200,2400,2300,
Haldwani,27/07/2018,10.3,Other,2200,2400,2300,
Haldwani,29/07/2018,8.2,Other,2200,2400,2300,
Haldwani,30/07/2018,18.9,Other,2100,2300,2200,
Haridwar Union,01/07/2018,1.2,Other,1000,1600,1400,
Haridwar Union,02/07/2018,0.9,Other,1000,1700,1400,
Haridwar Union,03/07/2018,0.7,Other,1200,1800,1500,
Haridwar Union,04/07/2018,0.7,Other,1200,1800,1500,
Haridwar Union,05/07/2018,1.1,Other,1200,2000,1600,
Haridwar Union,06/07/2018,0.8,Other,1200,1800,1600,
Haridwar Union,07/07/2018,0.6,Other,1300,2000,1600,
Haridwar Union,08/07/2018,0.8,Other,1200,1900,1600,
Haridwar Union,09/07/2018,1.2,Other,1200,2000,1600,
Haridwar Union,10/07/2018,2.6,Other,1000,1900,1600,
Haridwar Union,11/07/2018,2,Other,1000,1800,1500,
Haridwar Union,12/07/2018,1.8,Other,1000,1800,1450,
Haridwar Union,13/07/2018,1.6,Other,1000,1800,1400,
Haridwar Union,14/07/2018,2.1,Other,800,1600,1400,
Haridwar Union,16/07/2018,1.8,Other,900,1600,1450,
Haridwar Union,17/07/2018,3.2,Other,800,1700,1350,
Haridwar Union,18/07/2018,2.1,Other,800,1500,1300,
Haridwar Union,19/07/2018,2, ,NR,NR,NR,
Haridwar Union,20/07/2018,2.4,Other,800,1600,1350,
Haridwar Union,21/07/2018,2.2,Other,700,1400,1200,
Haridwar Union,22/07/2018,1.6,Other,750,1400,1250,
Haridwar Union,23/07/2018,1.4,Other,750,1450,1300,
Haridwar Union,24/07/2018,1.8,Other,750,1400,1200,
Haridwar Union,25/07/2018,2,Other,800,1500,1250,
Haridwar Union,26/07/2018,1.2,Other,850,1200,1100,
Haridwar Union,27/07/2018,1,Other,800,1400,1250,
Haridwar Union,28/07/2018,0.9,Other,900,1500,1300,
Haridwar Union,29/07/2018,0.7,Other,850,1500,1350,
Haridwar Union,30/07/2018,1,Other,900,1600,1350,
Jaspur(UC),01/07/2018,0.7,Other,1000,1200,1114,
Jaspur(UC),03/07/2018,1,Other,1000,1000,1000,
Jaspur(UC),05/07/2018,0.9,Other,1000,1000,1000,
Jaspur(UC),06/07/2018,1.8,Other,1200,1500,1366,
Jaspur(UC),07/07/2018,0.4,Other,1000,1000,1000,
Jaspur(UC),09/07/2018,0.3,Other,1000,1000,1000,
Jaspur(UC),11/07/2018,1.8,Other,1000,1000,1000,
Jaspur(UC),12/07/2018,0.2,Other,1000,1000,1000,
Jaspur(UC),13/07/2018,1,Other,1000,1000,1000,
Jaspur(UC),14/07/2018,1,Other,1000,1000,1000,
Jaspur(UC),15/07/2018,0.5,Other,1000,1000,1000,
Jaspur(UC),20/07/2018,2,Other,1000,1000,1000,
Jaspur(UC),21/07/2018,0.9,Other,1000,1000,1000,
Jaspur(UC),24/07/2018,1,Other,1500,1500,1500,
Jaspur(UC),26/07/2018,0.5,Other,2000,2000,2000,
Kashipur,01/07/2018,1,Other,1000,1100,1050,
