Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alipurduar,01/02/2018,8,Other,900,1100,1000,
Alipurduar,02/02/2018,7,Other,1100,1250,1200,
Alipurduar,03/02/2018,7,Other,1100,1250,1200,
Alipurduar,05/02/2018,6,Other,1200,1400,1300,
Alipurduar,06/02/2018,6,Other,1200,1400,1300,
Alipurduar,07/02/2018,6,Other,1200,1400,1300,
Alipurduar,08/02/2018,6, ,NR,NR,NR,
Alipurduar,09/02/2018,2, ,NR,NR,NR,
Alipurduar,12/02/2018,8,Other,800,1000,900,
Alipurduar,13/02/2018,8,Other,800,1000,900,
Alipurduar,14/02/2018,8,Other,800,1000,900,
Alipurduar,15/02/2018,9,Other,500,700,600,
Alipurduar,16/02/2018,9,Other,500,700,600,
Alipurduar,19/02/2018,6,Other,1000,1200,1100,
Alipurduar,20/02/2018,7,Other,700,800,750,
Alipurduar,21/02/2018,6,Other,800,1000,900,
Alipurduar,22/02/2018,6,Other,800,1000,900,
Alipurduar,23/02/2018,6,Other,800,1000,900,
Alipurduar,24/02/2018,5.5,Other,900,1100,1000,
Alipurduar,26/02/2018,6,Other,800,1000,900,
Alipurduar,27/02/2018,6,Other,800,1000,900,
Alipurduar,28/02/2018,6,Other,900,1100,1000,
Asansol,01/02/2018,12,Hybrid,1000,1500,1300,
Asansol,02/02/2018,10,Hybrid,1000,1400,1200,
Asansol,03/02/2018,10,Hybrid,1000,1400,1200,
Asansol,04/02/2018,10,Hybrid,1000,1400,1200,
Asansol,05/02/2018,10,Hybrid,1000,1400,1200,
Asansol,06/02/2018,12,Hybrid,1000,1400,1200,
Asansol,07/02/2018,12,Hybrid,1000,1400,1200,
Asansol,08/02/2018,10,Hybrid,1000,1400,1200,
Asansol,09/02/2018,12,Hybrid,1000,1400,1200,
Asansol,10/02/2018,10,Hybrid,1000,1400,1200,
Asansol,11/02/2018,12,Hybrid,1000,1400,1200,
Asansol,12/02/2018,12,Hybrid,1000,1400,1200,
Asansol,13/02/2018,12,Hybrid,1000,1400,1200,
Asansol,14/02/2018,10,Hybrid,1000,1400,1200,
Asansol,16/02/2018,12,Hybrid,700,900,800,
Asansol,17/02/2018,10,Hybrid,700,900,800,
Asansol,18/02/2018,12,Hybrid,700,900,800,
Asansol,19/02/2018,10,Hybrid,700,900,800,
Asansol,20/02/2018,10,Hybrid,700,900,800,
Asansol,21/02/2018,10,Hybrid,700,900,800,
Asansol,22/02/2018,12,Hybrid,700,900,800,
Asansol,23/02/2018,12,Hybrid,700,900,800,
Asansol,24/02/2018,12,Hybrid,700,900,800,
Asansol,25/02/2018,10,Hybrid,700,900,800,
Asansol,26/02/2018,10,Hybrid,700,900,800,
Asansol,27/02/2018,10,Hybrid,700,900,800,
Asansol,28/02/2018,10,Hybrid,700,900,800,
Balarampur,01/02/2018,2.65,Other,700,900,800,
Balarampur,02/02/2018,2.5,Other,800,1000,900,
Balarampur,03/02/2018,2.7,Other,600,800,700,
Balarampur,04/02/2018,2.55,Other,800,980,940,
Balarampur,05/02/2018,2.7,Other,650,880,760,
Balarampur,06/02/2018,2.6,Other,700,900,800,
Balarampur,07/02/2018,2.8,Other,600,800,700,
Balarampur,08/02/2018,2.78,Other,650,840,760,
Balarampur,09/02/2018,2.82,Other,600,700,650,
Balarampur,10/02/2018,2.78,Other,650,800,750,
Balarampur,11/02/2018,2.82,Other,600,700,650,
Balarampur,12/02/2018,2.8,Other,700,900,800,
Balarampur,13/02/2018,2.82,Other,620,700,660,
Balarampur,14/02/2018,2.82,Other,600,750,680,
Balarampur,15/02/2018,2.95,Other,500,700,600,
Balarampur,16/02/2018,3,Other,550,650,600,
Balarampur,17/02/2018,2.98,Other,500,700,600,
Balarampur,18/02/2018,2.85,Other,600,800,700,
Balarampur,19/02/2018,3.05,Other,500,700,600,
Balarampur,20/02/2018,3,Other,550,700,650,
Balarampur,21/02/2018,2.9,Other,600,800,700,
Balarampur,22/02/2018,2.82,Other,700,900,800,
Balarampur,23/02/2018,2.78,Other,800,1000,900,
Balarampur,24/02/2018,2.85,Other,700,900,800,
Balarampur,25/02/2018,2.78,Other,800,1000,900,
Balarampur,27/02/2018,2.9,Other,600,800,700,
Balarampur,28/02/2018,2.85,Other,700,900,800,
Balurghat,01/02/2018,3,Other,800,1000,900,
Balurghat,02/02/2018,2.8,Other,750,900,800,
Balurghat,05/02/2018,3,Other,800,1000,900,
Balurghat,06/02/2018,3.5,Other,800,1000,900,
Balurghat,07/02/2018,3.2,Other,900,1100,1000,
Balurghat,08/02/2018,3,Other,900,1100,1000,
Balurghat,09/02/2018,3.2,Other,800,1000,900,
Balurghat,10/02/2018,3.5,Other,700,900,800,
Balurghat,11/02/2018,3.6,Other,600,800,700,
Balurghat,12/02/2018,3.8,Other,500,700,600,
Balurghat,13/02/2018,3, ,NR,NR,NR,
Balurghat,14/02/2018,3.2, ,NR,NR,NR,
Balurghat,15/02/2018,3.5, ,NR,NR,NR,
Balurghat,16/02/2018,3.8,Other,500,700,600,
Balurghat,17/02/2018,4,Other,500,700,600,
Balurghat,18/02/2018,4,Other,500,700,600,
Balurghat,19/02/2018,3.8,Other,500,700,600,
Balurghat,20/02/2018,4,Other,500,700,600,
Balurghat,21/02/2018,4.2,Other,600,800,700,
Balurghat,22/02/2018,4.5,Other,600,750,700,
Balurghat,23/02/2018,4,Other,600,700,650,
Balurghat,26/02/2018,3.5,Other,600,800,700,
Balurghat,27/02/2018,3,Other,600,800,700,
Balurghat,28/02/2018,2.5,Other,600,800,700,
Barasat,01/02/2018,30,Other,1300,1800,1500,
Barasat,02/02/2018,40,Other,1400,1800,1600,
Barasat,04/02/2018,35,Other,1300,1800,1600,
Barasat,07/02/2018,25,Other,1400,1800,1500,
Barasat,08/02/2018,25,Other,1400,1800,1600,
Barasat,09/02/2018,25.5,Other,1400,1800,1600,
Barasat,10/02/2018,30,Other,1200,1800,1400,
Barasat,11/02/2018,35,Other,1200,1800,1400,
Barasat,12/02/2018,32.5,Other,1400,1800,1600,
Barasat,13/02/2018,25,Other,900,1400,1200,
Barasat,14/02/2018,30,Other,1000,1500,1200,
Barasat,15/02/2018,25,Other,900,1300,1200,
Barasat,16/02/2018,20,Other,850,1100,900,
Barasat,17/02/2018,25,Other,900,1400,1200,
Barasat,18/02/2018,35,Other,1000,1200,1100,
Barasat,19/02/2018,25,Other,900,1500,1200,
Barasat,20/02/2018,20,Other,1000,1600,1400,
Barasat,21/02/2018,6,Other,800,1000,900,
Barasat,22/02/2018,4,Other,800,1000,900,
Barasat,23/02/2018,3,Other,700,900,800,
Barasat,24/02/2018,2.8,Other,700,1000,900,
Barasat,25/02/2018,3,Other,800,1200,900,
Barasat,26/02/2018,2.5,Other,750,800,770,
Barasat,27/02/2018,2.2,Other,760,800,780,
Baruipur(Canning),03/02/2018,72,Tomato,1600,1800,1700,
Baruipur(Canning),04/02/2018,65,Tomato,1600,1800,1700,
Baruipur(Canning),05/02/2018,75,Tomato,1400,1600,1500,
Baruipur(Canning),06/02/2018,80,Tomato,1400,1600,1500,
Baruipur(Canning),07/02/2018,85,Tomato,1100,1300,1200,
Baruipur(Canning),08/02/2018,80,Tomato,1100,1300,1200,
Baruipur(Canning),09/02/2018,85,Tomato,1200,1400,1300,
Baruipur(Canning),10/02/2018,75,Tomato,1200,1400,1300,
Baruipur(Canning),11/02/2018,70,Tomato,1300,1500,1400,
Baruipur(Canning),12/02/2018,90,Tomato,600,800,700,
Baruipur(Canning),13/02/2018,85,Tomato,600,750,700,
Baruipur(Canning),14/02/2018,80,Tomato,500,700,600,
Baruipur(Canning),15/02/2018,75,Tomato,600,800,700,
Baruipur(Canning),16/02/2018,90,Tomato,700,900,800,
Baruipur(Canning),17/02/2018,95,Tomato,700,900,800,
Baruipur(Canning),18/02/2018,85,Tomato,500,700,600,
Baruipur(Canning),19/02/2018,75,Tomato,500,700,600,
Baruipur(Canning),20/02/2018,90,Tomato,400,600,500,
Baruipur(Canning),21/02/2018,95,Tomato,400,600,500,
Baruipur(Canning),22/02/2018,90,Tomato,300,450,400,
Baruipur(Canning),23/02/2018,100,Tomato,300,450,400,
Baruipur(Canning),24/02/2018,80,Tomato,400,550,500,
Baruipur(Canning),25/02/2018,75,Tomato,500,650,600,
Baruipur(Canning),27/02/2018,75,Tomato,500,700,600,
Baruipur(Canning),28/02/2018,78,Tomato,500,650,600,
Belacoba,21/02/2018,1.5,Hybrid,850,1000,900,
Belacoba,24/02/2018,1.5,Hybrid,750,850,800,
Birbhum,01/02/2018,7.5,Hybrid,1100,1400,1300,
Birbhum,02/02/2018,8,Hybrid,900,1300,1200,
Birbhum,03/02/2018,9,Hybrid,700,900,800,
Birbhum,04/02/2018,9,Hybrid,700,900,800,
Birbhum,05/02/2018,9,Hybrid,700,900,800,
Birbhum,06/02/2018,9,Hybrid,700,900,800,
Birbhum,08/02/2018,9, ,NR,NR,NR,
Birbhum,09/02/2018,9,Hybrid,700,900,800,
Birbhum,10/02/2018,9,Hybrid,700,900,800,
Birbhum,11/02/2018,9,Hybrid,700,900,800,
Birbhum,13/02/2018,9,Hybrid,700,900,800,
Birbhum,14/02/2018,9,Hybrid,700,900,800,
Birbhum,15/02/2018,9,Hybrid,700,900,800,
Birbhum,16/02/2018,9,Hybrid,700,900,800,
Birbhum,17/02/2018,9,Hybrid,700,800,750,
Birbhum,18/02/2018,9,Hybrid,700,800,750,
Birbhum,19/02/2018,9,Hybrid,700,800,750,
Birbhum,20/02/2018,9,Hybrid,700,800,750,
Birbhum,21/02/2018,9,Hybrid,700,900,800,
Birbhum,22/02/2018,9,Hybrid,700,900,800,
Birbhum,23/02/2018,9,Hybrid,700,900,800,
Birbhum,24/02/2018,9,Hybrid,700,900,800,
Birbhum,25/02/2018,9,Hybrid,700,900,800,
Birbhum,26/02/2018,9.2,Hybrid,700,800,750,
Birbhum,27/02/2018,9,Hybrid,750,850,800,
Bolpur,01/02/2018,7.5,Hybrid,1200,1600,1300,
Bolpur,02/02/2018,7.6,Hybrid,1000,1300,1100,
Bolpur,03/02/2018,8,Hybrid,700,1000,800,
Bolpur,04/02/2018,8,Hybrid,700,900,800,
Bolpur,05/02/2018,8,Hybrid,700,1000,800,
Bolpur,06/02/2018,8,Hybrid,700,1000,800,
Bolpur,08/02/2018,8,Hybrid,700,1000,800,
Bolpur,09/02/2018,8,Hybrid,700,900,800,
Bolpur,10/02/2018,9,Hybrid,700,900,750,
Bolpur,12/02/2018,9,Deshi,700,800,750,
Bolpur,13/02/2018,9,Hybrid,700,800,750,
Bolpur,14/02/2018,9,Hybrid,700,800,750,
Bolpur,15/02/2018,9,Hybrid,700,800,750,
Bolpur,16/02/2018,9,Hybrid,700,800,750,
Bolpur,17/02/2018,9,Hybrid,700,800,750,
Bolpur,18/02/2018,9,Hybrid,650,750,700,
Bolpur,19/02/2018,9,Hybrid,650,750,700,
Bolpur,20/02/2018,9,Hybrid,650,750,700,
Bolpur,21/02/2018,9,Hybrid,700,800,750,
Bolpur,22/02/2018,9,Hybrid,700,800,750,
Bolpur,23/02/2018,8.75,Hybrid,750,850,800,
Bolpur,24/02/2018,8.75,Hybrid,700,800,750,
Bolpur,25/02/2018,8.7,Hybrid,700,800,750,
Bolpur,26/02/2018,8.75,Hybrid,650,750,700,
Bolpur,27/02/2018,8.7,Hybrid,700,850,800,
Burdwan,01/02/2018,3.6,Other,1200,1400,1300,
Burdwan,02/02/2018,3.4,Other,1500,1700,1600,
Burdwan,03/02/2018,3.6,Other,1300,1500,1400,
Burdwan,05/02/2018,3.8,Other,1500,1700,1600,
Burdwan,06/02/2018,3.7,Other,1400,1600,1500,
Burdwan,07/02/2018,3.8,Other,1100,1300,1200,
Burdwan,08/02/2018,3.5,Other,1300,1500,1400,
Burdwan,09/02/2018,3.6,Other,1300,1500,1400,
Burdwan,10/02/2018,3.4,Other,1400,1600,1500,
Burdwan,12/02/2018,3.6,Other,900,1100,1000,
Burdwan,13/02/2018,3.6,Other,1100,1300,1200,
Burdwan,14/02/2018,3.4,Other,1100,1300,1200,
Burdwan,15/02/2018,3.5, ,NR,NR,NR,
Burdwan,16/02/2018,3.6,Other,900,1100,1000,
Burdwan,17/02/2018,3.8,Other,700,900,800,
Burdwan,19/02/2018,3.8,Other,600,800,700,
Burdwan,20/02/2018,3.7,Other,600,800,700,
Burdwan,21/02/2018,3.6,Other,700,900,800,
Burdwan,22/02/2018,3.8,Other,700,900,800,
Burdwan,23/02/2018,3.9,Other,600,800,700,
Burdwan,24/02/2018,4,Other,600,800,700,
Burdwan,26/02/2018,3.8,Other,700,900,800,
Burdwan,27/02/2018,4,Other,600,800,700,
Burdwan,28/02/2018,4.2,Other,600,800,700,
Chakdah,01/02/2018,36,Hybrid,1400,1400,1400,
Chakdah,02/02/2018,37,Hybrid,1400,1400,1400,
Chakdah,03/02/2018,38,Hybrid,1400,1400,1400,
Chakdah,04/02/2018,39,Hybrid,1400,1400,1400,
Chakdah,05/02/2018,40,Hybrid,1400,1400,1400,
