Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Duggirala,02/03/2020,93.53, ,NR,NR,NR,
Duggirala,05/03/2020,84.53, ,NR,NR,NR,
Duggirala,06/03/2020,43.5, ,NR,NR,NR,
Duggirala,10/03/2020,55.73, ,NR,NR,NR,
Duggirala,11/03/2020,30.98, ,NR,NR,NR,
Duggirala,12/03/2020,8.7, ,NR,NR,NR,
Duggirala,13/03/2020,38.63, ,NR,NR,NR,
Duggirala,17/03/2020,52.13, ,NR,NR,NR,
Duggirala,18/03/2020,35.7, ,NR,NR,NR,
Duggirala,19/03/2020,21.9, ,NR,NR,NR,
Duggirala,20/03/2020,32.17, ,NR,NR,NR,
Duggirala,23/03/2020,41.1, ,NR,NR,NR,
