Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kesamudram,01/10/2018,16.8,Bulb,4705,5651,5218,
Kesamudram,01/10/2018,16.8,Finger,4500,5621,5581,
Nizamabad,01/10/2018,247.3,Bulb,4500,7158,6969,
Nizamabad,01/10/2018,247.3,Finger,3120,6606,6475,
Nizamabad,01/10/2018,247.3,Other,4020,5850,4085,
Nizamabad,03/10/2018,145.9,Bulb,5005,6789,6469,
Nizamabad,03/10/2018,145.9,Finger,4061,7163,6486,
Nizamabad,04/10/2018,164.3,Bulb,5589,6702,6615,
Nizamabad,04/10/2018,164.3,Finger,4220,6667,6475,
Nizamabad,05/10/2018,87.6,Bulb,4060,6616,6100,
Nizamabad,05/10/2018,87.6,Finger,3810,7028,6460,
Nizamabad,08/10/2018,179.1,Bulb,4285,6651,6069,
Nizamabad,08/10/2018,179.1,Finger,4885,6727,6415,
Nizamabad,09/10/2018,173.2,Bulb,5359,6827,6250,
Nizamabad,09/10/2018,173.2,Finger,5045,7205,6385,
Nizamabad,10/10/2018,173.2,Bulb,5359,6827,6250,
Nizamabad,10/10/2018,173.2,Finger,5045,7205,6385,
Nizamabad,11/10/2018,167.1,Bulb,4200,6929,6378,
Nizamabad,11/10/2018,167.1,Finger,4112,7106,6565,
Nizamabad,11/10/2018,167.1,Other,3512,6311,5325,
Nizamabad,12/10/2018,172.1,Bulb,3427,6845,5931,
Nizamabad,12/10/2018,172.1,Finger,5405,7107,6555,
Nizamabad,15/10/2018,165.3,Bulb,4506,6651,5900,
Nizamabad,15/10/2018,165.3,Finger,5065,6985,6550,
Nizamabad,16/10/2018,158.6,Bulb,4010,6686,5636,
Nizamabad,16/10/2018,158.6,Finger,4427,6809,6300,
Nizamabad,22/10/2018,53.8,Bulb,5040,6905,5727,
Nizamabad,23/10/2018,91.7,Bulb,3011,6815,5900,
Nizamabad,23/10/2018,91.7,Finger,4210,6979,6599,
Nizamabad,24/10/2018,117.4,Bulb,5505,6869,6000,
Nizamabad,24/10/2018,117.4,Finger,5005,6937,6655,
Nizamabad,25/10/2018,86.6,Bulb,4307,6660,5850,
Nizamabad,25/10/2018,86.6,Finger,3825,7056,6465,
Sadasivpet,03/10/2018,3.3,Local,4811,5742,5600,
Sadasivpet,05/10/2018,1,Bulb,4509,4509,4509,
Sadasivpet,06/10/2018,2.4,Bulb,5374,5374,5374,
Sadasivpet,06/10/2018,2.4,Finger,5368,5368,5368,
Sadasivpet,10/10/2018,5.5,Bulb,4203,5656,5522,
Sadasivpet,10/10/2018,5.5,Finger,4152,5711,5711,
Sadasivpet,11/10/2018,0.2,Bulb,5111,5111,5111,
Sadasivpet,13/10/2018,1.9,Bulb,4851,5501,5416,
Sadasivpet,13/10/2018,1.9,Finger,4411,5451,5311,
Sadasivpet,24/10/2018,0.2,Bulb,5251,5251,5251,
Sadasivpet,24/10/2018,0.2,Finger,5152,5152,5152,
Vikarabad,01/10/2018,23.1,Turmeric Round,3811,5938,5738,
Vikarabad,01/10/2018,23.1,Turmeric Stick,3511,5939,4885,
Vikarabad,04/10/2018,0.6,Turmeric Round,5151,5151,5151,
Vikarabad,04/10/2018,0.6,Turmeric Stick,5225,5225,5225,
Vikarabad,07/10/2018,1.4,Local,4800,6000,5400,
Vikarabad,12/10/2018,2.65,Bulb,4011,5679,5589,
Vikarabad,12/10/2018,2.65,Finger,3616,5438,5369,
Vikarabad,22/10/2018,4.7,Local,4811,5989,5579,
Warangal,01/10/2018,17.5,Bulb,4500,5462,5200,
Warangal,01/10/2018,17.5,Finger,5000,5862,5300,
Warangal,03/10/2018,15.2,Bulb,4500,5450,4800,
Warangal,03/10/2018,15.2,Finger,4800,5850,5200,
Warangal,04/10/2018,11.7,Bulb,4800,5500,5000,
Warangal,04/10/2018,11.7,Finger,5000,5900,5200,
Warangal,05/10/2018,5.8,Bulb,4500,5400,5000,
Warangal,05/10/2018,5.8,Finger,5000,5850,5200,
Warangal,08/10/2018,7.8,Bulb,4800,5450,5000,
Warangal,08/10/2018,7.8,Finger,5000,5850,5200,
Warangal,10/10/2018,8.8,Bulb,4800,5500,5000,
Warangal,10/10/2018,8.8,Finger,5000,5900,5200,
Warangal,11/10/2018,9.2,Bulb,4700,5500,5000,
Warangal,11/10/2018,9.2,Finger,5200,5900,5500,
Warangal,12/10/2018,9.2,Bulb,4900,5500,5100,
Warangal,12/10/2018,9.2,Finger,5000,5900,5500,
Warangal,15/10/2018,8,Bulb,4500,5500,5200,
Warangal,15/10/2018,8,Finger,5200,5900,5500,
Warangal,16/10/2018,3.7,Bulb,4500,5500,5200,
Warangal,16/10/2018,3.7,Finger,5000,5900,5500,
Warangal,23/10/2018,5.7,Bulb,4500,5500,5000,
Warangal,23/10/2018,5.7,Finger,5000,5900,5500,
Warangal,24/10/2018,18,Bulb,5350,5550,5550,
Warangal,24/10/2018,18,Finger,5000,5950,5950,
Warangal,25/10/2018,5.7,Bulb,5200,5550,5550,
Warangal,25/10/2018,5.7,Finger,5600,5950,5950,
Warangal,26/10/2018,5.7,Bulb,5400,5560,5560,
Warangal,26/10/2018,5.7,Finger,5715,5960,5960,
