Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhainsa,01/06/2018,3.4,Finger,5159,6113,5767,
Bhainsa,19/06/2018,0.243,Turmeric Round,6059,6529,6439,
Bhainsa,20/06/2018,0.767,Turmeric Round,6059,6529,6439,
Bhainsa,20/06/2018,0.767,Turmeric Stick,5219,6637,6637,
Bhainsa,21/06/2018,0.616,Turmeric Round,3619,4329,4329,
Bhainsa,21/06/2018,0.616,Turmeric Stick,3836,5429,5429,
Bhainsa,22/06/2018,0.801,Turmeric Round,5816,6009,6009,
Bhainsa,22/06/2018,0.801,Turmeric Stick,5539,6816,5539,
Bhainsa,23/06/2018,0.134,Turmeric Round,6129,6229,6129,
Bhainsa,23/06/2018,0.134,Turmeric Stick,3839,6639,6639,
Bhainsa,25/06/2018,0.775,Turmeric Round,5975,5975,5975,
Bhainsa,25/06/2018,0.775,Turmeric Stick,5229,6175,6175,
Bhainsa,26/06/2018,0.129,Turmeric Round,4851,4851,4851,
Bhainsa,26/06/2018,0.129,Turmeric Stick,6409,6409,6409,
Bhainsa,28/06/2018,0.066,Turmeric Stick,3219,6209,6209,
Bhainsa,29/06/2018,0.021,Turmeric Round,5881,5881,5881,
Kesamudram,01/06/2018,112.9,Bulb,4500,6905,6511,
Kesamudram,01/06/2018,112.9,Finger,4500,7356,6581,
Kesamudram,20/06/2018,137.8,Bulb,4500,7051,6859,
Kesamudram,20/06/2018,137.8,Finger,4600,7111,6500,
Kesamudram,21/06/2018,135.1,Bulb,4600,7153,6951,
Kesamudram,21/06/2018,135.1,Finger,4500,7285,6668,
Kesamudram,22/06/2018,78.1,Bulb,4600,7150,6811,
Kesamudram,22/06/2018,78.1,Finger,3500,7158,6754,
Kesamudram,25/06/2018,72.3,Bulb,4651,7175,6951,
Kesamudram,25/06/2018,72.3,Finger,4500,7118,6719,
Kesamudram,26/06/2018,68.2,Bulb,4800,7161,7051,
Kesamudram,26/06/2018,68.2,Finger,4500,7089,6815,
Kesamudram,27/06/2018,29.1,Bulb,5151,7141,6701,
Kesamudram,27/06/2018,29.1,Finger,5211,7021,6621,
