Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambikapur,29/01/2020,9.5,Local,1850,1850,1850,
Ambikapur,31/01/2020,120,Local,1850,1850,1850,
Baikunthpur,06/01/2020,2.5,Other,1800,1800,1800,
Baikunthpur,29/01/2020,1,Other,1800,1800,1800,
Baikunthpur,31/01/2020,2,Other,1800,1800,1800,
Bemetara,06/01/2020,0.2,Other,2055,2055,2055,
Bemetara,07/01/2020,0.1,Other,2005,2005,2005,
Bemetara,23/01/2020,95,Other,2000,2000,2000,
Bemetara,29/01/2020,16.1,Other,1950,1950,1950,
Bhatapara,01/01/2020,1,Local,1961,2050,2036,
Bhatapara,02/01/2020,1.1,Local,1978,2131,2011,
Bhatapara,03/01/2020,1.4,Local,2054,2146,2054,
Bhatapara,04/01/2020,2.1,Local,1900,2237,2054,
Bhatapara,06/01/2020,3.5,Local,1700,2156,2000,
Bhatapara,07/01/2020,1.7,Local,1895,2144,2016,
Bhatapara,08/01/2020,1.5,Local,1852,2252,2076,
Bhatapara,09/01/2020,1.2, ,NR,NR,NR,
Bhatapara,10/01/2020,0.3,Local,1890,1890,1890,
Bhatapara,11/01/2020,1.2,Local,1855,2105,1985,
Bhatapara,14/01/2020,0.1,Local,1950,2056,2056,
Bhatapara,15/01/2020,0.6,Local,2060,2060,2060,
Bhatapara,16/01/2020,2.6,Local,2100,2270,2253,
Bhatapara,17/01/2020,0.2,Local,2280,2295,2280,
Bhatapara,18/01/2020,3.7,Local,2350,2556,2350,
Bhatapara,20/01/2020,3.1,Local,1790,2391,2251,
Bhatapara,23/01/2020,0.1,Local,1700,1950,1950,
Bhatapara,24/01/2020,0.2, ,NR,NR,NR,
Bhatapara,25/01/2020,0.7,Local,1800,1945,1900,
Bhatapara,27/01/2020,2.1,Local,1846,2128,1925,
Bhatapara,28/01/2020,0.6,Local,1912,1912,1912,
Bhatapara,29/01/2020,3.7,Local,1781,2040,1951,
Bhatapara,31/01/2020,0.2,Local,2100,2100,2100,
Gandai,23/01/2020,2.6, ,NR,NR,NR,
Kawardha,02/01/2020,0.5,Deshi,1999,2070,1999,
Kawardha,05/01/2020,0.3,Deshi,1945,2099,1945,
Kawardha,06/01/2020,0.7,Deshi,2028,2028,2028,
Kawardha,09/01/2020,0.1,Deshi,2082,2082,2082,
Kawardha,14/01/2020,0.1,Deshi,1443,1443,1443,
Kawardha,23/01/2020,0.3,Deshi,1880,2005,1880,
Kawardha,31/01/2020,0.1,Deshi,1950,2005,1990,
Kharsiya,28/01/2020,1,Other,1900,1900,1900,
Kheragarh,12/01/2020,81,Other,1400,1600,1500,
