Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,24/10/2018,0.5,Other,1800,1800,1800,
Ajitwal (Chogawan),18/10/2018,26,Other,1770,1770,1770,
Ajitwal (Chogawan),19/10/2018,15,Other,1770,1770,1770,
Bhadson,04/10/2018,105, ,NR,NR,NR,
Bhadson,05/10/2018,115,Other,1770,1770,1770,
Giddarbaha,04/10/2018,0.4,Other,1770,1770,1770,
Noor Mehal,10/10/2018,164.89, ,NR,NR,NR,
Noor Mehal,11/10/2018,159.4,Other,1770,1770,1770,
Noor Mehal,12/10/2018,222.3,Other,1770,1770,1770,
Noor Mehal,13/10/2018,270.8,Other,1770,1770,1770,
Noor Mehal,14/10/2018,354.9,Other,1770,1770,1770,
Noor Mehal,15/10/2018,496.1,Other,1770,1770,1770,
Noor Mehal,16/10/2018,483.7,Other,1770,1770,1770,
Noor Mehal,17/10/2018,798.1,Other,1770,1770,1770,
Noor Mehal,18/10/2018,981.3,Other,1770,1770,1770,
Noor Mehal,19/10/2018,981.3,Other,1770,1770,1770,
Noor Mehal(Kot Badal Khan),09/10/2018,35,Other,1770,1770,1770,
Noor Mehal(Kot Badal Khan),11/10/2018,50.3,Other,1770,1770,1770,
Noor Mehal(Kot Badal Khan),12/10/2018,33.2,Other,1770,1770,1770,
Noor Mehal(Kot Badal Khan),19/10/2018,280.4,Other,1770,1770,1770,
