Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,03/04/2018,0.5,Other,1631,1631,1631,
Abohar,04/04/2018,6.5,Other,1605,1605,1605,
Abohar,05/04/2018,6.5,Other,1545,1590,1590,
Abohar,11/04/2018,145,Other,1735,1735,1735,
Abohar,12/04/2018,150,Other,1735,1735,1735,
Abohar,13/04/2018,907,Other,1735,1735,1735,
Abohar,14/04/2018,3218,Other,1735,1735,1735,
Abohar,15/04/2018,6034,Other,1735,1735,1735,
Abohar,16/04/2018,11041,Other,1735,1735,1735,
Abohar,17/04/2018,16077,Other,1735,1735,1735,
Abohar,18/04/2018,18856,Other,1735,1735,1735,
Abohar,19/04/2018,15588,Other,1735,1735,1735,
Abohar,20/04/2018,25810,Other,1735,1735,1735,
Abohar,21/04/2018,33274,Other,1735,1735,1735,
Abohar,22/04/2018,24581,Other,1735,1735,1735,
Abohar,23/04/2018,30335,Other,1735,1735,1735,
Abohar,24/04/2018,19013,Other,1735,1735,1735,
Abohar,25/04/2018,21229,Other,1735,1735,1735,
Abohar,26/04/2018,14315,Other,1735,1735,1735,
Abohar,27/04/2018,9730,Other,1735,1735,1735,
Abohar,28/04/2018,11853,Other,1735,1735,1735,
Abohar,29/04/2018,3015,Other,1735,1735,1735,
Abohar,30/04/2018,8177,Other,1735,1735,1735,
Ajitwal,17/04/2018,1710,Other,1735,1735,1735,
Ajitwal,18/04/2018,3849,Other,1735,1735,1735,
Ajitwal,19/04/2018,5083,Other,1735,1735,1735,
Ajitwal,20/04/2018,4188,Other,1735,1735,1735,
Ajitwal,21/04/2018,5500,Other,1735,1735,1735,
Ajitwal,22/04/2018,4352, ,NR,NR,NR,
Ajitwal,23/04/2018,4837, ,NR,NR,NR,
Ajitwal,25/04/2018,3351,Other,1735,1735,1735,
Ajitwal,26/04/2018,3640,Other,1735,1735,1735,
Ajitwal,27/04/2018,660,Other,1735,1735,1735,
Ajitwal,28/04/2018,533,Other,1735,1735,1735,
Ajitwal,29/04/2018,254,Other,1735,1735,1735,
Ajitwal,30/04/2018,623,Other,1735,1735,1735,
Ajitwal (Chogawan),17/04/2018,175,Other,1735,1735,1735,
Ajitwal (Chogawan),19/04/2018,325,Other,1735,1735,1735,
