Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer (Grain),22/11/2018,0.8,Other,1800,1800,1800,
Aklera,01/11/2018,5, ,NR,NR,NR,
Aklera,12/11/2018,20,Other,1920,5300,1935,
Aklera,13/11/2018,180,Other,1930,1960,1945,
Aklera,14/11/2018,10,Other,1910,1958,1934,
Aklera,15/11/2018,10,Other,1940,1965,1952,
Aklera,16/11/2018,12.5,Other,1925,1965,1945,
Aklera,17/11/2018,15,Other,1915,1955,1935,
Aklera,19/11/2018,10,Other,1920,1960,1940,
Aklera,20/11/2018,20,Other,1890,1970,1930,
Aklera,21/11/2018,12,Other,1900,1960,1930,
Aklera,22/11/2018,25,Other,1910,1945,1927,
Aklera,23/11/2018,10,Other,1911,1950,1930,
Aklera,24/11/2018,15,Other,1925,1960,1942,
Aklera,26/11/2018,18,Other,1910,1935,1917,
Aklera,27/11/2018,10,Other,1910,1937,1923,
Aklera,28/11/2018,20,Other,1915,1950,1932,
Aklera,29/11/2018,15,Other,1912,1960,1936,
Aklera,30/11/2018,15,Other,1940,1980,1960,
Alwar,01/11/2018,15.1,Other,1890,1910,1900,
Alwar,02/11/2018,20.8,Other,1890,1910,1900,
Alwar,03/11/2018,43.8,Other,1890,1910,1910,
Alwar,05/11/2018,30.1,Other,1900,1920,1910,
Alwar,06/11/2018,22.1,Other,1900,1920,1910,
Alwar,09/11/2018,5,Other,1900,1930,1910,
Alwar,10/11/2018,13.4,Other,1900,1930,1910,
Alwar,12/11/2018,19.8,Other,1900,1930,1920,
Alwar,13/11/2018,18.6,Other,1910,1930,1920,
Alwar,14/11/2018,29.4,Other,1910,1930,1920,
Alwar,15/11/2018,8.5,Other,1900,1925,1915,
Alwar,16/11/2018,27.5,Other,1900,1930,1920,
Alwar,17/11/2018,25.4,Other,1900,1930,1920,
Alwar,19/11/2018,5.9,Other,1900,1940,1930,
Alwar,20/11/2018,4.1,Other,1900,1930,1915,
Alwar,21/11/2018,9.3,Other,1900,1930,1915,
Alwar,22/11/2018,15.9,Other,1950,1980,1965,
Alwar,23/11/2018,13.1,Other,1950,1980,1965,
Alwar,24/11/2018,35.8,Other,1950,1980,1965,
Alwar,26/11/2018,15.4,Other,1950,1975,1965,
Alwar,27/11/2018,16.1,Other,1950,1970,1960,
Alwar,28/11/2018,15.5,Other,1945,1965,1955,
Alwar,29/11/2018,10.4,Other,1945,1965,1955,
Alwar,30/11/2018,12.7,Other,1945,1960,1950,
Anoopgarh,01/11/2018,6.3,Dara,1841,1875,1858,
Anoopgarh,02/11/2018,2, ,NR,NR,NR,
Anoopgarh,03/11/2018,5.9, ,NR,NR,NR,
Anoopgarh,05/11/2018,8.1, ,NR,NR,NR,
Anoopgarh,09/11/2018,5, ,NR,NR,NR,
Anoopgarh,10/11/2018,11.7, ,NR,NR,NR,
Anoopgarh,12/11/2018,7.9, ,NR,NR,NR,
Anoopgarh,13/11/2018,4.1,Dara,1870,1900,1885,
Anoopgarh,14/11/2018,4.5,Dara,1880,1900,1890,
Anoopgarh,15/11/2018,5.7,Dara,1810,1911,1860,
Anoopgarh,16/11/2018,2.4,Dara,1850,1880,1865,
Anoopgarh,17/11/2018,0.8,Dara,1850,1890,1870,
Anoopgarh,19/11/2018,5.8, ,NR,NR,NR,
Anoopgarh,20/11/2018,0.1,Dara,1850,1850,1850,
Anoopgarh,21/11/2018,3.7,Dara,1800,1890,1845,
Anoopgarh,22/11/2018,5.3, ,NR,NR,NR,
Anoopgarh,24/11/2018,0.5,Dara,1930,1930,1930,
Anoopgarh,26/11/2018,9.7,Dara,1800,1906,1853,
Anoopgarh,27/11/2018,7,Dara,1885,1906,1896,
Anoopgarh,28/11/2018,4,Dara,1906,1906,1906,
Anoopgarh,29/11/2018,1.8,Dara,1880,1926,1903,
Anoopgarh,30/11/2018,5,Dara,1880,1922,1902,
Anta,01/11/2018,0.9,Other,1860,1867,1863,
Anta,02/11/2018,1.9,Other,1858,1866,1862,
Anta,03/11/2018,3.2,Other,1850,1861,1855,
Anta,12/11/2018,5.3,Other,1860,1891,1875,
Anta,13/11/2018,2.6,Other,1864,1878,1871,
Anta,14/11/2018,7,Other,1873,1891,1882,
Anta,15/11/2018,4.1,Other,1876,1895,1885,
Anta,16/11/2018,0.9,Other,1851,1875,1863,
Anta,17/11/2018,0.8,Other,1900,1921,1910,
Anta,21/11/2018,3,Other,1874,1894,1884,
Anta,22/11/2018,1.2,Other,1900,1932,1916,
Anta,24/11/2018,2,Other,1938,1952,1945,
Anta,28/11/2018,9.8,Other,1900,1990,1945,
Anta,29/11/2018,5.4,Other,1966,1991,1978,
Anta,30/11/2018,1.3,Other,1973,1980,1976,
Atru,01/11/2018,4.7, ,NR,NR,NR,
Atru,02/11/2018,11.4, ,NR,NR,NR,
Atru,03/11/2018,5,Other,1835,2000,1918,
Atru,13/11/2018,16.2,Other,1866,2101,1983,
Atru,14/11/2018,6,Other,1885,2035,1960,
Atru,15/11/2018,8.5,Other,1900,1991,1945,
Atru,16/11/2018,5.7,Other,1901,2126,2013,
Atru,17/11/2018,2.2,Other,1914,2032,1973,
Atru,19/11/2018,3.8,Other,1866,1973,1919,
Atru,20/11/2018,8.6,Other,1851,2033,1942,
Atru,21/11/2018,5.8,Other,1912,2031,1971,
Atru,22/11/2018,5.5,Other,1925,1970,1948,
Atru,27/11/2018,15.2,Other,1884,2013,1948,
Atru,28/11/2018,1.9,Other,1901,1997,1940,
Atru,29/11/2018,4.7,Other,1921,2001,1966,
Atru,30/11/2018,2.3,Other,1915,1961,1938,
Atru(Kawai Salpura),01/11/2018,6.5, ,NR,NR,NR,
Atru(Kawai Salpura),02/11/2018,1.5, ,NR,NR,NR,
Atru(Kawai Salpura),03/11/2018,3.3,Other,1862,1878,1870,
Atru(Kawai Salpura),12/11/2018,6.5,Other,1889,1950,1920,
Atru(Kawai Salpura),13/11/2018,3.2,Other,1881,1940,1911,
Atru(Kawai Salpura),14/11/2018,2,Other,1927,1961,1944,
Atru(Kawai Salpura),15/11/2018,4.9,Other,1917,1961,1939,
Atru(Kawai Salpura),16/11/2018,1.2,Other,1922,1961,1942,
Atru(Kawai Salpura),17/11/2018,1.6,Other,1929,1981,1955,
Atru(Kawai Salpura),19/11/2018,5.9,Other,1860,2018,1939,
Atru(Kawai Salpura),20/11/2018,12.1,Other,1915,1992,1954,
