Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aklera,01/01/2020,5,Other,2229,2237,2233,
Aklera,02/01/2020,20,Other,2230,2237,2233,
Aklera,03/01/2020,40,Other,2030,2049,2040,
Aklera,06/01/2020,40,Other,2250,2270,2260,
Aklera,07/01/2020,20,Other,2240,2260,2250,
Aklera,08/01/2020,35,Other,2240,2260,2250,
Aklera,09/01/2020,5,Other,2160,2260,2210,
Aklera,10/01/2020,40,Other,2220,2233,2226,
Aklera,11/01/2020,20,Other,1900,2034,1967,
Aklera,13/01/2020,15,Other,2220,2237,2228,
Aklera,14/01/2020,15,Other,2220,2236,2228,
Aklera,16/01/2020,0.5,Other,1961,2210,2085,
Aklera,18/01/2020,10,Other,2215,2240,2227,
Aklera,20/01/2020,25,Other,2100,2133,2116,
Aklera,21/01/2020,30,Other,2092,2100,2096,
Aklera,22/01/2020,15,Other,2040,2135,2087,
Aklera,24/01/2020,20,Other,2100,2121,2110,
Aklera,25/01/2020,30,Other,2080,2143,2111,
Aklera,27/01/2020,50,Other,2040,2145,2092,
Aklera,28/01/2020,45,Other,2040,2090,2065,
Aklera,29/01/2020,40,Other,2040,2121,2080,
Aklera,30/01/2020,25,Other,2040,2080,2060,
Aklera,31/01/2020,30,Other,2080,2103,2091,
Alwar,01/01/2020,12.3,Other,2170,2200,2180,
Alwar,02/01/2020,13.1,Other,2170,2200,2180,
Alwar,03/01/2020,16.1,Other,2160,2190,2180,
Alwar,04/01/2020,24.3,Other,2160,2190,2180,
Alwar,06/01/2020,21.3,Other,2190,2210,2200,
Alwar,07/01/2020,23.2,Other,2190,2210,2200,
Alwar,08/01/2020,3.6,Other,2190,2200,2195,
Alwar,09/01/2020,16.1,Other,2180,2200,2190,
Alwar,10/01/2020,18.4,Other,2180,2200,2190,
Alwar,11/01/2020,9.3,Other,2180,2200,2190,
Alwar,13/01/2020,48.2, ,NR,NR,NR,
Alwar,15/01/2020,12.4,Other,2150,2170,2160,
Alwar,16/01/2020,13.1,Other,2150,2170,2160,
Alwar,17/01/2020,15.2, ,NR,NR,NR,
Alwar,18/01/2020,14.1, ,NR,NR,NR,
Alwar,20/01/2020,14,Other,2060,2080,2070,
Alwar,21/01/2020,6.9,Other,2060,2080,2070,
Alwar,22/01/2020,1.9,Other,2055,2075,2065,
Alwar,23/01/2020,8.2,Other,2050,2070,2060,
Alwar,24/01/2020,7.5,Other,2050,2070,2060,
Alwar,25/01/2020,11.4,Other,2050,2070,2060,
Alwar,27/01/2020,27,Other,2020,2045,2035,
Alwar,28/01/2020,8,Other,2020,2045,2035,
Alwar,29/01/2020,5.5,Other,2020,2040,2035,
Alwar,30/01/2020,5.5,Other,2020,2040,2035,
Alwar,31/01/2020,13.7,Other,2010,2055,2040,
Anoopgarh,03/01/2020,1.5,Dara,2192,2192,2192,
Anoopgarh,09/01/2020,1.5,Dara,2170,2170,2170,
Anoopgarh,17/01/2020,1.3,Dara,1911,2180,2046,
Anoopgarh,18/01/2020,4.6,Dara,2173,2190,2185,
Anoopgarh,22/01/2020,1.6,Dara,2031,2051,2041,
Anoopgarh,23/01/2020,0.9,Dara,2042,2042,2042,
Anta,02/01/2020,0.7,Other,2081,2094,2087,
Anta,03/01/2020,2.5,Other,2090,2130,2110,
Anta,08/01/2020,2.3,Other,2139,2160,2149,
Anta,09/01/2020,1.7,Other,2161,2175,2168,
Anta,10/01/2020,0.9,Other,2158,2181,2169,
Anta,18/01/2020,5.7,Other,2021,2134,2077,
Anta,20/01/2020,3.6,Other,2038,2074,2049,
Anta,21/01/2020,0.7,Other,2011,2038,2024,
Anta,22/01/2020,0.4,Other,1971,2029,2000,
Anta,31/01/2020,2.3,Other,1998,1998,1998,
Atru,01/01/2020,0.8,Other,2000,2211,2105,
Atru,02/01/2020,5.5,Other,2098,2176,2137,
Atru,03/01/2020,1.5,Other,2080,2241,2160,
Atru,04/01/2020,3.6,Other,1818,2202,2010,
