Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achnera,01/09/2018,9,Dara,1800,1880,1840,
Achnera,02/09/2018,7,Dara,1800,1860,1830,
Achnera,03/09/2018,8,Dara,1800,1880,1840,
Achnera,04/09/2018,7,Dara,1800,1880,1840,
Achnera,05/09/2018,8,Dara,1800,1860,1830,
Achnera,07/09/2018,8,Dara,1800,1860,1830,
Achnera,08/09/2018,8,Dara,1800,1900,1850,
Achnera,09/09/2018,8,Dara,1800,1900,1850,
Achnera,10/09/2018,7,Dara,1800,1880,1840,
Achnera,11/09/2018,7,Dara,1800,1860,1830,
Achnera,12/09/2018,7,Dara,1800,1880,1840,
Achnera,14/09/2018,8,Dara,1800,1850,1825,
Achnera,15/09/2018,8.5,Dara,1800,1860,1830,
Achnera,16/09/2018,7,Dara,1800,1880,1840,
Achnera,17/09/2018,8,Dara,1800,1880,1840,
Achnera,18/09/2018,7,Dara,1820,1880,1850,
Achnera,19/09/2018,7,Dara,1800,1860,1830,
Achnera,21/09/2018,7,Dara,1800,1860,1830,
Achnera,22/09/2018,7.5,Dara,1800,1850,1825,
Achnera,23/09/2018,7,Dara,1800,1860,1830,
Achnera,24/09/2018,6.5,Dara,1800,1860,1830,
Achnera,25/09/2018,6,Dara,1800,1860,1830,
Achnera,26/09/2018,7,Dara,1800,1860,1830,
Achnera,28/09/2018,7,Dara,1800,1880,1840,
Achnera,29/09/2018,7,Dara,1820,1860,1840,
Achnera,30/09/2018,8,Dara,1800,1860,1830,
Agra,01/09/2018,320,Dara,1760,1800,1780,
Agra,03/09/2018,283,Dara,1770,1800,1785,
Agra,04/09/2018,260,Dara,1750,1820,1790,
Agra,05/09/2018,238,Dara,1780,1810,1800,
Agra,06/09/2018,230,Dara,1790,1820,1810,
Agra,07/09/2018,200,Dara,1800,1840,1820,
Agra,08/09/2018,210,Dara,1780,1810,1800,
Agra,10/09/2018,205,Dara,1790,1820,1810,
Agra,11/09/2018,197,Dara,1800,1830,1820,
Agra,12/09/2018,180,Dara,1820,1870,1850,
Agra,13/09/2018,163,Dara,1850,1890,1870,
Agra,14/09/2018,191,Dara,1840,1885,1860,
Agra,15/09/2018,190,Dara,1850,1890,1870,
Agra,17/09/2018,205,Dara,1820,1870,1850,
Agra,18/09/2018,189,Dara,1840,1880,1860,
Agra,19/09/2018,180,Dara,1830,1870,1850,
Agra,20/09/2018,167,Dara,1840,1875,1855,
Agra,21/09/2018,156, ,NR,NR,NR,
Agra,22/09/2018,170, ,NR,NR,NR,
Agra,24/09/2018,197,Dara,1820,1870,1850,
Agra,25/09/2018,207,Dara,1820,1860,1840,
Agra,26/09/2018,203,Dara,1860,1890,1880,
Agra,27/09/2018,221,Dara,1850,1890,1870,
Agra,28/09/2018,205,Dara,1860,1890,1875,
Agra,29/09/2018,215,Dara,1860,1900,1880,
Ahirora,26/09/2018,30,Other,1735,1750,1740,
Ait,01/09/2018,2,Dara,1806,1826,1816,
Ait,02/09/2018,1.8,Dara,1810,1810,1810,
Ait,03/09/2018,2.1,Dara,1815,1815,1815,
Ait,05/09/2018,2.2,Dara,1823,1823,1823,
Ait,06/09/2018,2.2,Dara,1810,1820,1815,
Ait,07/09/2018,2.3,Dara,1550,1870,1860,
Ait,08/09/2018,1.6,Dara,1845,1855,1850,
Ait,09/09/2018,2.3,Dara,1856,1876,1866,
Ait,10/09/2018,3.3,Dara,1840,1860,1850,
Ait,12/09/2018,3.3,Dara,1850,1860,1855,
Ait,13/09/2018,2.2,Dara,1850,1860,1855,
Ait,14/09/2018,2.9,Dara,1900,1910,1905,
Ait,15/09/2018,3.2,Dara,1880,1890,1885,
Ait,16/09/2018,3.6,Dara,1890,1890,1890,
Ait,17/09/2018,2.2,Dara,1900,1910,1905,
Ait,18/09/2018,2.5,Dara,1895,1895,1895,
Ait,19/09/2018,2.4,Dara,1920,1920,1920,
Ait,20/09/2018,3.1,Dara,1854,1854,1854,
Ait,21/09/2018,3.2,Dara,1850,1860,1855,
Ait,22/09/2018,3.1,Dara,1850,1860,1855,
Ait,23/09/2018,2.3,Dara,1860,1880,1870,
Ait,24/09/2018,2.5,Dara,1840,1860,1850,
Ait,25/09/2018,2.4,Dara,1851,1851,1851,
Ait,26/09/2018,2.6,Dara,1840,1850,1845,
Ait,27/09/2018,2.4,Dara,1845,1845,1845,
Ait,28/09/2018,3.5,Dara,1823,1823,1823,
Ait,29/09/2018,3,Dara,1851,1851,1851,
Ait,30/09/2018,2.2,Dara,1850,1850,1850,
Ajuha,01/09/2018,40,Dara,1740,1780,1760,
Ajuha,02/09/2018,50,Dara,1740,1780,1760,
Ajuha,03/09/2018,40, ,NR,NR,NR,
Ajuha,04/09/2018,50,Dara,1730,1770,1750,
Ajuha,05/09/2018,30,Dara,1730,1780,1750,
Ajuha,06/09/2018,40,Dara,1700,1750,1730,
Ajuha,08/09/2018,50,Dara,1700,1760,1740,
Ajuha,09/09/2018,40,Dara,1700,1760,1740,
Ajuha,10/09/2018,30,Dara,1700,1760,1740,
Ajuha,11/09/2018,40,Dara,1700,1750,1730,
Ajuha,12/09/2018,30,Dara,1700,1750,1730,
Ajuha,13/09/2018,40,Dara,1700,1750,1730,
Ajuha,15/09/2018,50,Dara,1725,1780,1750,
Ajuha,16/09/2018,40,Dara,1720,1770,1750,
Ajuha,17/09/2018,45,Dara,1725,1800,1750,
Ajuha,18/09/2018,40,Dara,1740,1780,1760,
Ajuha,19/09/2018,45,Dara,1740,1780,1760,
Ajuha,20/09/2018,50,Dara,1740,1780,1760,
Ajuha,22/09/2018,40,Dara,1750,1800,1765,
Ajuha,23/09/2018,50,Dara,1750,1790,1765,
Ajuha,24/09/2018,40,Dara,1750,1780,1765,
Ajuha,25/09/2018,40,Dara,1750,1785,1770,
Ajuha,26/09/2018,50,Dara,1760,1800,1785,
Ajuha,27/09/2018,40,Dara,1760,1800,1785,
Ajuha,29/09/2018,50,Dara,1760,1800,1780,
Ajuha,30/09/2018,40,Dara,1750,1790,1770,
Akbarpur,01/09/2018,57.5,Dara,1700,1745,1725,
Akbarpur,02/09/2018,57,Dara,1700,1760,1730,
Akbarpur,03/09/2018,56.5,Dara,1705,1755,1735,
Akbarpur,05/09/2018,56,Dara,1700,1780,1740,
Akbarpur,06/09/2018,58,Dara,1700,1755,1735,
Akbarpur,07/09/2018,57,Dara,1705,1765,1735,
