Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bazpur,06/01/2018,206,Other,1625,1625,1625,
Bazpur,17/01/2018,249,Other,1625,1625,1625,
Bazpur,31/01/2018,216,Other,1625,1625,1625,
Gadarpur,01/01/2018,280,Other,1625,1625,1625,
Gadarpur,02/01/2018,280,Other,1625,1625,1625,
Gadarpur,04/01/2018,658,Other,1700,1700,1700,
Gadarpur,09/01/2018,200,Other,1630,1630,1630,
Gadarpur,10/01/2018,245,Other,1632,1645,1639,
Kicchha,01/01/2018,117,Other,1500,1800,1650,
Kicchha,03/01/2018,3.5,Dara,1500,1700,1650,
Kicchha,04/01/2018,140.5,Other,1500,1800,1650,
Kicchha,05/01/2018,129.5,Other,1500,1800,1630,
Kicchha,06/01/2018,129.2,Other,1500,1800,1650,
Kicchha,07/01/2018,371.8,Other,1500,1800,1650,
Kicchha,08/01/2018,493.4,Other,1500,1850,1650,
Kicchha,10/01/2018,491.6,Other,1500,1800,1650,
Kicchha,11/01/2018,211.8,Other,1500,1800,1560,
Kicchha,12/01/2018,150.1,Other,1500,1800,1650,
Kicchha,13/01/2018,265.9,Other,1500,1800,1650,
Kicchha,14/01/2018,179.8,Other,1500,1800,1650,
Kicchha,15/01/2018,236,Other,1500,1800,1650,
Kicchha,16/01/2018,113.7,Other,1500,1800,1650,
Kicchha,17/01/2018,88,Other,1500,1800,1650,
Kicchha,18/01/2018,20,Other,1500,1700,1650,
Kicchha,19/01/2018,75.1,Other,1500,1850,1650,
Kicchha,20/01/2018,102.6,Other,1500,1800,1650,
Kicchha,21/01/2018,181.4,Other,1500,1850,1650,
Kicchha,22/01/2018,139,Other,1500,1800,1650,
Kicchha,24/01/2018,80.5,Other,1500,1800,1650,
Kicchha,25/01/2018,205.6,Other,1500,1700,1650,
Kicchha,26/01/2018,82.6,Other,1500,1800,1650,
Kicchha,27/01/2018,179,Other,1500,1750,1630,
Kicchha,28/01/2018,160.6,Other,1500,1800,1650,
Kicchha,29/01/2018,127.9,Other,1500,1700,1650,
Kicchha,30/01/2018,116.7,Other,1500,1750,1650,
Kicchha,31/01/2018,72.4,Other,1500,1800,1650,
Lakshar,02/01/2018,0.8,Other,1625,1700,1650,
Lakshar,03/01/2018,1.2,Other,1625,1700,1650,
Lakshar,06/01/2018,1.2,Other,1625,1700,1650,
Lakshar,08/01/2018,2.5,Other,1625,1700,1650,
Lakshar,10/01/2018,0.7,Other,1625,1700,1650,
Lakshar,13/01/2018,1.5,Other,1625,1700,1650,
Lakshar,15/01/2018,1,Other,4450,4700,4500,
Lakshar,16/01/2018,1.2,Other,1625,1700,1650,
Roorkee,16/01/2018,30,Other,1800,1800,1800,
Sitarganj,04/01/2018,25,Other,1600,1607,1600,
Sitarganj,08/01/2018,51.6,Other,1640,1660,1640,
Sitarganj,16/01/2018,27,Other,1640,1640,1640,
Sitarganj,18/01/2018,21,Other,1640,1640,1640,
Sitarganj,22/01/2018,5,Other,1625,1625,1625,
Vikasnagar,24/01/2018,14,Other,1690,1750,1750,
Vikasnagar,26/01/2018,0.6,Other,1650,1650,1650,
Vikasnagar,31/01/2018,9.6,Other,1600,1780,1780,
