Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Durg,01/04/2018,67.5,Other,7000,10000,8500,
,03/04/2018,64,Other,8000,10000,9000,
,04/04/2018,68,Other,8000,13000,10500,
,05/04/2018,64,Other,8000,12000,10000,
,06/04/2018,60,Other,10000,12000,11000,
,07/04/2018,57,Other,11000,13000,12000,
,08/04/2018,50,Other,11000,13000,12000,
,10/04/2018,60.5,Other,10000,12000,11000,
,11/04/2018,49,Other,12000,14000,13000,
,12/04/2018,47.1,Other,12000,14000,13000,
,13/04/2018,50,Other,10000,15000,12250,
,14/04/2018,37,Other,10000,15000,12250,
,15/04/2018,39,Other,15000,17000,16000,
,17/04/2018,48,Other,12000,14000,13000,
,18/04/2018,44, ,NR,NR,NR,
,19/04/2018,41, ,NR,NR,NR,
,20/04/2018,44, ,NR,NR,NR,
,21/04/2018,66, ,NR,NR,NR,
,22/04/2018,55, ,NR,NR,NR,
,25/04/2018,41,Other,5000,6000,5500,
,26/04/2018,39,Other,5000,5500,5250,
,27/04/2018,37,Other,12000,14000,13000,
,28/04/2018,39,Other,14000,16000,15000,
,29/04/2018,46,Other,10000,15000,12250,
