Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambala Cantt.,01/06/2018,0.8,Apple,8000,13500,12000,
,02/06/2018,0.4,Apple,9500,13500,12000,
,03/06/2018,0.6,Apple,8500,12000,9500,
,07/06/2018,0.4,Apple,9500,13000,12000,
,08/06/2018,0.5,Apple,8500,13500,12000,
,09/06/2018,0.5,Apple,8500,13500,12000,
,10/06/2018,0.5,Apple,9000,18000,15000,
,13/06/2018,0.8,Apple,9500,14500,12000,
,14/06/2018,0.5,Apple,8000,12000,11000,
,15/06/2018,0.5,Apple,8000,12000,11000,
,16/06/2018,0.7,Apple,8000,12000,9500,
,17/06/2018,0.6,Apple,8500,12000,9500,
,19/06/2018,0.6,Apple,8000,12000,10000,
,21/06/2018,1,Apple,8000,12500,12000,
,23/06/2018,0.3,Apple,8000,11000,10000,
,24/06/2018,0.4,Apple,8000,11000,10000,
,26/06/2018,0.4,Apple,8500,11000,9800,
,27/06/2018,0.5,Apple,8000,11000,9500,
Ambala City,02/06/2018,0.5,Apple,12000,31000,15000,
,03/06/2018,0.2,Apple,9000,13500,10000,
,04/06/2018,0.1,Apple,12000,15800,13500,
,05/06/2018,0.1,Apple,10000,15355,13000,
,06/06/2018,0.3,Apple,14000,17140,15500,
,12/06/2018,0.13,Apple,10000,14000,12000,
,13/06/2018,0.2,Apple,11500,14560,13000,
,14/06/2018,0.4,Apple,12000,16000,14000,
,15/06/2018,0.4,Apple,12000,16000,14000,
,16/06/2018,0.2, ,NR,NR,NR,
,17/06/2018,0.3,Apple,12000,16000,14000,
,18/06/2018,0.3,Apple,12000,16000,14000,
,19/06/2018,0.2,Apple,11000,17000,13000,
,20/06/2018,0.4,Apple,10000,13290,11500,
Ballabhgarh,03/06/2018,0.7,Other,5000,6000,5500,
,05/06/2018,0.6,Other,5000,6000,5500,
,08/06/2018,0.1,Other,5000,5000,5000,
,15/06/2018,0.1,Other,5000,6000,5500,
,16/06/2018,0.4,Other,5000,6000,5500,
,20/06/2018,0.2,Other,7800,8200,8000,
,21/06/2018,0.3,Other,8000,9000,8500,
,23/06/2018,0.4,Other,8000,9000,8500,
,27/06/2018,0.2,Other,9000,10000,9500,
,28/06/2018,0.2,Other,8000,8800,8500,
Barara,01/06/2018,0.2,Apple,11000,12000,11000,
,02/06/2018,0.2,Apple,11000,12000,11000,
,04/06/2018,0.2,Apple,11000,12000,11000,
,05/06/2018,0.2,Apple,11000,12000,11000,
,06/06/2018,0.2,Apple,11380,12500,11380,
,07/06/2018,0.2,Apple,11500,13000,11500,
,08/06/2018,0.2,Apple,11500,13000,11500,
,09/06/2018,0.2,Apple,11500,13000,11500,
,11/06/2018,0.2,Apple,11500,13800,11500,
,12/06/2018,0.2,Apple,11500,13000,11500,
,13/06/2018,0.2,Apple,11500,13000,11500,
,15/06/2018,0.2,Apple,11000,13000,11000,
,18/06/2018,0.2,Apple,12000,13000,12000,
,19/06/2018,0.2,Apple,12000,13000,12000,
,20/06/2018,0.2,Apple,12000,13000,12000,
,21/06/2018,0.2,Apple,12000,13000,12000,
,22/06/2018,0.2,Apple,12000,13000,12000,
,23/06/2018,0.2,Apple,12000,13000,12000,
,25/06/2018,0.2,Apple,12000,13000,12000,
,26/06/2018,0.2,Apple,16000,17750,16000,
Barwala(Hisar),01/06/2018,2, ,NR,NR,NR,
,03/06/2018,2,Other,12000,13000,13000,
,05/06/2018,1,Other,10000,10000,10000,
,09/06/2018,1,Other,12000,12000,12000,
,13/06/2018,1,Other,12000,12000,12000,
,14/06/2018,1,Other,13000,13000,13000,
,16/06/2018,1,Other,12000,12000,12000,
,20/06/2018,1,Other,13000,13000,13000,
,21/06/2018,1,Other,13000,13000,13000,
,22/06/2018,1,Other,13000,13000,13000,
,24/06/2018,1,Other,12000,12000,12000,
,28/06/2018,1,Other,10000,10000,10000,
,29/06/2018,1,Other,10000,10000,10000,
Cheeka,02/06/2018,0.01,Other,12500,12500,12500,
,05/06/2018,0.02,Other,8000,12000,12000,
,06/06/2018,0.01,Other,12000,12000,12000,
,08/06/2018,0.01,Other,12500,12500,12500,
,12/06/2018,0.02,Other,12000,12000,12000,
,13/06/2018,0.03,Other,12000,12000,12000,
,15/06/2018,0.02,Other,12000,12000,12000,
,16/06/2018,0.02,Other,9500,9500,9500,
,19/06/2018,0.02,Other,12000,12500,12500,
,20/06/2018,0.02,Other,12500,12500,12500,
,23/06/2018,0.03,Other,12500,12500,12500,
,24/06/2018,0.02,Other,12000,12500,12500,
Faridabad,03/06/2018,3.4,Other,9000,12000,10500,
,30/06/2018,3,Other,7800,8000,7900,
Fatehabad,02/06/2018,0.3,Other,10000,15000,10000,
,05/06/2018,0.25,Other,8000,14000,8000,
,06/06/2018,0.2,Other,9000,15000,9000,
,09/06/2018,0.15,Other,15000,18000,18000,
,11/06/2018,0.15,Other,9000,15000,9000,
,12/06/2018,0.4,Other,9000,15000,9000,
,16/06/2018,0.15,Other,12000,12000,12000,
,17/06/2018,0.15,Other,12000,13000,12000,
,18/06/2018,0.2,Other,12000,13000,12000,
,19/06/2018,0.15,Other,15000,15000,15000,
,21/06/2018,0.15,Other,12000,15000,12000,
,22/06/2018,0.15,Other,15000,15000,15000,
,23/06/2018,0.15,Other,15000,15000,15000,
,24/06/2018,0.25,Other,12000,15000,12000,
,25/06/2018,0.15,Other,12000,15000,12000,
,27/06/2018,0.15,Other,12000,15000,12000,
,28/06/2018,0.15,Other,12000,15000,12000,
Gharaunda,28/06/2018,0.8, ,NR,NR,NR,
Gohana,02/06/2018,0.5,Apple,9000,15000,9000,
,04/06/2018,0.7,Apple,9000,10000,9000,
,05/06/2018,0.7,Apple,9000,15000,9000,
,06/06/2018,0.7,Apple,9000,15000,9000,
,12/06/2018,0.7,Apple,9000,15000,9000,
,13/06/2018,0.5,Apple,10000,15000,10000,
,14/06/2018,0.7,Apple,9000,15000,9000,
,15/06/2018,0.5,Apple,10000,15000,10000,
,18/06/2018,0.5,Apple,10000,15000,10000,
,19/06/2018,0.5,Apple,10000,15000,10000,
,20/06/2018,0.5,Apple,10000,15000,10000,
,22/06/2018,0.5,Apple,10000,15000,10000,
,23/06/2018,0.5,Apple,10000,15000,10000,
,26/06/2018,0.5,Apple,10000,15000,10000,
Gurgaon,02/06/2018,3.3,Other,8000,13000,10500,
,03/06/2018,2.7,Other,8000,13000,10500,
,05/06/2018,2.7,Other,8000,13000,10500,
,06/06/2018,2.4,Other,8000,13000,10500,
,07/06/2018,3.5,Other,8000,12000,10000,
,08/06/2018,3.5,Other,8000,13000,10500,
,09/06/2018,3.6,Other,8000,13000,10500,
,10/06/2018,3.3,Other,8000,12000,10000,
,11/06/2018,1.7,Other,8000,13000,10500,
,12/06/2018,3.6,Other,8000,12000,10000,
,13/06/2018,2.8,Other,8000,12000,10000,
,14/06/2018,4.3,Other,8000,13000,10500,
,15/06/2018,2.5,Other,8000,13000,10500,
,16/06/2018,3.5,Other,8000,13000,10500,
,17/06/2018,0.4,Other,8000,13000,10500,
,18/06/2018,3.2,Other,8000,13000,10500,
,19/06/2018,3.1,Other,8000,13000,10500,
,20/06/2018,2,Other,8000,13000,10500,
,21/06/2018,2.2,Other,8000,13000,10500,
,22/06/2018,3.4,Other,9000,13000,11000,
,23/06/2018,3.5,Other,8000,13000,10500,
,25/06/2018,3.5,Other,9000,13000,11000,
,26/06/2018,3.4,Other,8000,13000,10500,
,27/06/2018,3.3,Other,8000,13000,10500,
,28/06/2018,2.9,Other,8000,13000,10500,
,29/06/2018,3.7,Other,9000,12000,10500,
Hissar,05/06/2018,11.5, ,NR,NR,NR,
,07/06/2018,1.1, ,NR,NR,NR,
,08/06/2018,1.4,Other,11000,11500,11500,
,09/06/2018,1.2,Other,12000,12500,12000,
,12/06/2018,1.5,Other,12000,13000,12000,
,13/06/2018,1.8,Other,12500,13000,13000,
,16/06/2018,1.1,Other,12500,13000,13000,
,18/06/2018,1.5,Other,12000,13000,12000,
,22/06/2018,1.5,Other,13000,13500,13000,
,25/06/2018,1.2,Other,13000,14000,13500,
,27/06/2018,1.4,Other,13000,14000,13500,
Iamailabad,05/06/2018,0.03,Apple,6000,8500,7500,
,06/06/2018,0.03,Apple,7500,8500,8000,
,07/06/2018,0.03,Apple,7500,8650,8500,
,09/06/2018,0.02,Apple,6500,8500,7500,
,10/06/2018,0.03,Apple,6500,8000,7500,
,11/06/2018,0.04,Apple,6000,7500,7000,
,12/06/2018,0.03,Apple,7500,8500,7850,
,13/06/2018,0.03,Apple,7000,8000,7500,
,14/06/2018,0.03,Apple,7000,8500,7580,
,15/06/2018,0.03,Apple,7500,8500,8000,
,16/06/2018,0.03,Apple,6500,7500,7200,
