Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ambala Cantt.,01/05/2019,1.2,Apple,5000,8000,6500,
,03/05/2019,1.2,Apple,4000,7500,5000,
,04/05/2019,2.4,Apple,4500,6700,5500,
,05/05/2019,3.4,Apple,5000,7500,6500,
,07/05/2019,1,Apple,5000,8500,6500,
,11/05/2019,2.5,Apple,6500,8500,7500,
,12/05/2019,6.5,Apple,4500,8500,6500,
,14/05/2019,1,Apple,5000,8200,6500,
,15/05/2019,1,Apple,5000,8000,6800,
,16/05/2019,0.8,Apple,5000,8000,7500,
,17/05/2019,1.2,Apple,5000,9000,8500,
,19/05/2019,0.8,Apple,5000,9000,7500,
,21/05/2019,1,Apple,5000,9000,7500,
,22/05/2019,0.8,Apple,5000,9000,7500,
,23/05/2019,0.7,Apple,5000,9000,7500,
,24/05/2019,0.7, ,NR,NR,NR,
,28/05/2019,0.8,Apple,5000,9000,8000,
,29/05/2019,1,Apple,5000,9000,7500,
,30/05/2019,1.3,Apple,5800,9500,7500,
,31/05/2019,1,Apple,5000,8000,7500,
Asandh,01/05/2019,0.2,Other,4000,5000,4800,
,02/05/2019,0.3,Other,4000,5000,4500,
,03/05/2019,0.2,Other,4000,4500,4200,
,04/05/2019,0.3,Other,4000,4500,4250,
,05/05/2019,0.2,Other,4000,5000,4500,
,06/05/2019,0.2,Other,4000,5000,4800,
,07/05/2019,0.1,Other,4200,4800,4650,
,11/05/2019,0.2,Other,4000,4200,4150,
,12/05/2019,0.2,Other,4000,4200,4100,
,13/05/2019,0.2,Other,4000,4500,4400,
,14/05/2019,0.3,Other,4000,4500,4250,
,15/05/2019,0.1,Other,4500,4800,4650,
,16/05/2019,0.2,Other,4250,4800,4650,
,17/05/2019,0.2,Other,4500,4800,4650,
,18/05/2019,0.2,Other,4500,5000,4800,
,19/05/2019,0.2,Other,4200,4500,4400,
,20/05/2019,0.2,Other,4200,4500,4400,
,21/05/2019,0.2,Other,4200,4500,4400,
,22/05/2019,0.2,Other,4000,4500,4400,
,23/05/2019,0.2,Other,4000,4500,4400,
,24/05/2019,0.2,Other,4000,4500,4400,
,25/05/2019,0.2,Other,4200,4500,4400,
,26/05/2019,0.2,Other,4200,4500,4400,
,27/05/2019,0.2,Other,4200,4600,4550,
,28/05/2019,0.2,Other,4200,4500,4450,
,29/05/2019,0.2,Other,4200,4500,4400,
,30/05/2019,0.2,Other,4200,4600,4500,
,31/05/2019,0.2,Other,4200,4600,4500,
Bahadurgarh,19/05/2019,0.3,Other,6000,7000,6500,
,20/05/2019,0.2,Other,6500,7500,6800,
,21/05/2019,0.4,Other,7000,7500,7250,
,22/05/2019,0.3,Other,8000,8000,8000,
,23/05/2019,0.2,Other,7250,8000,7500,
,24/05/2019,0.2,Other,8000,8000,8000,
,25/05/2019,0.2,Other,8000,8000,8000,
,27/05/2019,0.3,Other,8000,8000,8000,
Ballabhgarh,02/05/2019,0.4,Other,8000,10000,9000,
,09/05/2019,0.2,Other,6100,6900,6600,
,11/05/2019,0.1,Other,8000,8400,8200,
,17/05/2019,0.2,Other,7000,8000,7500,
,18/05/2019,0.6,Other,8000,10000,9000,
,19/05/2019,0.3,Other,10000,10500,10200,
,20/05/2019,0.6,Other,8000,10000,9000,
,22/05/2019,0.4,Other,8000,9000,8500,
,23/05/2019,0.7,Other,8000,9000,8500,
,24/05/2019,0.1,Other,7000,7200,7100,
,28/05/2019,0.1,Other,9000,10000,9500,
,29/05/2019,0.4,Other,3000,3400,3200,
,30/05/2019,0.2,Other,9000,11000,10000,
Barara,01/05/2019,0.2,Apple,5000,8000,5000,
,02/05/2019,0.2,Apple,5000,8000,5000,
,03/05/2019,0.2,Apple,5000,8000,5000,
,04/05/2019,0.2,Apple,5000,8000,5000,
,05/05/2019,0.2,Apple,5000,8000,5000,
,07/05/2019,0.2,Apple,5000,8000,5000,
,08/05/2019,0.2,Apple,5000,8000,5000,
,09/05/2019,0.2,Apple,5000,8000,5000,
,10/05/2019,0.2,Apple,5000,8000,5000,
,11/05/2019,0.2,Apple,5000,8000,5000,
,13/05/2019,0.2,Apple,6000,9000,6000,
,14/05/2019,0.2,Apple,6000,9000,6000,
,16/05/2019,0.2,Apple,6500,9000,6500,
,17/05/2019,0.2,Apple,6500,9000,6500,
,20/05/2019,0.2,Apple,6500,9000,6500,
,22/05/2019,0.2,Apple,6500,8000,6500,
,24/05/2019,0.2,Apple,6000,8000,6000,
,25/05/2019,0.2,Apple,6500,8000,6500,
,28/05/2019,0.2,Apple,6500,8500,6500,
Barwala(Hisar),01/05/2019,1,Other,8000,8000,8000,
,02/05/2019,1,Other,8000,8000,8000,
,05/05/2019,1,Other,8000,8000,8000,
,09/05/2019,1,Other,8000,8000,8000,
,15/05/2019,2,Other,8000,8000,8000,
,17/05/2019,1,Other,9000,9000,9000,
,19/05/2019,1,Other,9000,9000,9000,
,22/05/2019,1,Other,9000,9000,9000,
,25/05/2019,1,Other,9000,9000,9000,
,29/05/2019,1, ,NR,NR,NR,
Bhiwani,24/05/2019,21,Apple,10000,10500,10250,
,25/05/2019,19,Apple,10000,10500,10250,
Ch. Dadri,21/05/2019,0.2,Other,8000,10000,9000,
,22/05/2019,0.25,Other,8000,10000,9000,
,23/05/2019,0.3,Other,8000,9800,9000,
,24/05/2019,0.4,Other,8000,10000,9000,
,25/05/2019,0.2,Other,8200,10200,9200,
,27/05/2019,0.3,Other,8000,10000,9000,
