Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhopal(F&V),01/11/2018,133.9, ,NR,NR,NR,
,02/11/2018,55.2, ,NR,NR,NR,
,03/11/2018,143.8,Other,2000,4000,3000,
,04/11/2018,22,Other,2000,4000,3000,
,05/11/2018,131.3,Other,2000,4000,3000,
,06/11/2018,25,Other,2000,4000,3000,
,07/11/2018,62.2,Other,2000,4000,3000,
,08/11/2018,14,Other,2000,4000,3000,
,09/11/2018,156.5,Other,2000,4000,3000,
,10/11/2018,28,Other,2000,4000,3000,
,12/11/2018,143.2, ,NR,NR,NR,
,13/11/2018,27,Other,2000,4000,3000,
,14/11/2018,159.9, ,NR,NR,NR,
,15/11/2018,136.4, ,NR,NR,NR,
,16/11/2018,92,Other,2000,4000,3000,
,17/11/2018,130.9,Other,2000,4000,3000,
,18/11/2018,24,Other,2000,4000,3000,
,19/11/2018,123.2,Other,2000,4000,3000,
,20/11/2018,70, ,NR,NR,NR,
,21/11/2018,115.3,Other,2000,4000,3000,
,22/11/2018,83.7,Other,2000,4000,3000,
,23/11/2018,61,Other,2000,4000,3000,
,24/11/2018,35.9,Other,2000,4000,3000,
,25/11/2018,38,Other,2000,4000,3000,
,26/11/2018,90.6,Other,2000,4000,3000,
,28/11/2018,19,Other,2000,4000,3000,
,29/11/2018,102.6,Other,3000,5000,4000,
,30/11/2018,92.5,Other,3000,5000,4000,
Burhanpur(F&V),05/11/2018,83.5, ,NR,NR,NR,
,07/11/2018,75, ,NR,NR,NR,
,25/11/2018,58.5, ,NR,NR,NR,
Dhar(F&V),01/11/2018,2.5, ,NR,NR,NR,
,02/11/2018,3, ,NR,NR,NR,
,03/11/2018,5,Other,4000,7000,5500,
,05/11/2018,8,Other,4000,7000,5500,
,06/11/2018,8,Other,4000,6500,6000,
,12/11/2018,4,Other,5000,6300,6000,
,13/11/2018,0.8, ,NR,NR,NR,
,14/11/2018,0.8,Other,5000,7000,5500,
,15/11/2018,1.5,Other,5000,7500,6000,
,16/11/2018,1.5,Other,5000,6000,5500,
,17/11/2018,0.5,Other,3000,6000,4500,
,18/11/2018,2.5, ,NR,NR,NR,
,19/11/2018,4,Other,4000,7500,6000,
,20/11/2018,3, ,NR,NR,NR,
,21/11/2018,3,Other,6000,7000,6500,
,22/11/2018,3.5, ,NR,NR,NR,
,23/11/2018,3.5,Other,2500,6000,4500,
,24/11/2018,2.5,Other,4000,6000,4800,
,26/11/2018,2.5, ,NR,NR,NR,
,27/11/2018,3, ,NR,NR,NR,
,29/11/2018,2.5,Other,3000,6000,4000,
,30/11/2018,3.5,Other,5000,6000,5500,
Harda(F&V),02/11/2018,5, ,NR,NR,NR,
,03/11/2018,8, ,NR,NR,NR,
,04/11/2018,41,Apple,3000,4000,3500,
,05/11/2018,17,Apple,3200,3800,3700,
,06/11/2018,27,Apple,3500,3700,3600,
,07/11/2018,15,Apple,3500,4000,3800,
,09/11/2018,6,Apple,3500,3700,3600,
,10/11/2018,2,Apple,3100,3800,3700,
,11/11/2018,10,Apple,3500,3700,3600,
,12/11/2018,7,Apple,3500,3700,3600,
,13/11/2018,9,Apple,3500,4000,3800,
,14/11/2018,12,Apple,2800,3000,2900,
,15/11/2018,12,Apple,2900,3200,3000,
,16/11/2018,10,Apple,3000,3600,3500,
,17/11/2018,9,Apple,3500,3700,3600,
,18/11/2018,20,Apple,3500,4000,3700,
,19/11/2018,6,Apple,3000,3600,3500,
,20/11/2018,4,Apple,2400,3500,3200,
,21/11/2018,3,Apple,3000,3200,3100,
,22/11/2018,8,Apple,3000,3500,3300,
,23/11/2018,10,Apple,3200,3600,3500,
,24/11/2018,12,Apple,3000,3500,3100,
,25/11/2018,10,Apple,3000,3500,3300,
,26/11/2018,7,Apple,3000,3600,3500,
