Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Azadpur,01/11/2018,3867.3, ,NR,NR,NR,
,02/11/2018,6331.5,Golden,2000,4000,3000,
,,,Royal Delicious,4000,8500,6750,
,03/11/2018,4736.9,Golden,2000,4000,3000,
,,,Royal Delicious,4000,8500,6750,
,05/11/2018,6087.5, ,NR,NR,NR,
,06/11/2018,1331.1,Golden,2000,4000,3000,
,,,Royal Delicious,4000,8500,6750,
,07/11/2018,1604.4, ,NR,NR,NR,
,09/11/2018,732.4,Golden,4500,10000,6250,
,,,Royal Delicious,4000,8500,6750,
,10/11/2018,1992.4, ,NR,NR,NR,
,12/11/2018,1220.9,Golden,4500,10000,6250,
,,,Royal Delicious,4000,8500,6750,
,13/11/2018,4101.1,Golden,4500,10000,6917,
,,,Royal Delicious,4000,8500,6750,
,14/11/2018,2524.9,Golden,4500,10000,7000,
,,,Royal Delicious,4000,8500,6750,
,15/11/2018,5512.9, ,NR,NR,NR,
,16/11/2018,2044.2,Golden,4500,10000,7000,
,,,Royal Delicious,4000,8500,6750,
,17/11/2018,3480.9,Golden,4500,10000,7000,
,,,Royal Delicious,4000,8500,6750,
,19/11/2018,4246,Golden,4500,11000,7233,
,,,Royal Delicious,2000,8500,5075,
,21/11/2018,4301.7,Golden,4000,8000,5500,
,,,Royal Delicious,2000,8500,5075,
,22/11/2018,1961.4,Golden,5250,8000,6000,
,,,Royal Delicious,2600,8500,5500,
,23/11/2018,4179.2,Golden,5250,8000,6000,
,,,Royal Delicious,2600,8500,5500,
,24/11/2018,2289.5,Golden,5250,8000,6000,
,,,Royal Delicious,2600,8500,5500,
,26/11/2018,1757.7, ,NR,NR,NR,
,27/11/2018,3489.1, ,NR,NR,NR,
,28/11/2018,2232.5,Kullu Royal Delicious,2000,6000,4000,
,30/11/2018,1846.7,Delicious,2500,5313,3906,
,,,Kullu Royal Delicious,2000,4800,3440,
,,,Royal Delicious,2400,4400,3400,
