Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,01/02/2019,2,Apple,2400,6850,3550,
,04/02/2019,1,Apple,4400,6750,5450,
,05/02/2019,2,Apple,4400,6000,5500,
,06/02/2019,1,Apple,4400,6700,5600,
,07/02/2019,2,Apple,4400,7800,5400,
,08/02/2019,1,Apple,4175,5750,4600,
,11/02/2019,1.5,Apple,3500,6200,4500,
,12/02/2019,1,Apple,4500,7500,5500,
,18/02/2019,1.5,Apple,4400,6800,5500,
,21/02/2019,0.5,Apple,4000,7500,5500,
,22/02/2019,0.3,Apple,3500,7500,5500,
,25/02/2019,1,Apple,3450,6950,4550,
,26/02/2019,1,Apple,4450,5900,5200,
,27/02/2019,1,Apple,4400,6900,4750,
,28/02/2019,1,Apple,4450,6900,5500,
Amritsar(Amritsar Mewa Mandi),01/02/2019,11.3,Apple,2000,4000,3000,
,02/02/2019,48, ,NR,NR,NR,
,03/02/2019,54, ,NR,NR,NR,
,04/02/2019,58.8, ,NR,NR,NR,
,05/02/2019,33.3,Apple,1500,4500,3000,
,07/02/2019,30,Apple,1500,4500,3000,
,08/02/2019,40,Apple,1500,4500,3000,
,17/02/2019,9,American,2000,4000,3000,
,20/02/2019,9.8,American,2000,4000,3000,
,21/02/2019,12,American,2000,4000,3000,
,24/02/2019,14,Apple,1000,4000,2000,
,25/02/2019,12, ,NR,NR,NR,
Balachaur,05/02/2019,0.2,Other,5000,6500,6000,
,07/02/2019,0.15,Other,5500,6500,6000,
Banga,02/02/2019,0.5,Other,3500,5844,5844,
,04/02/2019,0.6,Other,3000,5469,5469,
,05/02/2019,0.3,Other,3500,5361,5361,
,06/02/2019,0.4,Other,3100,5440,5440,
,08/02/2019,0.2,Other,3500,5333,5333,
,09/02/2019,0.5,Other,3500,5300,5300,
,11/02/2019,0.6,Other,3000,4308,4308,
,13/02/2019,0.2,Other,3000,5613,3000,
,14/02/2019,0.5,Other,3100,4329,4329,
,16/02/2019,0.3,Other,4000,6400,6400,
,19/02/2019,0.5,Other,3000,6371,3500,
,20/02/2019,0.22,Other,3500,3600,3600,
,22/02/2019,0.8,Other,3300,4493,4493,
,23/02/2019,0.7,Other,3400,6867,3400,
,26/02/2019,0.3,Other,3200,5000,3200,
,27/02/2019,1,Other,3400,5122,5122,
,28/02/2019,0.3,Other,2700,6218,6218,
Bariwala,04/02/2019,0.04,American,2000,2500,2500,
,12/02/2019,0.02,American,2500,2500,2500,
,13/02/2019,0.01,American,2500,2500,2500,
,25/02/2019,0.01,American,3000,3000,3000,
,27/02/2019,0.03,American,3000,3000,3000,
Barnala,12/02/2019,1.3,Other,4200,7500,5850,
,13/02/2019,0.1,Other,5500,5500,5500,
,16/02/2019,0.2,Other,5000,6500,5750,
,17/02/2019,0.3,Other,5500,6500,6000,
,18/02/2019,8.8,Other,3500,7500,5500,
,19/02/2019,0.4,Other,6500,7500,7000,
,20/02/2019,0.8,Other,6800,12000,9400,
,21/02/2019,5.4,Other,3700,4000,3850,
,22/02/2019,0.2,Other,3500,4000,3750,
,24/02/2019,1.3,Other,3200,4000,3600,
,25/02/2019,0.8,Other,2400,3000,2700,
,26/02/2019,1.6,Other,3500,6000,4750,
,27/02/2019,5.4,Other,4000,7500,5750,
Bassi Pathana,01/02/2019,0.3,Apple,7500,8200,8000,
,02/02/2019,0.4,Apple,7000,8000,7500,
,04/02/2019,0.3,Apple,7000,8000,7500,
,05/02/2019,0.4,Apple,8000,8500,8200,
,06/02/2019,0.5,Apple,8000,9000,8500,
,07/02/2019,0.6,Apple,8000,9000,8500,
,08/02/2019,0.6,Apple,8000,9000,8500,
,09/02/2019,0.4,Apple,8000,9000,8500,
,11/02/2019,0.4,Apple,8000,9000,8500,
,12/02/2019,0.3,Apple,8000,9000,8500,
,13/02/2019,0.4,Apple,8500,9000,8800,
,14/02/2019,0.4,Apple,7000,8000,7500,
,15/02/2019,0.3,Apple,7000,8000,7500,
,16/02/2019,0.4,Apple,7500,8000,7800,
,17/02/2019,0.3,Apple,7000,8500,7500,
,18/02/2019,0.3,Apple,8000,9000,8500,
,19/02/2019,0.3,Apple,9000,9500,9200,
,20/02/2019,0.2,Apple,7000,8000,7500,
,21/02/2019,0.2,Apple,7000,8000,7500,
,22/02/2019,0.3,Apple,8000,8500,8500,
,23/02/2019,0.2,Apple,7200,8000,7500,
,25/02/2019,0.3,Apple,8000,8000,8000,
,26/02/2019,0.2,Apple,7000,8000,7500,
