Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,05/03/2019,1.2,Apple,4400,6950,4750,
,06/03/2019,1.5,Apple,4450,7400,6900,
,07/03/2019,1,Apple,4475,6950,5200,
,08/03/2019,1,Apple,4450,7400,5200,
,11/03/2019,1,Apple,4400,7400,5250,
,12/03/2019,1,Apple,4400,7450,5150,
,13/03/2019,0.4,Apple,4200,7400,4750,
,14/03/2019,0.7,Apple,4500,7500,5150,
,18/03/2019,2,Apple,3450,7450,4200,
,19/03/2019,1,Apple,4400,7450,6500,
,20/03/2019,0.5,Apple,4000,7200,4450,
,21/03/2019,0.5,Apple,3400,6150,4400,
,26/03/2019,0.5,Apple,4400,6800,4400,
,27/03/2019,0.3,Apple,4450,6890,4450,
,28/03/2019,0.4,Apple,4600,6900,5100,
,29/03/2019,0.5,Apple,4400,6900,5500,
Amritsar(Amritsar Mewa Mandi),01/03/2019,15,American,1000,4000,2000,
Balachaur,13/03/2019,0.1,Other,6000,6400,6200,
,14/03/2019,0.25,Other,6000,7000,6500,
,15/03/2019,0.16,Other,6000,6000,6000,
,16/03/2019,0.2,Other,6000,7000,6500,
,20/03/2019,0.15,Other,7000,7000,7000,
,26/03/2019,0.2,Other,6000,7000,6500,
,28/03/2019,0.15,Other,5000,6000,5500,
Bariwala,08/03/2019,0.01,American,3000,3000,3000,
,14/03/2019,0.02,American,3000,3000,3000,
,15/03/2019,0.01,American,3000,3000,3000,
,22/03/2019,0.01,American,3000,3000,3000,
Barnala,01/03/2019,1,Other,4000,5000,4500,
,02/03/2019,1,Other,4000,5000,4500,
,03/03/2019,0.4,Other,4500,7500,6000,
,04/03/2019,0.3,Other,3500,4500,4000,
,05/03/2019,1.1,Other,3000,15000,9000,
,07/03/2019,1.3,Other,6600,15000,10800,
,08/03/2019,0.5,Other,4500,5000,4750,
,09/03/2019,0.6,Other,4500,20000,12250,
,10/03/2019,0.4,Other,3900,6000,4950,
,11/03/2019,0.5,Other,4000,5000,4500,
,13/03/2019,0.6,Other,7500,9000,8250,
,14/03/2019,7.1,Other,6200,13000,9300,
,16/03/2019,0.1,Other,9400,9400,9400,
,17/03/2019,0.5,Other,4500,10000,7250,
,18/03/2019,1,Other,5000,10000,7500,
,19/03/2019,0.6,Other,4800,5000,4900,
,20/03/2019,0.5,Other,4800,13000,8900,
,22/03/2019,1.3,Other,5000,6000,5500,
,24/03/2019,0.7,Other,5500,11000,8250,
,25/03/2019,0.5,Other,5500,15000,10200,
,26/03/2019,0.8,Other,9000,12500,10500,
,27/03/2019,0.6,Other,6000,12500,9750,
,28/03/2019,1,Other,11000,12500,11750,
,29/03/2019,0.9,Other,6500,12500,9500,
,30/03/2019,9.2,Other,10000,12500,11250,
Bassi Pathana,01/03/2019,0.2,Apple,8000,8500,8200,
,02/03/2019,0.2,Apple,7000,8000,7500,
,04/03/2019,0.4,Apple,8000,9000,8500,
,05/03/2019,0.3,Apple,8500,9500,9000,
,06/03/2019,0.3,Apple,8000,8800,8500,
,07/03/2019,0.2,Apple,8800,9500,9000,
,08/03/2019,0.3,Apple,8500,9200,9000,
,09/03/2019,0.3,Apple,7000,8000,7500,
,11/03/2019,0.4,Apple,9000,9500,9400,
,12/03/2019,0.3,Apple,7000,8000,7500,
,13/03/2019,0.3,Apple,8000,9000,8500,
,14/03/2019,0.3,Apple,8000,8800,8500,
,15/03/2019,0.4,Apple,8000,9000,8500,
,16/03/2019,0.6,Apple,8500,9000,8800,
,18/03/2019,0.3,Apple,8000,9000,8500,
,19/03/2019,0.4,Apple,8000,9000,8500,
,20/03/2019,0.4,Apple,8500,9000,8800,
,21/03/2019,0.4,Apple,8000,9000,8500,
,22/03/2019,0.2,Apple,8000,9000,8500,
,23/03/2019,0.2,Apple,8000,8500,8200,
,25/03/2019,0.3,Apple,8000,9000,8500,
,26/03/2019,0.3,Apple,8000,8500,8200,
,27/03/2019,0.3,Apple,8000,9000,8500,
,28/03/2019,0.4,Apple,8000,9000,8500,
,29/03/2019,0.3,Apple,8000,9000,8500,
,30/03/2019,0.2,Apple,8500,8900,8700,
Batala,07/03/2019,0.5,Other,3500,4000,3750,
,11/03/2019,0.8,Other,3200,4200,3500,
,12/03/2019,1,Other,3200,4200,3500,
,13/03/2019,0.5,Other,3500,4000,3700,
,18/03/2019,0.4,Other,4000,6000,5000,
,21/03/2019,0.5,Other,4000,6000,5000,
,26/03/2019,0.8,Other,3200,4200,3800,
,29/03/2019,0.7,Other,3200,4200,3800,
Bathinda,02/03/2019,3.8,Other,5000,7900,7000,
,04/03/2019,3.9,Other,5000,7500,7000,
,05/03/2019,3.9,Other,5000,8000,7000,
,06/03/2019,3.9,Other,5000,8000,7000,
,07/03/2019,3.9,Other,5000,7800,7000,
,08/03/2019,3.8,Other,4900,7900,7000,
,09/03/2019,3.9,Other,5000,7800,6000,
,11/03/2019,3.8,Other,5000,8000,7000,
,12/03/2019,3.9,Other,5000,7900,7000,
,13/03/2019,3.9,Other,5000,7500,6000,
,14/03/2019,3.8,Other,5000,8000,7000,
,15/03/2019,20.1,Other,9000,15000,12000,
,16/03/2019,19.5,Other,9000,15000,12000,
,18/03/2019,20,Other,9000,14500,12000,
,19/03/2019,19.5,Other,9000,14500,12000,
,20/03/2019,19.5,Other,9500,14500,12500,
,21/03/2019,19.7,Other,9000,14500,12000,
,22/03/2019,19.5,Other,9500,15000,12000,
,23/03/2019,19.5,Other,9000,14000,12000,
,25/03/2019,19.5,Other,9500,14500,11500,
,26/03/2019,20.1,Other,9500,14500,10500,
,27/03/2019,20,Other,9000,14000,12000,
,28/03/2019,19.7,Other,9500,14500,11500,
,29/03/2019,20,Other,9500,15000,12000,
,30/03/2019,20.1,Other,9000,14500,12000,
Bhawanigarh,06/03/2019,0.2,Other,4000,4000,4000,
,07/03/2019,0.2,Other,6000,6000,6000,
,08/03/2019,0.2,Other,3500,5000,4200,
,12/03/2019,0.2,Other,5500,5500,5500,
,14/03/2019,0.3,Other,5000,5000,5000,
,15/03/2019,0.2,Other,4000,4000,4000,
Budalada,02/03/2019,0.3,Other,4400,8500,7000,
,03/03/2019,0.3,Other,4300,8500,6800,
,04/03/2019,0.4,Other,4200,8300,6800,
,05/03/2019,0.4,Other,4500,8500,7000,
,06/03/2019,0.3,Other,4300,8500,6800,
,07/03/2019,0.4,Other,4500,8800,7000,
,08/03/2019,0.5,Other,4500,9000,7300,
,09/03/2019,0.3,Other,4800,9000,7200,
,10/03/2019,0.3,Other,5000,9000,7000,
,11/03/2019,0.4,Other,5000,8800,7500,
,12/03/2019,0.4,Other,5200,9000,7500,
,13/03/2019,0.3,Other,5500,9000,8000,
,14/03/2019,0.3,Other,5600,8000,7000,
,15/03/2019,0.4,Other,6000,9000,7800,
,16/03/2019,0.4,Other,6000,8800,7500,
,17/03/2019,0.4,Other,6200,9000,7500,
,18/03/2019,0.3,Other,6000,9000,7500,
,19/03/2019,0.4,Other,6100,9000,7500,
,20/03/2019,0.3,Other,6000,8800,7500,
,21/03/2019,0.4,Other,6200,9000,7800,
,22/03/2019,0.4,Other,6500,9000,8000,
,23/03/2019,0.5,Other,6500,9000,8200,
,24/03/2019,0.3,Other,6400,8800,8000,
,25/03/2019,0.5,Other,6400,9200,8500,
,26/03/2019,0.5,Other,6500,9200,8500,
,27/03/2019,0.4,Other,6300,9000,8200,
,28/03/2019,0.4,Other,6400,9000,8500,
,29/03/2019,0.3,Other,6500,9200,8500,
,30/03/2019,0.3,Other,6300,9000,8500,
Chamkaur Sahib,01/03/2019,1,Apple,4000,4020,4010,
,02/03/2019,1,Apple,4000,4020,4010,
,04/03/2019,2,Apple,4000,4020,4010,
,05/03/2019,2,Apple,4000,4020,4010,
,07/03/2019,1,Apple,4000,4020,4010,
,08/03/2019,1,Apple,4000,4020,4010,
,09/03/2019,1,Apple,4000,4020,4010,
,11/03/2019,2,Apple,4000,4020,4010,
,12/03/2019,1,Apple,4200,4220,4210,
,13/03/2019,2,Apple,4300,4320,4310,
,14/03/2019,1,Apple,4000,4020,4010,
,15/03/2019,1,Apple,4200,4220,4210,
,16/03/2019,1,Apple,4700,4720,4710,
,18/03/2019,1,Apple,5000,5020,5010,
,19/03/2019,2,Apple,4000,4020,4010,
,20/03/2019,1,Apple,4000,4020,4010,
,22/03/2019,1,Apple,4000,4020,4010,
,23/03/2019,1,Apple,4000,4020,4010,
,25/03/2019,4,Apple,4000,4020,4010,
,27/03/2019,1,Apple,4000,4020,4010,
,28/03/2019,2,Apple,4000,4020,4010,
,29/03/2019,3,Apple,4000,4020,4010,
,30/03/2019,2,Apple,4000,4020,4010,
Dasuya,02/03/2019,0.5,Kasmir/Shimla - II,3500,4000,4000,
,,,Kasmir/Shimla - II,5500,6000,6000,
,05/03/2019,1,Kasmir/Shimla - II,2000,2500,2500,
,,,Kasmir/Shimla - II,4500,5000,5000,
,06/03/2019,0.5,Kasmir/Shimla - II,3500,4000,4000,
,,,Kasmir/Shimla - II,5000,5500,5500,
,07/03/2019,1.5,Kasmir/Shimla - II,4500,5000,5000,
,,,Kasmir/Shimla - II,2500,3000,3000,
,08/03/2019,1.5,Kasmir/Shimla - II,2500,3000,3000,
,,,Kasmir/Shimla - II,5500,6000,6000,
,11/03/2019,1.2,Kasmir/Shimla - II,2500,3000,3000,
,,,Kasmir/Shimla - II,4500,5000,5000,
,13/03/2019,1.5,Kasmir/Shimla - II,2500,3000,3000,
,,,Kasmir/Shimla - II,4500,5000,5000,
,16/03/2019,2,Kasmir/Shimla - II,2000,2500,2500,
,,,Kasmir/Shimla - II,1200,1500,1500,
,,,Kasmir/Shimla - II,5000,6000,6000,
,17/03/2019,1.5,Kasmir/Shimla - II,2500,3000,3000,
,,,Kasmir/Shimla - II,3500,4500,4500,
,22/03/2019,0.2,Kasmir/Shimla - II,2500,3000,3000,
,23/03/2019,1,Kasmir/Shimla - II,4500,5000,5000,
,,,Kasmir/Shimla - II,2500,3000,3000,
,,,Kasmir/Shimla - II,1500,2000,2000,
,24/03/2019,1.5,Kasmir/Shimla - II,5000,6000,6000,
,,,Kasmir/Shimla - II,3500,4000,4000,
,25/03/2019,1.5,Kasmir/Shimla - II,3500,4000,4000,
,,,Kasmir/Shimla - II,6000,6500,6500,
,28/03/2019,0.5,Kasmir/Shimla - II,2500,3000,3000,
,,,Kasmir/Shimla - II,5500,6000,6000,
,29/03/2019,1,Kasmir/Shimla - II,6000,6500,6500,
,,,Kasmir/Shimla - II,3000,3500,3500,
Dhuri,10/03/2019,0.2,Other,4000,6000,5000,
Dinanagar,01/03/2019,0.4,Apple,4500,5000,4800,
,02/03/2019,0.5,Apple,4200,5000,4500,
,03/03/2019,0.6,Apple,4500,5000,4800,
,04/03/2019,0.6,Apple,4500,5200,4800,
,05/03/2019,0.4,Apple,4700,5200,5000,
,06/03/2019,0.4,Apple,4800,5200,5000,
,07/03/2019,0.4,Apple,5000,5500,5200,
,08/03/2019,0.4,Apple,5500,6200,6000,
,09/03/2019,0.4,Apple,5000,5400,5200,
,10/03/2019,0.5,Apple,5000,5500,5200,
,11/03/2019,0.4,Apple,5000,5500,5200,
,12/03/2019,0.4,Apple,5000,5500,5200,
,13/03/2019,0.5,Apple,5200,6000,5500,
,14/03/2019,0.3,Apple,5000,6000,5400,
,15/03/2019,0.3,Apple,5000,5400,5200,
,16/03/2019,0.3,Apple,5400,6000,5600,
,17/03/2019,0.3,Apple,5000,5800,5200,
,18/03/2019,0.3,Apple,5000,6000,5500,
,19/03/2019,0.3,Apple,5200,5800,5500,
