Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Gaddiannaram,01/04/2020,18.5, ,NR,NR,NR,
,02/04/2020,14.7, ,NR,NR,NR,
,03/04/2020,77.9, ,NR,NR,NR,
,04/04/2020,41.9, ,NR,NR,NR,
,05/04/2020,10, ,NR,NR,NR,
,06/04/2020,87.1, ,NR,NR,NR,
,07/04/2020,44, ,NR,NR,NR,
,08/04/2020,31.1, ,NR,NR,NR,
,09/04/2020,63.6, ,NR,NR,NR,
,10/04/2020,38.3, ,NR,NR,NR,
,11/04/2020,20, ,NR,NR,NR,
,13/04/2020,49, ,NR,NR,NR,
,14/04/2020,29.6, ,NR,NR,NR,
,15/04/2020,68.4, ,NR,NR,NR,
,16/04/2020,40.4, ,NR,NR,NR,
,17/04/2020,51.9, ,NR,NR,NR,
,18/04/2020,62, ,NR,NR,NR,
,19/04/2020,26.2, ,NR,NR,NR,
,20/04/2020,62, ,NR,NR,NR,
,21/04/2020,31.9, ,NR,NR,NR,
,22/04/2020,31.9, ,NR,NR,NR,
