Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/07/2019,1.2,Delicious,6000,6200,6100,
,03/07/2019,1.2,Delicious,6000,6002,6001,
,04/07/2019,1.4,Delicious,6000,6300,6200,
,05/07/2019,1.2,Delicious,6000,6101,6100,
,06/07/2019,1.2,Delicious,5500,5700,5600,
,08/07/2019,1,Delicious,6100,6300,6200,
,09/07/2019,1.2,Delicious,6000,6200,6100,
,10/07/2019,1.2,Delicious,5500,5800,5700,
,11/07/2019,1.2,Delicious,6500,6700,6600,
,12/07/2019,1.3,Delicious,5600,5800,5700,
,13/07/2019,1.3,Delicious,6000,6200,6100,
,15/07/2019,1.4,Delicious,5600,5800,5700,
,16/07/2019,1.3,Delicious,5600,5700,5603,
,17/07/2019,1.2,Delicious,5600,5700,5670,
,18/07/2019,2,Delicious,6000,6200,6100,
,20/07/2019,2,Delicious,5600,5611,5610,
,21/07/2019,1.5,Delicious,5600,5680,5670,
,22/07/2019,1.6,Delicious,5400,5620,5600,
,23/07/2019,1.2,Delicious,5000,5300,5200,
,24/07/2019,1.5,Delicious,5500,5700,5600,
,25/07/2019,2,Delicious,5000,5200,5100,
,26/07/2019,1.4,Delicious,5000,5550,5500,
,27/07/2019,2.3,Delicious,5600,5621,5610,
,28/07/2019,1.2,Delicious,5000,5200,5100,
,29/07/2019,2,Delicious,5600,5800,5700,
,30/07/2019,1.7,Delicious,5000,5200,5100,
,31/07/2019,1.4,Delicious,4500,4700,4600,
Agra,02/07/2019,5,Delicious,7500,7800,7650,
,03/07/2019,4,Delicious,7700,8000,7850,
,04/07/2019,3.5,Delicious,7700,8050,7880,
,05/07/2019,4,Delicious,7750,8000,7850,
,06/07/2019,4.5,Delicious,7750,8000,7840,
,08/07/2019,3.5,Delicious,7600,8000,7850,
,09/07/2019,5,Delicious,7650,8000,7800,
,10/07/2019,5.5,Delicious,7700,8000,7880,
