Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dehradoon,01/05/2018,7.4,Apple,3000,6000,3900,
,02/05/2018,1.6,Apple,3000,6000,3400,
,03/05/2018,3.3,Apple,3000,6000,4000,
,04/05/2018,15.4,Apple,3200,6200,4200,
,05/05/2018,2.2,Apple,2800,4800,3800,
,07/05/2018,15.9,Apple,3200,5800,3800,
,08/05/2018,2.3,Apple,3000,5800,3500,
,09/05/2018,4.2,Apple,3000,5500,3500,
,10/05/2018,10.5,Apple,3200,5500,3800,
,11/05/2018,13.7,Apple,3000,5800,4000,
,14/05/2018,41.2,Apple,3200,5500,3800,
,15/05/2018,4.2,Apple,3200,5800,3900,
,16/05/2018,8.5,Apple,3000,5500,3800,
,17/05/2018,2.5,Apple,3000,5500,4000,
,18/05/2018,5.3,Apple,3200,6000,4000,
,19/05/2018,3.2,Apple,3200,6000,4000,
,21/05/2018,6.9,Apple,2500,3050,2800,
,22/05/2018,3.6,Apple,3200,6000,4000,
,23/05/2018,4.9,Apple,3200,6000,4000,
,24/05/2018,1.8,Apple,3800,6000,4200,
,25/05/2018,2.5,Apple,4500,6000,5000,
,26/05/2018,6.4,Apple,5000,6200,5500,
,28/05/2018,3,Apple,4000,6200,4800,
,29/05/2018,0.5,Apple,4500,6500,5000,
,31/05/2018,1.4,Apple,4500,7000,5000,
Haldwani,02/05/2018,4,Other,5000,5300,5200,
,03/05/2018,2.9,Other,5000,5400,5200,
,04/05/2018,1.6,Other,5000,5400,5200,
,06/05/2018,16.1,Other,5000,5400,5200,
,07/05/2018,7,Other,5000,5400,5200,
,08/05/2018,3.5,Other,5000,5400,5200,
,09/05/2018,2.4,Other,5000,5400,5200,
,10/05/2018,3.6,Other,5000,5400,5200,
,14/05/2018,1.6,Other,5000,5400,5200,
,15/05/2018,3.1,Other,5000,5400,5200,
,16/05/2018,1.6,Other,5000,5400,5200,
,17/05/2018,2.3,Other,2600,2800,2700,
,18/05/2018,0.6,Other,5000,5400,5200,
,21/05/2018,2.5,Other,5000,5400,5200,
Haridwar Union,01/05/2018,1.2,Other,3000,5000,4000,
,03/05/2018,1.6,Other,2500,5000,4000,
,04/05/2018,1,Other,2500,5000,4000,
,05/05/2018,1.3,Other,2500,5000,4000,
,06/05/2018,0.7,Other,2500,5500,4000,
,07/05/2018,1.1,Other,3000,5500,4200,
,08/05/2018,0.9,Other,3000,5500,4200,
,09/05/2018,0.9,Other,3000,5500,4000,
,10/05/2018,1.1,Other,2500,5000,4000,
