Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dehradoon,01/10/2019,120.4,Apple,2800,4550,3500,
,03/10/2019,265.3,Apple,3000,4550,3800,
,05/10/2019,162.1,Apple,3500,4550,3850,
,08/10/2019,218.5,Apple,2550,4560,3860,
,09/10/2019,149.9,Apple,2800,4550,3950,
,10/10/2019,209.8,Apple,2600,4500,3800,
,11/10/2019,157.1,Apple,2800,4550,3500,
,12/10/2019,220.2,Apple,2900,4800,3600,
,14/10/2019,197.5,Apple,3500,4550,3800,
,15/10/2019,102, ,NR,NR,NR,
,16/10/2019,121.9,Apple,2800,4550,3950,
,17/10/2019,85.9,Apple,2800,4550,3500,
,18/10/2019,119.5,Apple,2200,4550,3500,
,19/10/2019,166.1,Apple,2400,4500,3500,
,21/10/2019,176.1,Apple,2600,4550,3500,
,22/10/2019,108.2,Apple,2200,4550,3450,
,24/10/2019,98.8,Apple,2800,4500,3800,
,26/10/2019,120.8,Apple,2500,5000,3400,
,28/10/2019,369.9,Apple,2800,4500,3850,
,29/10/2019,87.5,Apple,2800,4500,3830,
,30/10/2019,126.8,Apple,2500,4550,3500,
,31/10/2019,61.6,Apple,2800,4600,3500,
Haldwani,03/10/2019,31,Other,3000,4000,3600,
,10/10/2019,18.5,Other,3500,3800,3700,
,11/10/2019,10.2,Other,3500,4000,3800,
,13/10/2019,21.3,Other,3500,4000,3750,
,15/10/2019,56.4,Other,3500,4000,3700,
,16/10/2019,17.5,Other,3500,4000,3800,
,20/10/2019,42.2,Other,3500,4000,3700,
,21/10/2019,13.2,Other,3500,4000,3700,
,22/10/2019,36.5,Other,3500,4000,3800,
,23/10/2019,21.4,Other,3500,4000,3700,
,24/10/2019,26.1,Other,3500,4000,3800,
,25/10/2019,37.8,Other,3500,3990,3700,
Haridwar Union,01/10/2019,5,Other,1350,3000,1700,
,02/10/2019,7,Other,1350,3000,1600,
,03/10/2019,5.5,Other,1350,3000,1650,
,04/10/2019,6,Other,1350,3000,1650,
,05/10/2019,7.5,Other,1350,3000,1600,
,06/10/2019,5.2,Other,1350,3000,1650,
,07/10/2019,5,Other,1300,3000,1600,
,08/10/2019,7,Other,1350,3000,1750,
,09/10/2019,6.5,Other,1350,3000,1740,
,10/10/2019,8,Other,1350,3000,1650,
,11/10/2019,7.5,Other,1350,3000,1600,
,12/10/2019,6,Other,1350,3000,1500,
,13/10/2019,6.5,Other,1300,3000,1400,
,14/10/2019,6,Other,1300,3000,1600,
,16/10/2019,6.2,Other,1300,3000,1600,
,17/10/2019,7,Other,1250,3000,1650,
,18/10/2019,6,Other,1200,3000,1675,
,19/10/2019,5.5,Other,1200,3000,1650,
,20/10/2019,6,Other,1200,3000,1650,
,21/10/2019,7,Other,1200,3000,1650,
,22/10/2019,7.5,Other,1200,3000,1600,
,23/10/2019,8,Other,1100,3000,1700,
,24/10/2019,7,Other,1100,3000,1700,
,25/10/2019,7.5,Other,1100,3000,1850,
,26/10/2019,7,Other,1100,3000,1850,
,27/10/2019,6,Other,1100,3000,1750,
,28/10/2019,6,Other,1100,3000,1700,
,29/10/2019,8,Other,1100,3000,1650,
,30/10/2019,8,Other,1100,3000,1650,
Kashipur,26/10/2019,0.8,Other,5300,5500,5400,
,27/10/2019,1,Other,4400,4600,4500,
,30/10/2019,1.2,Other,4400,4600,4500,
Khateema,01/10/2019,3,Other,2900,3100,3000,
,02/10/2019,8.2,Other,2795,3595,3195,
,03/10/2019,1,Other,2700,3500,3100,
,04/10/2019,4,Other,2700,3500,3100,
,05/10/2019,5.7,Other,2612,4012,3312,
,07/10/2019,10,Other,1965,3565,2765,
,12/10/2019,6.5,Other,2653,3253,2953,
,17/10/2019,5,Other,2860,3460,3160,
,20/10/2019,5,Other,2900,3100,3000,
,24/10/2019,4,Other,2900,3100,3000,
,26/10/2019,16,Other,2712,3112,2912,
,29/10/2019,13,Other,2830,3230,3030,
Kicchha,04/10/2019,4,Other,4000,5000,4500,
,06/10/2019,3,Other,3800,5500,4000,
,07/10/2019,2.5,Other,3800,5000,4500,
,10/10/2019,11,Other,3800,5000,4600,
,11/10/2019,4,Other,3800,5400,5200,
,12/10/2019,8,Other,4000,5500,4200,
,13/10/2019,8,Other,4000,6000,5000,
,15/10/2019,1,Other,4000,5500,5200,
,16/10/2019,5,Other,4500,6000,5000,
,17/10/2019,7,Other,4000,5600,5000,
,18/10/2019,3,Other,4000,6000,5000,
,19/10/2019,12,Other,4000,5000,4500,
,20/10/2019,5,Other,3500,5500,5000,
,21/10/2019,4,Other,4000,6000,5000,
,22/10/2019,1,Other,4000,5000,4500,
,23/10/2019,9,Other,4000,6000,5000,
,24/10/2019,12,Other,4000,6000,5000,
,25/10/2019,2.5, ,NR,NR,NR,
,26/10/2019,4,Other,4000,5000,4500,
,27/10/2019,5.5,Other,4500,6000,5000,
,28/10/2019,8.5,Other,4500,6500,5200,
,29/10/2019,9,Other,4500,6000,5000,
,30/10/2019,2,Other,4500,6500,5000,
,31/10/2019,8,Other,4500,6000,5000,
Kotadwara,02/10/2019,3,Apple,1400,2400,2000,
,03/10/2019,4,Apple,1200,2400,1600,
,04/10/2019,9,Apple,1400,2500,2000,
,05/10/2019,4,Apple,1200,2400,1600,
