Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Banaganapalli,01/02/2020,1,Desi (Whole),3900,4000,3950,
,02/02/2020,1,Desi (Whole),3900,4000,3950,
,03/02/2020,1,Desi (Whole),3900,4000,3950,
,04/02/2020,1,Desi (Whole),3800,4000,3900,
,05/02/2020,1,Desi (Whole),3800,3900,3850,
,06/02/2020,1,Desi (Whole),3800,3900,3850,
,07/02/2020,1,Desi (Whole),3800,4000,3900,
,08/02/2020,1,Desi (Whole),3800,4000,3900,
,09/02/2020,1,Desi (Whole),3800,3900,3850,
,10/02/2020,1,Desi (Whole),3800,3950,3850,
,11/02/2020,1,Desi (Whole),3800,3900,3850,
,12/02/2020,1,Desi (Whole),3800,3900,3850,
,13/02/2020,1,Desi (Whole),3800,3900,3850,
,14/02/2020,1,Desi (Whole),3800,3900,3850,
,15/02/2020,1,Desi (Whole),3800,3900,3850,
,16/02/2020,1,Desi (Whole),3750,3850,3800,
,17/02/2020,1,Desi (Whole),3750,3850,3800,
,18/02/2020,1,Desi (Whole),3700,3900,3800,
,19/02/2020,1,Desi (Whole),3700,3900,3800,
,20/02/2020,1,Desi (Whole),3750,3900,3800,
,21/02/2020,1,Desi (Whole),3700,3900,3800,
,22/02/2020,1,Desi (Whole),3750,3850,3800,
,23/02/2020,1,Desi (Whole),3900,4050,4000,
,24/02/2020,1,Desi (Whole),3900,4050,4000,
,25/02/2020,1,Desi (Whole),3800,4000,3900,
,26/02/2020,1,Desi (Whole),3800,4000,3900,
,27/02/2020,1,Desi (Whole),3800,4000,3900,
,28/02/2020,1,Desi (Whole),3900,4000,3950,
,29/02/2020,1,Desi (Whole),3900,4000,3950,
Kurnool,01/02/2020,6.7,Desi (Whole),1800,4620,3120,
,03/02/2020,9.9,Desi (Whole),1500,4620,2869,
,04/02/2020,6.9,Desi (Whole),2700,4620,3630,
,05/02/2020,5.6,Desi (Whole),3677,4620,3802,
,06/02/2020,9.1,Desi (Whole),3000,4620,3770,
,07/02/2020,11.7,Desi (Whole),2900,4620,3490,
,08/02/2020,7.5,Desi (Whole),3288,4620,3618,
,10/02/2020,4.1,Desi (Whole),3618,4620,3796,
,11/02/2020,11.2, ,NR,NR,NR,
,12/02/2020,6,Desi (Whole),3210,4620,3628,
,14/02/2020,10.6,Desi (Whole),3050,4620,3628,
,15/02/2020,2.9,Desi (Whole),3108,4620,3708,
,17/02/2020,5.3,Desi (Whole),3408,4620,3718,
,18/02/2020,5.6,Desi (Whole),3150,4620,3511,
,19/02/2020,6.8,Desi (Whole),2610,4620,3569,
,24/02/2020,8.5,Desi (Whole),3050,4620,3400,
,25/02/2020,19.8,Desi (Whole),2868,4620,3670,
,26/02/2020,8.9,Desi (Whole),2010,4620,3310,
,27/02/2020,13,Desi (Whole),2609,4620,3529,
,28/02/2020,20.8,Desi (Whole),2550,4620,3410,
,29/02/2020,8.3,Desi (Whole),3310,4620,3560,
Nandyal,01/02/2020,1, ,NR,NR,NR,
,02/02/2020,1, ,NR,NR,NR,
,03/02/2020,1, ,NR,NR,NR,
,04/02/2020,1, ,NR,NR,NR,
,05/02/2020,1, ,NR,NR,NR,
,07/02/2020,1,Desi (Whole),4750,4900,4850,
,08/02/2020,1,Desi (Whole),4700,4850,4750,
,09/02/2020,1,Desi (Whole),4750,4950,4850,
,10/02/2020,1,Desi (Whole),4750,4950,4850,
,11/02/2020,1,Desi (Whole),4750,4950,4850,
,12/02/2020,1,Desi (Whole),4750,4950,4850,
,13/02/2020,1,Desi (Whole),4750,4950,4850,
,14/02/2020,1,Desi (Whole),4750,4950,4850,
,15/02/2020,1,Desi (Whole),4750,4950,4850,
,16/02/2020,1,Desi (Whole),4700,4900,4850,
,17/02/2020,1,Desi (Whole),4650,4800,4730,
,18/02/2020,1,Desi (Whole),4750,4950,4850,
,19/02/2020,1,Desi (Whole),4750,4920,4850,
,20/02/2020,1,Desi (Whole),4750,4950,4850,
,23/02/2020,1,Desi (Whole),4670,4800,4700,
,24/02/2020,1,Desi (Whole),4750,4900,4850,
,25/02/2020,1,Desi (Whole),4750,4900,4850,
,26/02/2020,1,Desi (Whole),4730,4850,4750,
,27/02/2020,1,Desi (Whole),4680,4850,4700,
,28/02/2020,1,Desi (Whole),4680,4800,4720,
,29/02/2020,1,Desi (Whole),4850,4950,4950,
Pattikonda,01/02/2020,1, ,NR,NR,NR,
,02/02/2020,1, ,NR,NR,NR,
,03/02/2020,1, ,NR,NR,NR,
,04/02/2020,1, ,NR,NR,NR,
,07/02/2020,1, ,NR,NR,NR,
,08/02/2020,1, ,NR,NR,NR,
,09/02/2020,1, ,NR,NR,NR,
,10/02/2020,1, ,NR,NR,NR,
,11/02/2020,1, ,NR,NR,NR,
,12/02/2020,1, ,NR,NR,NR,
,13/02/2020,1, ,NR,NR,NR,
,14/02/2020,1, ,NR,NR,NR,
,15/02/2020,1, ,NR,NR,NR,
,16/02/2020,1, ,NR,NR,NR,
,17/02/2020,1, ,NR,NR,NR,
,18/02/2020,1, ,NR,NR,NR,
,19/02/2020,1, ,NR,NR,NR,
,20/02/2020,1, ,NR,NR,NR,
,21/02/2020,1, ,NR,NR,NR,
,22/02/2020,1, ,NR,NR,NR,
,23/02/2020,1, ,NR,NR,NR,
,24/02/2020,1, ,NR,NR,NR,
,25/02/2020,1, ,NR,NR,NR,
,26/02/2020,1, ,NR,NR,NR,
,27/02/2020,1, ,NR,NR,NR,
,28/02/2020,1, ,NR,NR,NR,
,29/02/2020,1, ,NR,NR,NR,
