Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bastar,19/12/2019,71.3, ,NR,NR,NR,
Bazar Atriya,31/12/2019,4,Other,3500,3500,3500,
Bemetara,03/12/2019,0.2,Desi (Whole),3820,3875,3820,
,04/12/2019,1.1,Desi (Whole),4000,4000,4000,
,05/12/2019,0.3,Desi (Whole),3750,3750,3750,
,06/12/2019,0.2,Desi (Whole),3915,3915,3915,
,07/12/2019,0.1,Desi (Whole),3050,3050,3050,
,09/12/2019,1.4,Desi (Whole),3430,4050,4000,
,10/12/2019,0.5,Desi (Whole),3550,3845,3845,
,11/12/2019,3.5,Desi (Whole),3900,3955,3900,
,13/12/2019,1.7,Desi (Whole),3555,3965,3900,
,14/12/2019,1.9,Desi (Whole),3665,3975,3900,
,16/12/2019,5.2,Desi (Whole),3800,4000,4000,
,17/12/2019,0.4,Desi (Whole),3605,3950,3950,
,19/12/2019,10.2,Desi (Whole),3695,4200,4000,
,20/12/2019,4.4,Desi (Whole),3600,4050,4000,
,23/12/2019,7.7,Desi (Whole),4000,4200,4200,
,24/12/2019,10,Desi (Whole),4000,4000,4000,
,26/12/2019,2.1,Desi (Whole),4250,4250,4250,
,27/12/2019,12.6,Desi (Whole),4000,4300,4300,
Bhatapara,02/12/2019,16.8,Desi (Whole),3700,4150,4150,
,03/12/2019,14.4,Desi (Whole),3800,4172,4110,
,04/12/2019,26,Desi (Whole),3500,4317,4100,
,05/12/2019,42.9,Desi (Whole),3852,4236,4135,
,07/12/2019,29.8,Desi (Whole),3751,4226,4225,
,09/12/2019,24.3,Desi (Whole),3901,4252,4171,
,12/12/2019,30.9,Desi (Whole),3360,4211,4135,
,13/12/2019,53.2,Desi (Whole),3801,4169,4095,
,14/12/2019,20.5,Desi (Whole),3925,4152,4113,
,16/12/2019,39.3,Desi (Whole),3650,4500,4160,
,17/12/2019,62.5,Desi (Whole),3300,4160,4113,
,19/12/2019,71.2,Desi (Whole),3751,4178,4001,
,20/12/2019,38.2,Desi (Whole),3700,4200,4115,
,23/12/2019,76.3,Desi (Whole),3726,4401,4292,
,26/12/2019,71.6,Desi (Whole),4025,4381,4375,
,27/12/2019,48.2,Desi (Whole),4025,4381,4375,
,28/12/2019,54.9,Desi (Whole),3910,4335,4250,
,30/12/2019,46.2,Desi (Whole),3850,4246,4200,
,31/12/2019,28.6,Desi (Whole),3960,4275,4214,
Devbhog,31/12/2019,30,Desi (Whole),3200,3200,3200,
Devda,14/12/2019,71.8,Desi (Whole),3800,3900,3850,
Dongargaon,31/12/2019,6,Desi (Whole),4000,4000,4000,
Jagdalpur,14/12/2019,71.8, ,NR,NR,NR,
,17/12/2019,73.1, ,NR,NR,NR,
,20/12/2019,69.8, ,NR,NR,NR,
,24/12/2019,68.7, ,NR,NR,NR,
Karpawand,12/12/2019,142.5,Desi (Whole),3800,3900,3850,
,26/12/2019,77.6,Desi (Whole),3800,3900,3850,
Kawardha,01/12/2019,66,Kanta,3861,4112,3961,
,02/12/2019,85,Kanta,3930,4132,4020,
,03/12/2019,43,Kanta,3830,4120,3969,
,04/12/2019,68,Kanta,3900,4148,4015,
,05/12/2019,169,Kanta,3819,4157,3957,
,07/12/2019,139,Kanta,3950,4141,4051,
,08/12/2019,175,Kanta,3800,4160,3990,
,09/12/2019,118,Kanta,3897,4110,4044,
,10/12/2019,368,Kanta,3889,4119,3921,
,11/12/2019,42,Kanta,3899,4096,3927,
,12/12/2019,94,Kanta,3801,4107,3931,
,14/12/2019,183,Kanta,3866,4138,4024,
,15/12/2019,91,Kanta,3805,4100,3973,
,16/12/2019,123,Kanta,3839,3981,3902,
