Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amreli,04/09/2019,1, ,NR,NR,NR,
,05/09/2019,0.8,Other,4035,4055,4050,
,06/09/2019,5.4,Other,3305,4665,4020,
,07/09/2019,6,Other,3025,4650,4275,
,09/09/2019,2.3,Other,3000,4685,4055,
,11/09/2019,9,Other,3000,4380,4000,
,12/09/2019,4.8,Other,3055,4505,4090,
,13/09/2019,5,Other,2875,4540,4035,
,14/09/2019,0.7,Other,3000,3505,3450,
,16/09/2019,0.9,Other,3750,4320,4105,
,17/09/2019,10.4,Other,2525,4330,4090,
,18/09/2019,2.4,Other,3300,4055,3995,
,19/09/2019,1.8,Other,3000,4755,4105,
,20/09/2019,4.5,Other,3850,4605,4110,
,21/09/2019,2.5,Other,3360,4675,4200,
,23/09/2019,0.3,Other,4015,4610,4080,
,24/09/2019,5.3,Other,3000,4775,4100,
,25/09/2019,2.6,Other,3000,4195,4035,
,26/09/2019,3.3,Other,3125,4255,3615,
,27/09/2019,7.5,Other,2750,4095,3950,
,28/09/2019,0.9,Other,4000,4300,4300,
,30/09/2019,1.8,Other,2500,4840,4050,
Bhavnagar,04/09/2019,0.2,Other,4080,4080,4080,
,09/09/2019,0.6,Other,3600,3870,3870,
,14/09/2019,0.2,Other,2700,2700,2700,
,21/09/2019,0.1,Other,4310,4310,4310,
,24/09/2019,0.5,Other,3700,3700,3700,
,25/09/2019,0.2,Other,3400,3400,3400,
,30/09/2019,0.6,Other,3890,4325,4000,
Bhesan,05/09/2019,2,Other,3000,3830,3415,
,11/09/2019,2,Other,3250,3630,3440,
,17/09/2019,3,Other,3250,3770,3510,
,24/09/2019,1,Other,3250,3600,3425,
Bhiloda,05/09/2019,5,Desi (Whole),3500,3750,3625,
Botad,05/09/2019,0.3,Other,2980,2980,2980,
,07/09/2019,0.4,Other,3605,3805,3705,
,09/09/2019,0.1,Other,3500,3500,3500,
,12/09/2019,0.2,Other,3005,3250,3130,
,13/09/2019,0.1,Other,1855,3105,2480,
,14/09/2019,0.4,Other,2830,2850,2840,
,16/09/2019,0.5,Other,3380,3880,3630,
,17/09/2019,0.4,Other,4580,4790,4685,
,18/09/2019,1.6,Other,3500,4780,4140,
,19/09/2019,0.4,Other,3330,3950,3640,
,20/09/2019,0.6,Other,3250,4480,3865,
,22/09/2019,1.5,Other,3480,4230,3855,
,23/09/2019,1,Other,3980,4250,4115,
,24/09/2019,0.1,Other,3750,4280,4015,
,27/09/2019,0.2,Other,4180,4345,4265,
Dahod,04/09/2019,0.4,Desi (Whole),4125,4180,4150,
,,,Other,4075,4125,4100,
,05/09/2019,43.4,Desi (Whole),4100,4125,4115,
,,,Other,4000,4075,4050,
,06/09/2019,13.9,Desi (Whole),4125,4150,4130,
,,,Other,4100,4165,4150,
,07/09/2019,23.9,Desi (Whole),4100,4125,4115,
,,,Other,4125,4150,4135,
,11/09/2019,38,Desi (Whole),4200,4225,4200,
,,,Other,4175,4200,4180,
,12/09/2019,48.1,Desi (Whole),4200,4250,4225,
,,,Other,4150,4200,4175,
,13/09/2019,15.9,Desi (Whole),4050,4100,4070,
,,,Other,4150,4200,4175,
,14/09/2019,23.2,Desi (Whole),4200,4225,4215,
,,,Other,4175,4200,4185,
,16/09/2019,21.3,Desi (Whole),4225,4250,4235,
,,,Other,4200,4250,4240,
,17/09/2019,36.4,Desi (Whole),4200,4225,4215,
,,,Other,4175,4200,4185,
,18/09/2019,61,Desi (Whole),4200,4200,4200,
,,,Other,4100,4150,4125,
,19/09/2019,23.9,Desi (Whole),4200,4225,4210,
,,,Other,4150,4175,4160,
,20/09/2019,124.6,Desi (Whole),4200,4225,4215,
,,,Other,4150,4175,4165,
,21/09/2019,45.9,Desi (Whole),4200,4200,4200,
,,,Other,4150,4175,4165,
,23/09/2019,101.3,Desi (Whole),4200,4225,4215,
,,,Other,4100,4150,4125,
,24/09/2019,113.3,Desi (Whole),4200,4225,4215,
,,,Other,4050,4100,4075,
,25/09/2019,26.5,Desi (Whole),4200,4225,4215,
