Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Narayanpet,25/01/2020,0.3, ,NR,NR,NR,
Sadasivpet,06/01/2020,0.2, ,NR,NR,NR,
,21/01/2020,0.1, ,NR,NR,NR,
,23/01/2020,1.5, ,NR,NR,NR,
,25/01/2020,1, ,NR,NR,NR,
,27/01/2020,1.5, ,NR,NR,NR,
,28/01/2020,0.7, ,NR,NR,NR,
,29/01/2020,4.4, ,NR,NR,NR,
,31/01/2020,0.5, ,NR,NR,NR,
Vikarabad,27/01/2020,4.3, ,NR,NR,NR,
Warangal,03/01/2020,0.1, ,NR,NR,NR,
,09/01/2020,0.1, ,NR,NR,NR,
,22/01/2020,2.4, ,NR,NR,NR,
Zaheerabad,02/01/2020,15,Desi (Whole),4211,4260,4211,
,07/01/2020,9,Desi (Whole),4206,4206,4206,
,10/01/2020,66,Desi (Whole),4125,4215,4200,
,11/01/2020,9,Desi (Whole),4180,4211,4211,
,13/01/2020,49.5,Desi (Whole),4151,4201,4183,
,17/01/2020,74.5,Desi (Whole),4085,4111,4109,
,18/01/2020,81,Desi (Whole),3800,4076,3956,
,20/01/2020,146.5,Desi (Whole),3722,4001,3826,
,22/01/2020,134.5,Desi (Whole),3500,3863,3811,
,23/01/2020,228.5,Desi (Whole),3400,3891,3700,
,25/01/2020,170,Desi (Whole),3500,3808,3721,
,28/01/2020,124,Desi (Whole),3502,3756,3756,
,29/01/2020,72.5,Desi (Whole),3400,3866,3755,
,30/01/2020,71.5,Desi (Whole),3501,3768,3765,
,31/01/2020,212,Desi (Whole),3425,3850,3809,
