Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Palamaner,01/12/2019,1.81,Cauliflower,500,1200,750,
,02/12/2019,1.91,Cauliflower,700,1300,1000,
,03/12/2019,2.5,Cauliflower,500,1500,1000,
,04/12/2019,6.11,Cauliflower,500,1500,1000,
,05/12/2019,3,Cauliflower,500,1500,1000,
,06/12/2019,1.58,Cauliflower,500,1000,750,
,07/12/2019,5.03,Cauliflower,500,1500,1000,
,08/12/2019,2.62,Cauliflower,500,1500,1000,
,09/12/2019,1.31,Cauliflower,500,1500,1000,
,10/12/2019,2.09,Cauliflower,600,1100,900,
,11/12/2019,2.09,Cauliflower,600,1100,900,
,12/12/2019,2.09,Cauliflower,700,1400,1100,
,13/12/2019,2.09,Cauliflower,600,1300,1000,
,14/12/2019,2.09,Cauliflower,600,1200,900,
,16/12/2019,2.09,Cauliflower,600,1200,900,
,17/12/2019,2.09,Cauliflower,600,1200,900,
,18/12/2019,2.09,Cauliflower,600,1200,900,
,19/12/2019,2.09,Cauliflower,700,1100,900,
,20/12/2019,2.09,Cauliflower,700,1300,1000,
,21/12/2019,2.09,Cauliflower,700,1300,1000,
,22/12/2019,2.08,Cauliflower,700,1300,1000,
,23/12/2019,2.09,Cauliflower,600,1400,1000,
,24/12/2019,2.09,Cauliflower,800,1600,1200,
,26/12/2019,1.9,Cauliflower,500,1500,1000,
,27/12/2019,5.89,Cauliflower,500,1500,1000,
,28/12/2019,2.72,Cauliflower,500,1500,1000,
,29/12/2019,1.96,Cauliflower,700,1300,1000,
,30/12/2019,1.2,Cauliflower,800,1400,1100,
,31/12/2019,0.95,Cauliflower,900,1500,1200,
