Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmedabad,01/01/2018,298.5,Other,1000,1500,1350,
,02/01/2018,181.9,Other,1000,1600,1400,
,03/01/2018,186.1,Other,1200,2000,1650,
,04/01/2018,204.2,Other,1000,1600,1400,
,05/01/2018,213.8,Other,1000,1600,1350,
,06/01/2018,211.3,Other,1200,1600,1400,
,08/01/2018,429.2,Other,900,1300,1150,
,09/01/2018,246,Other,1000,1500,1300,
,10/01/2018,213.5,Other,900,1500,1250,
,11/01/2018,270.3,Other,900,1300,1150,
,12/01/2018,267.2,Other,600,1200,900,
,13/01/2018,288.8,Other,400,800,650,
,15/01/2018,273.7,Other,300,700,550,
,16/01/2018,280.5,Other,400,800,625,
,17/01/2018,306.3,Other,400,800,650,
,18/01/2018,290.9,Other,300,600,475,
,19/01/2018,204.1,Other,300,600,475,
,20/01/2018,220,Other,400,600,550,
,22/01/2018,375.8,Other,300,700,525,
,23/01/2018,277.1,Other,300,600,475,
,24/01/2018,229.2,Other,300,600,500,
,27/01/2018,475,Other,300,700,550,
,29/01/2018,383.1,Other,400,700,575,
,30/01/2018,216.5,Other,300,700,525,
,31/01/2018,185,Other,400,1000,750,
Anand(Veg,Yard,Anand),01/01/2018,0.12,Other,1000,1250,1150,
,02/01/2018,0.19,Other,750,1000,900,
,03/01/2018,0.08,Other,750,1000,900,
,04/01/2018,0.06,Other,750,1000,900,
,05/01/2018,0.09,Other,1000,1250,1150,
,06/01/2018,0.15,Other,1250,1500,1400,
,08/01/2018,0.13,Other,1500,1750,1600,
,09/01/2018,0.1,Other,1500,2000,1750,
,10/01/2018,0.15,Other,1000,1250,1150,
,11/01/2018,0.1,Other,1250,1500,1400,
,12/01/2018,0.11,Other,1000,1200,1100,
,13/01/2018,0.11,Other,750,1000,900,
,16/01/2018,0.12,Other,750,1000,900,
,17/01/2018,0.16,Other,500,600,550,
,18/01/2018,0.16,Other,500,600,550,
,19/01/2018,0.09,Other,500,750,600,
,20/01/2018,0.12,Other,500,750,600,
,22/01/2018,0.15,Other,750,1000,900,
,23/01/2018,0.13, ,NR,NR,NR,
,24/01/2018,0.17,Other,500,750,600,
,25/01/2018,0.12,Other,750,1000,900,
,26/01/2018,0.05,Other,750,1000,900,
,27/01/2018,0.11,Other,500,750,600,
,29/01/2018,0.16,Other,500,750,600,
,30/01/2018,0.11,Other,750,1000,900,
,31/01/2018,0.12,Other,750,1000,900,
Ankleshwar,01/01/2018,4,Cauliflower,1300,1750,1525,
,02/01/2018,3.49,Cauliflower,1150,1375,1350,
,03/01/2018,3.15,Cauliflower,1350,2025,1800,
,04/01/2018,2.92,Cauliflower,1300,1750,1525,
,05/01/2018,3.22,Cauliflower,1150,1375,1375,
,06/01/2018,3.33,Cauliflower,1125,1575,1350,
,08/01/2018,2.75,Cauliflower,1500,1950,1750,
,09/01/2018,3.23,Cauliflower,1250,1750,1600,
,10/01/2018,3.5,Cauliflower,1100,1500,1400,
