Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmedabad,02/07/2018,174.7,Other,1600,2200,1950,
,03/07/2018,69.8,Other,1500,2500,2100,
,04/07/2018,92,Other,1200,2000,1700,
,05/07/2018,124.4,Other,800,1800,1400,
,06/07/2018,96.7,Other,1000,1600,1400,
,07/07/2018,101.9,Other,800,2200,1600,
,09/07/2018,193.3,Other,1200,2000,1700,
,10/07/2018,56.1,Other,1000,2500,2100,
,11/07/2018,57.5,Other,1500,2800,2200,
,12/07/2018,96.8,Other,1000,2300,1750,
,13/07/2018,45.3,Other,1000,2200,1750,
,16/07/2018,141.3,Other,1000,2000,1600,
,17/07/2018,80.3,Other,500,2000,1350,
,18/07/2018,76.5,Other,1000,2000,1600,
,19/07/2018,106.6,Other,800,2000,1500,
,20/07/2018,95.7,Other,500,2000,1350,
,21/07/2018,54.5,Other,500,2000,1350,
,23/07/2018,162.4,Other,1200,2000,1700,
,24/07/2018,102.3,Other,1000,1800,1500,
,25/07/2018,155.7,Other,500,1400,1050,
,26/07/2018,78.1,Other,500,2000,1350,
,27/07/2018,123.6,Other,500,2000,1350,
,28/07/2018,160.3,Other,500,1500,1100,
,30/07/2018,261.4,Other,600,1500,1150,
,31/07/2018,195.2,Other,500,1500,1100,
Anand(Veg,Yard,Anand),02/07/2018,0.05,Other,1500,2000,1750,
,03/07/2018,0.05,Other,1500,2000,1750,
,04/07/2018,0.05,Other,1500,2000,1750,
,05/07/2018,0.07,Other,1500,2000,1750,
,06/07/2018,0.05,Other,1500,2000,1750,
,07/07/2018,0.06,Other,1500,2000,1750,
,09/07/2018,0.08,Other,1500,2000,1750,
,10/07/2018,0.07,Other,1500,1750,1600,
,11/07/2018,0.11,Other,1500,2000,1750,
,12/07/2018,0.07,Other,1500,2000,1750,
,13/07/2018,0.05,Other,1500,2000,1750,
,14/07/2018,0.05,Other,1500,2000,1750,
,16/07/2018,0.05,Other,1500,2000,1750,
,17/07/2018,0.07,Other,1500,1750,1600,
,18/07/2018,0.07,Other,1000,1500,1250,
,19/07/2018,0.07,Other,1500,2000,1750,
,20/07/2018,0.07,Other,1500,2000,1750,
,23/07/2018,0.06,Other,1500,2000,1750,
,24/07/2018,0.07,Other,1500,2000,1750,
,25/07/2018,0.07,Other,1500,2000,1750,
,26/07/2018,0.08,Other,1500,2000,1750,
,27/07/2018,0.07,Other,1500,2000,1750,
,28/07/2018,0.06,Other,1500,2000,1750,
,30/07/2018,0.07,Other,1500,2000,1750,
,31/07/2018,0.07,Other,1500,2000,1750,
Ankleshwar,02/07/2018,1.1,Cauliflower,1450,2150,1900,
,03/07/2018,1.11,Cauliflower,1400,3000,2750,
,05/07/2018,1.4,Cauliflower,2000,3300,2900,
,06/07/2018,1.5,Cauliflower,1700,2400,2150,
,,,Local,2600,3500,3275,
,07/07/2018,1.15,Cauliflower,1250,2150,1925,
,,,Local,2150,3450,3000,
,09/07/2018,2.25,Cauliflower,1375,2275,2050,
,,,Local,1900,3500,2800,
,10/07/2018,1.9,Cauliflower,1900,2600,2375,
,,,Local,2150,3050,2825,
,11/07/2018,2,Cauliflower,1700,2400,2150,
,,,Local,2150,3050,2850,
,12/07/2018,2.55,Cauliflower,1700,2100,1925,
,,,Local,1925,2600,2375,
,13/07/2018,2.47,Cauliflower,875,2175,1775,
,,,Local,1775,2675,2225,
,16/07/2018,2.32,Cauliflower,1900,2300,2125,
,,,Local,2350,3050,2800,
,17/07/2018,2.15,Cauliflower,2000,2900,2675,
,,,Local,2225,3525,3125,
,18/07/2018,2.25,Cauliflower,1250,2150,1925,
,,,Local,1700,3000,2600,
,19/07/2018,2.35,Cauliflower,1450,2150,1900,
,,,Local,2000,2900,2450,
,20/07/2018,1.37,Cauliflower,825,1525,1275,
,,,Local,1525,2425,2225,
,21/07/2018,2.19,Cauliflower,875,1575,1325,
,,,Local,1575,2475,2275,
,23/07/2018,1.04,Cauliflower,1325,2225,2025,
,,,Local,2025,2725,2475,
,24/07/2018,1.14,Cauliflower,875,1575,1325,
,,,Local,1325,2225,2000,
,25/07/2018,1.15,Cauliflower,1250,1650,1475,
,,,Local,2150,3450,3050,
,26/07/2018,1.7,Cauliflower,1500,1900,1725,
,,,Local,1725,2625,2400,
,27/07/2018,2.7,Cauliflower,1500,2175,1950,
,,,Local,2175,3075,2800,
,30/07/2018,2.1,Cauliflower,1325,2225,2025,
,,,Local,2150,2850,2600,
,31/07/2018,1.3,Cauliflower,1175,2075,1850,
,,,Local,2150,3050,2825,
Bharuch,01/07/2018,0.86,Other,1300,1500,1400,
,02/07/2018,1.32,Other,1300,1650,1400,
,03/07/2018,1.36,Other,1300,1650,1400,
,04/07/2018,1.44,Other,1300,1650,1500,
,05/07/2018,1.36,Other,1300,1600,1400,
,06/07/2018,1.32,Other,1300,1600,1400,
,07/07/2018,1.22,Other,1300,1750,1600,
,09/07/2018,1.22,Other,1300,1600,1400,
,10/07/2018,1.42,Other,1300,1600,1500,
,11/07/2018,1.56,Other,1300,1750,1500,
,12/07/2018,1.42,Other,1300,1600,1400,
,13/07/2018,1.22,Other,1400,1750,1600,
,15/07/2018,1.02,Other,1500,1850,1700,
,16/07/2018,1.08,Other,1500,2000,1700,
,17/07/2018,1.56,Other,1500,1850,1700,
,18/07/2018,1.52,Other,1500,1850,1700,
,19/07/2018,1.52,Other,1500,1800,1700,
,20/07/2018,1.32,Other,1500,1850,1700,
,21/07/2018,0.96,Other,1400,1850,1500,
,22/07/2018,1.02,Other,1500,1850,1750,
,23/07/2018,1.44,Other,1500,1850,1750,
,24/07/2018,1.02,Other,1500,1850,1700,
,25/07/2018,1.32,Other,1500,2000,1700,
,26/07/2018,1.02,Other,1500,2000,1700,
,27/07/2018,1.02,Other,1500,2000,1800,
Bilimora,04/07/2018,1.9,Other,1200,1600,1400,
,05/07/2018,2.34,Other,700,1800,1250,
,06/07/2018,1.08,Other,1200,3500,2350,
,09/07/2018,1.6,Other,1400,1600,1500,
,11/07/2018,1.07,Other,1000,3000,2000,
,12/07/2018,0.59,Other,1200,1400,1300,
,13/07/2018,0.88,Other,1400,3500,2450,
,14/07/2018,1.86,Other,3250,3500,3375,
,16/07/2018,3.92,Other,800,2500,1650,
,17/07/2018,2.28,Other,700,3250,1975,
,18/07/2018,1.74,Other,250,3500,300,
,19/07/2018,1.68,Other,3000,3250,3125,
,20/07/2018,0.52,Other,1000,1500,1250,
,21/07/2018,1.22, ,NR,NR,NR,
,23/07/2018,3.78,Other,1000,3000,2000,
,24/07/2018,4.35,Other,900,1500,1200,
,25/07/2018,4.4, ,NR,NR,NR,
,26/07/2018,5,Other,750,1200,975,
,27/07/2018,5.54,Other,600,2000,1300,
,28/07/2018,5, ,NR,NR,NR,
,30/07/2018,4.64,Other,800,2500,1650,
,31/07/2018,3.44, ,NR,NR,NR,
Dahod(Veg. Market),05/07/2018,0.32,Cauliflower,3000,3000,3000,
,06/07/2018,0.3,Cauliflower,1800,2000,2000,
,07/07/2018,0.36,Cauliflower,2000,2000,2000,
,08/07/2018,0.42,Cauliflower,1800,2200,2000,
,10/07/2018,0.46,Cauliflower,2000,2300,2200,
,11/07/2018,0.07,Cauliflower,1500,1500,1500,
,12/07/2018,0.12,Cauliflower,2000,2000,2000,
,13/07/2018,0.15,Cauliflower,1400,2000,1500,
,16/07/2018,0.1,Cauliflower,2800,3000,3000,
,18/07/2018,0.4,Cauliflower,2200,4000,3500,
,19/07/2018,0.91,Cauliflower,2000,2500,2300,
,20/07/2018,0.87,Cauliflower,1500,2000,2000,
,21/07/2018,1.16,Cauliflower,1500,2200,1800,
,22/07/2018,0.8,Cauliflower,1500,2200,2000,
,23/07/2018,0.97,Cauliflower,1800,2500,2200,
,24/07/2018,1.56,Cauliflower,1300,2000,1600,
,25/07/2018,1.62,Cauliflower,1000,2500,2000,
,26/07/2018,2.12,Cauliflower,1000,2200,1700,
,28/07/2018,2.54,Cauliflower,1500,2000,1700,
,29/07/2018,2.68,Cauliflower,1200,2200,1700,
,30/07/2018,2.82,Cauliflower,1400,2200,1700,
,31/07/2018,2.06, ,NR,NR,NR,
Dhari,19/07/2018,0.1,Cauliflower,2000,2500,2200,
,30/07/2018,0.01,Cauliflower,1000,1000,1000,
,31/07/2018,0.01,Cauliflower,2000,2500,2300,
Dhari(Chalala),19/07/2018,0.08,Cauliflower,1800,2500,2000,
,30/07/2018,0.01,Cauliflower,1000,1500,1200,
,31/07/2018,0.01,Cauliflower,1500,2200,1900,
Dholka(Koth),07/07/2018,20,Other,1000,1600,1200,
,09/07/2018,20,Other,1000,1600,1400,
,10/07/2018,20,Other,1500,2000,1700,
,12/07/2018,15,Other,1500,2000,1700,
,13/07/2018,20,Other,1200,1800,1600,
,18/07/2018,25,Other,1400,1900,1600,
,19/07/2018,25,Other,1400,2100,1900,
,20/07/2018,20,Other,1000,1500,1400,
,21/07/2018,20,Other,1000,1700,1500,
,23/07/2018,15,Other,1300,1700,1500,
,24/07/2018,15,Other,1500,1900,1800,
,25/07/2018,25,Other,1100,1700,1500,
,26/07/2018,20,Other,1500,1800,1700,
,27/07/2018,17,Other,1200,1700,1500,
,31/07/2018,20,Other,1400,2000,1600,
Gondal(Veg.market Gondal),01/07/2018,0.44,Cauliflower,1500,2500,2000,
,02/07/2018,0.5,Cauliflower,2500,3000,2750,
,03/07/2018,0.6,Cauliflower,2500,3000,2750,
,04/07/2018,0.95,Cauliflower,2500,3000,2750,
,05/07/2018,0.5,Cauliflower,2000,2500,2250,
,06/07/2018,0.55,Cauliflower,1500,2500,2000,
,07/07/2018,0.35,Cauliflower,1500,2500,2000,
,09/07/2018,0.85,Cauliflower,2000,2500,2250,
,10/07/2018,1.4,Cauliflower,2500,3000,2750,
,11/07/2018,0.65,Cauliflower,2000,2500,2250,
,12/07/2018,1.97,Cauliflower,2000,3000,2500,
,15/07/2018,0.85,Cauliflower,3000,3500,3250,
,16/07/2018,0.85,Cauliflower,2000,2500,2250,
,17/07/2018,1,Cauliflower,1000,1500,1250,
,18/07/2018,0.9,Cauliflower,2500,3000,2750,
,19/07/2018,0.55,Cauliflower,3000,4000,3500,
,20/07/2018,0.6,Cauliflower,2500,3000,2750,
,21/07/2018,0.55,Cauliflower,1500,2500,2000,
,23/07/2018,0.85,Cauliflower,2000,2500,2250,
,24/07/2018,0.55,Cauliflower,2500,3500,3000,
,25/07/2018,0.12,Cauliflower,2000,2500,2250,
,26/07/2018,0.55,Cauliflower,2500,3500,3000,
,27/07/2018,0.4,Cauliflower,2000,2500,2250,
,28/07/2018,0.6,Cauliflower,3000,3500,3250,
,30/07/2018,0.65,Cauliflower,2000,3000,2500,
,31/07/2018,0.85,Cauliflower,2500,3000,2750,
Kapadvanj,02/07/2018,0.3,Other,2000,2500,2250,
,03/07/2018,1,Other,2000,2500,2250,
,04/07/2018,1,Other,2000,2500,2250,
,16/07/2018,0.3,Other,1500,2000,1750,
,19/07/2018,0.3,Other,1500,2000,1750,
,20/07/2018,0.3,Other,1500,2000,1750,
,23/07/2018,0.1,Other,1500,2000,1750,
,24/07/2018,0.1,Other,2500,3000,2750,
,25/07/2018,0.1,Other,2500,3000,2750,
,26/07/2018,0.3,Other,2500,3000,2750,
,31/07/2018,0.2,Other,3500,4000,3750,
Mehsana(Mehsana Veg),02/07/2018,0.2,Cauliflower,2000,2300,2150,
,03/07/2018,0.7,Cauliflower,2200,2700,2500,
,04/07/2018,0.8,Cauliflower,1700,2600,2000,
,06/07/2018,0.6,Cauliflower,800,2000,1500,
,07/07/2018,0.5,Cauliflower,1500,1700,1600,
,09/07/2018,0.7,Cauliflower,1500,2000,1850,
,10/07/2018,0.9,Cauliflower,1500,2300,1900,
,12/07/2018,0.4,Cauliflower,2250,3000,2625,
,14/07/2018,0.2,Cauliflower,2000,2200,2125,
,16/07/2018,50,Cauliflower,2000,2300,2200,
,17/07/2018,0.3,Cauliflower,1500,2000,1750,
,18/07/2018,0.5,Cauliflower,1000,2500,2000,
,19/07/2018,0.7,Cauliflower,1000,2500,1750,
,20/07/2018,2.1,Cauliflower,1600,2500,2125,
,21/07/2018,2.2,Cauliflower,1600,2100,1900,
,23/07/2018,1.3,Cauliflower,1300,2000,1750,
,24/07/2018,2.4,Cauliflower,1500,1800,1700,
,25/07/2018,0.6,Cauliflower,1000,1200,1100,
,26/07/2018,0.3,Cauliflower,900,1200,1100,
,27/07/2018,0.2,Cauliflower,2000,2200,2125,
,28/07/2018,1.8,Cauliflower,1500,2200,1800,
,30/07/2018,3,Cauliflower,1200,2000,1700,
,31/07/2018,6,Cauliflower,1000,1700,1500,
Nadiyad(Piplag),18/07/2018,4.1,Cauliflower,1200,1800,1500,
,19/07/2018,5.7,Cauliflower,2500,3000,2750,
,20/07/2018,13.5,Cauliflower,2500,3100,2800,
,21/07/2018,4.4,Cauliflower,1200,1600,1400,
,23/07/2018,4.4,Cauliflower,1200,1600,1400,
,30/07/2018,2.8,Cauliflower,3500,4000,3750,
,31/07/2018,2.8,Cauliflower,3200,3600,3450,
Padra,02/07/2018,1.4,Other,2000,2250,2150,
,03/07/2018,0.9,Other,2000,2150,2075,
,04/07/2018,1,Other,2000,2250,2150,
,05/07/2018,2,Other,1750,3750,2750,
,06/07/2018,1.1,Other,1300,1500,1400,
,07/07/2018,1.2,Other,1000,1750,1400,
,09/07/2018,1.6,Other,1750,3000,2400,
,10/07/2018,1.3,Other,1500,3250,2400,
,11/07/2018,1.6,Other,1500,3000,2250,
,12/07/2018,1.5,Other,1250,2750,2000,
,13/07/2018,1.6,Other,2000,2500,2250,
,14/07/2018,1.5,Other,2000,2400,2200,
,16/07/2018,1.6,Other,1750,2000,1900,
,17/07/2018,0.8,Other,1500,2000,1750,
,18/07/2018,0.7,Other,1750,2000,1900,
,19/07/2018,0.6,Other,2000,2250,2125,
,20/07/2018,1,Other,1750,3000,2400,
,21/07/2018,1.3,Other,1500,3000,2250,
,23/07/2018,0.9,Other,1500,2500,2000,
,24/07/2018,0.8,Other,1500,2250,1900,
,25/07/2018,0.7,Other,2500,3000,2750,
,26/07/2018,0.8,Other,1500,2000,1750,
,28/07/2018,0.7,Other,1250,1500,1400,
,30/07/2018,1.1,Other,1300,1500,1400,
,31/07/2018,0.9,Other,1500,2000,1750,
Surat,01/07/2018,58,Other,1300,3750,2525,
,02/07/2018,55,Other,1300,3750,2525,
,03/07/2018,63,Other,1300,3750,2525,
,04/07/2018,58,Other,1200,3500,2350,
,05/07/2018,65,Other,1300,3750,2525,
,06/07/2018,60,Other,1300,3750,2525,
,07/07/2018,58,Other,1000,3750,2375,
,08/07/2018,58,Other,1100,3750,2425,
,09/07/2018,54,Other,1200,3500,2350,
,10/07/2018,52,Other,1200,3500,2350,
,11/07/2018,51,Other,1200,3500,2350,
,12/07/2018,58,Other,800,3500,2150,
,13/07/2018,48,Other,700,3500,2100,
,14/07/2018,55,Other,800,3250,2025,
,15/07/2018,40,Other,1300,3500,2400,
,16/07/2018,40,Other,1000,3500,2250,
,17/07/2018,46,Other,1300,3500,2400,
,18/07/2018,60,Other,1000,3500,2250,
,19/07/2018,45,Other,500,3250,1875,
,20/07/2018,48,Other,1200,3250,2225,
,21/07/2018,48,Other,1200,3250,2225,
,22/07/2018,45,Other,700,2750,1725,
,23/07/2018,48,Other,1000,3000,2000,
,24/07/2018,56,Other,1000,3000,2000,
,25/07/2018,52,Other,800,2750,1775,
,26/07/2018,48,Other,800,2750,1775,
,27/07/2018,50,Other,800,2750,1775,
,28/07/2018,47,Other,600,2500,1550,
,29/07/2018,54,Other,800,2500,1650,
,30/07/2018,52,Other,1000,3000,2000,
,31/07/2018,52,Other,800,2750,1775,
Vadhvan,04/07/2018,0.8,Cauliflower,1500,2000,1750,
,05/07/2018,0.8,Cauliflower,1500,2000,1750,
,06/07/2018,0.5,Cauliflower,2000,2500,2250,
,11/07/2018,0.2,Cauliflower,1500,2000,1750,
,14/07/2018,1.7,Cauliflower,1500,2000,1750,
,17/07/2018,0.8,Cauliflower,2000,2500,2250,
,23/07/2018,0.6,Cauliflower,3000,3500,3250,
,25/07/2018,3,Cauliflower,2250,2750,2500,
,31/07/2018,3.3,Cauliflower,2500,3000,2750,
Vadodara(Sayajipura),01/07/2018,31.9,Other,1250,1500,1400,
,02/07/2018,20.4,Other,1000,1500,1300,
,03/07/2018,18.1,Other,1000,2000,1550,
,04/07/2018,34.2,Other,1000,2000,1550,
,05/07/2018,21.6,Other,1250,1600,1450,
,06/07/2018,22.7,Other,800,1500,1175,
,07/07/2018,24.6,Other,1000,1200,1150,
,08/07/2018,23.7,Other,1000,1200,1150,
,09/07/2018,28.3, ,NR,NR,NR,
,10/07/2018,21.1,Other,1000,1200,1150,
,14/07/2018,19.1,Other,1000,1500,1300,
,15/07/2018,35,Other,1100,1600,1400,
,16/07/2018,14.5,Other,1100,1600,1400,
,17/07/2018,21.8,Other,1250,1500,1400,
,18/07/2018,20.8,Other,1250,1500,1400,
,19/07/2018,45.1,Other,1250,1800,1550,
,20/07/2018,11.5,Other,1500,2000,1800,
,21/07/2018,15,Other,1000,1200,1150,
,23/07/2018,36.1,Other,1000,1200,1150,
,24/07/2018,39,Other,1000,1500,1300,
,25/07/2018,39.5,Other,1000,1200,1150,
,26/07/2018,22.2,Other,1000,1200,1150,
,27/07/2018,33.6,Other,800,1000,925,
,28/07/2018,71.4,Other,800,1000,925,
,29/07/2018,68.4,Other,800,1000,925,
,30/07/2018,50.9,Other,800,1000,925,
Vankaner(Sub yard),16/07/2018,0.1,Other,4000,5000,4500,
,23/07/2018,0.1,Other,4000,5000,4500,
,26/07/2018,0.1,Other,5000,6000,5500,
,28/07/2018,0.1,Other,4000,5000,4500,
,31/07/2018,0.1,Other,4000,5000,4500,
Vyra,16/07/2018,0.2,Other,2500,3000,2750,
,17/07/2018,0.18,Other,2500,3000,2750,
,19/07/2018,0.22,Other,1250,1750,1500,
,20/07/2018,0.21,Other,1750,2250,2000,
,21/07/2018,0.11,Other,1500,2000,1750,
,26/07/2018,0.38,Other,800,1000,900,
,30/07/2018,0.18,Other,1000,1500,1250,
,31/07/2018,0.12,Other,3000,3500,3250,
