Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmedabad,01/05/2018,74.8,Other,500,1600,1150,
,02/05/2018,76.3,Other,800,1500,1250,
,03/05/2018,64.3,Other,900,1700,1400,
,04/05/2018,53.6,Other,700,2000,1450,
,05/05/2018,74.9,Other,900,1800,1450,
,07/05/2018,89.2,Other,1000,1700,1450,
,08/05/2018,52.3,Other,1000,2000,1450,
,09/05/2018,67.4,Other,800,2250,1550,
,10/05/2018,53.6,Other,1000,2000,1600,
,11/05/2018,32.1,Other,1000,2500,1850,
,12/05/2018,40,Other,1000,2600,1850,
,14/05/2018,82.3,Other,1200,2500,1950,
,15/05/2018,68.4,Other,1000,2000,1600,
,16/05/2018,65.9,Other,1000,2500,1850,
,17/05/2018,52.9,Other,1000,2500,1850,
,18/05/2018,54,Other,700,2500,1700,
,19/05/2018,51.1,Other,500,2250,1500,
,21/05/2018,65.2,Other,1000,2500,1850,
,22/05/2018,42.5,Other,1300,2500,1950,
,23/05/2018,46.1,Other,1000,2500,1850,
,24/05/2018,47.7,Other,1000,2500,1850,
,25/05/2018,55.1,Other,1000,2500,1850,
,26/05/2018,57.7,Other,1000,2750,1950,
,28/05/2018,108.9,Other,1200,2800,2100,
,29/05/2018,66.9,Other,700,2800,1850,
,30/05/2018,55.6,Other,1000,2750,1950,
,31/05/2018,85.4,Other,1000,2500,1850,
Anand(Veg,Yard,Anand),01/05/2018,0.03,Other,750,1000,900,
,02/05/2018,0.04,Other,750,1000,900,
,03/05/2018,0.04,Other,1000,1250,1150,
,07/05/2018,0.06,Other,1250,1500,1400,
,09/05/2018,0.02,Other,1500,2000,1750,
,10/05/2018,0.03,Other,1000,1250,1100,
,11/05/2018,0.03,Other,1250,2500,2000,
,15/05/2018,0.02,Other,1500,1750,1600,
,17/05/2018,0.03,Other,1500,1750,1650,
,18/05/2018,0.04,Other,1500,1750,1650,
,19/05/2018,0.02,Other,1500,2000,1750,
