Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Asandh,01/07/2019,0.5,Other,1400,1800,1650,
,02/07/2019,0.3,Other,1500,1600,1550,
,04/07/2019,0.3,Other,1250,1500,1450,
,11/07/2019,0.4,Other,1200,1500,1450,
,15/07/2019,0.3,Other,1250,1500,1450,
,16/07/2019,0.5,Other,1400,1600,1550,
,17/07/2019,0.4,Other,1200,1500,1450,
,18/07/2019,0.4,Other,1200,1500,1450,
,19/07/2019,0.5,Other,1400,1600,1550,
,22/07/2019,0.2,Other,1200,1500,1450,
,23/07/2019,0.5,Other,1100,1500,1400,
,24/07/2019,0.5,Other,1100,1400,1350,
,25/07/2019,0.6,Other,1100,1400,1350,
,26/07/2019,0.4,Other,1200,1600,1550,
,27/07/2019,0.4,Other,1200,1600,1550,
,28/07/2019,0.3,Other,1200,1600,1500,
,29/07/2019,0.4,Other,1200,1600,1550,
,30/07/2019,0.4,Other,1200,1600,1500,
,31/07/2019,0.5,Other,1600,1800,1750,
Ballabhgarh,03/07/2019,1.6,Other,1800,2000,1900,
,04/07/2019,1.2,Other,1800,2000,1900,
,05/07/2019,0.6,Other,1800,2000,1900,
,12/07/2019,1.5,Other,2000,2500,2200,
,16/07/2019,1.2,Other,2000,2500,2200,
,17/07/2019,1.2,Other,2000,2500,2200,
,18/07/2019,1,Other,2500,3000,2700,
,29/07/2019,2.5,Other,2000,2500,2200,
Barara,20/07/2019,0.3,Other,2500,3000,2500,
,21/07/2019,0.3,Other,2500,3000,2500,
,23/07/2019,0.2,Other,2500,3000,2500,
,25/07/2019,0.8,Other,2500,3000,2500,
,26/07/2019,0.3,Other,3500,4000,3500,
Barwala(Hisar),05/07/2019,4,Other,1800,2000,1900,
,06/07/2019,2,Other,2000,2000,2000,
,07/07/2019,1,Other,2500,2500,2500,
,08/07/2019,1,Other,2500,2500,2500,
,10/07/2019,3,Other,2400,2500,2500,
,18/07/2019,2,Other,2500,2500,2500,
Bhiwani,08/07/2019,6,Other,1400,1500,1450,
,10/07/2019,9,Other,1100,1200,1150,
,11/07/2019,5,Other,1500,1600,1550,
Cheeka,04/07/2019,0.02,Other,3500,3500,3500,
Faridabad,01/07/2019,2,Cauliflower,2000,2500,2250,
,02/07/2019,1.2,Cauliflower,2000,3000,2500,
,03/07/2019,2.2,Cauliflower,2000,3000,2500,
,04/07/2019,3,Cauliflower,2000,2500,2250,
