Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bangarpet,17/04/2018,1,Local,800,1000,900,
Binny Mill (F&V), Bangalore,05/04/2018,8,Cauliflower,1000,1200,1100,
,07/04/2018,13,Cauliflower,100,1400,1200,
,09/04/2018,6,Cauliflower,1000,1400,1200,
,10/04/2018,7,Cauliflower,1000,1400,1200,
,12/04/2018,5,Cauliflower,1000,1400,1200,
,13/04/2018,5,Cauliflower,1000,1400,1200,
,19/04/2018,4,Cauliflower,1200,1500,1300,
,26/04/2018,5,Cauliflower,1200,1400,1300,
Chickkaballapura,01/04/2018,25,Cauliflower,4,6,5,
,02/04/2018,50,Cauliflower,4,6,5,
,03/04/2018,100,Cauliflower,4,5,5,
,04/04/2018,100,Cauliflower,4,6,5,
,06/04/2018,125,Cauliflower,6,8,7,
,10/04/2018,190,Cauliflower,4,6,5,
,11/04/2018,150,Cauliflower,4,6,5,
,12/04/2018,125,Cauliflower,4,6,5,
,14/04/2018,100,Cauliflower,4,6,5,
,16/04/2018,150,Cauliflower,4,6,5,
,17/04/2018,200,Cauliflower,4,6,5,
,25/04/2018,150,Cauliflower,14,16,15,
,26/04/2018,100,Cauliflower,14,16,15,
,27/04/2018,150,Cauliflower,14,16,15,
,28/04/2018,1500,Cauliflower,14,16,15,
,29/04/2018,100,Cauliflower,14,16,15,
,30/04/2018,150,Cauliflower,14,16,15,
Chikkamagalore,02/04/2018,1,Local,625,625,625,
,03/04/2018,6,Local,510,710,610,
,04/04/2018,10,Local,542,742,642,
,05/04/2018,3,Local,625,625,625,
,06/04/2018,7,Local,520,720,620,
,07/04/2018,13,Local,523,723,623,
,09/04/2018,10,Local,540,740,640,
,11/04/2018,15,Local,516,716,616,
,13/04/2018,2,Local,587,787,687,
,16/04/2018,14,Local,540,740,640,
,17/04/2018,3,Local,606,606,606,
,27/04/2018,22,Local,518,718,618,
,28/04/2018,8,Local,514,714,614,
,30/04/2018,13,Local,651,851,751,
Davangere,06/04/2018,2,Cauliflower,1000,1200,1100,
,13/04/2018,1,Cauliflower,1500,2000,1750,
,20/04/2018,2,Cauliflower,1000,1500,1250,
,27/04/2018,6,Cauliflower,2000,2000,2000,
Doddaballa Pur,04/04/2018,1,Cauliflower,1000,1500,1200,
,06/04/2018,1,Cauliflower,1000,1500,1200,
,11/04/2018,1,Cauliflower,1000,1500,1250,
,19/04/2018,1,Cauliflower,1000,1500,1200,
,24/04/2018,1,Cauliflower,1000,1500,1200,
,25/04/2018,1,Cauliflower,1000,1500,1200,
,27/04/2018,1,Cauliflower,1000,1500,1200,
Hassan,04/04/2018,7,Local,923,923,923,
,13/04/2018,6,Local,877,877,877,
Kolar,01/04/2018,7,Local,800,1000,900,
,02/04/2018,7,Local,800,1000,900,
,03/04/2018,15,Local,800,1000,900,
,04/04/2018,8,Local,800,1000,900,
,05/04/2018,4,Local,800,1000,900,
,06/04/2018,7,Local,800,1500,1000,
,08/04/2018,23,Local,800,1000,900,
,09/04/2018,11,Local,1000,1200,1100,
,10/04/2018,7,Local,800,1000,900,
,11/04/2018,8,Local,800,1000,900,
,12/04/2018,5,Local,1500,2000,1700,
,15/04/2018,6,Local,1000,1200,1100,
,16/04/2018,8,Local,800,1000,900,
,17/04/2018,17,Local,150,200,170,
,18/04/2018,4,Local,800,1000,900,
,19/04/2018,8,Local,800,1000,900,
,26/04/2018,7,Local,1000,1500,1300,
,27/04/2018,8,Local,1000,1500,1300,
,29/04/2018,11,Local,1500,2000,1700,
,30/04/2018,4,Local,1000,1500,1300,
Mysore (Bandipalya),01/04/2018,3,Local,500,600,550,
,02/04/2018,10,Local,500,600,550,
,03/04/2018,13,Local,300,400,350,
,04/04/2018,17,Local,300,400,350,
,05/04/2018,13,Local,400,500,450,
,06/04/2018,15,Local,500,600,550,
,08/04/2018,15,Local,600,800,700,
,09/04/2018,13,Local,700,800,750,
,10/04/2018,15,Local,700,800,750,
,11/04/2018,17,Local,600,800,700,
,12/04/2018,16,Local,600,800,700,
,14/04/2018,12,Local,700,800,750,
,15/04/2018,7,Local,700,800,750,
,16/04/2018,15,Local,600,800,700,
,25/04/2018,12,Local,1700,1900,1800,
,26/04/2018,13,Local,1800,2000,1900,
,27/04/2018,12,Local,1800,2000,1900,
,29/04/2018,11,Local,1600,1800,1700,
,30/04/2018,12,Local,1200,1500,1400,
