Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Betul,11/07/2018,0.4,African Sarson,4000,5000,4500,
,27/07/2018,0.1, ,NR,NR,NR,
Bhopal(F&V),02/07/2018,16,Other,400,800,600,
,07/07/2018,4,Other,400,800,600,
,08/07/2018,3,Other,600,1000,800,
,10/07/2018,2,Other,600,1000,800,
,12/07/2018,3.5,Other,600,1000,800,
,13/07/2018,5,Other,600,1000,800,
,15/07/2018,4.5,Other,800,1200,1000,
,17/07/2018,6.5,Other,800,1200,1000,
,20/07/2018,4,Other,800,1200,1000,
,21/07/2018,2.5,Other,800,1200,1000,
,23/07/2018,7.5,Other,800,1200,1000,
,25/07/2018,7.3,Other,400,800,600,
,26/07/2018,2,Other,400,800,600,
,28/07/2018,10,Other,400,800,600,
,29/07/2018,8,Other,400,800,600,
,30/07/2018,8,Other,400,800,600,
,31/07/2018,5,Other,800,1200,1000,
Burhanpur(F&V),01/07/2018,0.1,Local,1000,1500,1200,
,02/07/2018,0.1,Local,1000,1500,1200,
,03/07/2018,0.2,Local,800,1000,900,
,04/07/2018,0.2,African Sarson,800,1000,900,
,05/07/2018,0.1,Local,800,1200,1000,
,06/07/2018,0.2,Local,800,1000,900,
,07/07/2018,0.2,Local,600,1000,900,
,08/07/2018,0.2,Local,500,1000,700,
,09/07/2018,0.1,Local,1000,3000,2000,
,10/07/2018,0.1,Local,2000,3000,2000,
,11/07/2018,0.2, ,NR,NR,NR,
,12/07/2018,0.2,Local,800,1200,1000,
,13/07/2018,0.2,Local,700,1000,800,
,14/07/2018,0.2,Local,600,1200,800,
,15/07/2018,0.1,Local,1500,2000,1800,
,16/07/2018,0.2,Local,600,1000,800,
,17/07/2018,0.2,Local,800,1200,1000,
,18/07/2018,0.4,Local,600,1000,800,
,19/07/2018,0.4,Local,500,1000,800,
,20/07/2018,0.3,Local,500,800,600,
,21/07/2018,0.5,Local,500,1000,800,
,23/07/2018,0.3,Local,600,1000,800,
,24/07/2018,0.4,Local,500,1000,600,
,25/07/2018,0.2,Local,500,1000,700,
,26/07/2018,0.1,Local,2000,2500,2000,
,27/07/2018,0.2,Local,1500,3000,2500,
,28/07/2018,0.2,Local,1500,2500,2000,
,29/07/2018,0.2,Local,700,1000,800,
,30/07/2018,0.2,Local,700,1000,800,
,31/07/2018,0.2,Local,600,1000,700,
Chhindwara(F&V),01/07/2018,4.68,Other,200,400,300,
,02/07/2018,2.4,Other,400,600,500,
,03/07/2018,2.8,Other,400,500,450,
,04/07/2018,2.8,Other,400,600,500,
,05/07/2018,2.01,Other,400,600,500,
,06/07/2018,2.96,Other,400,600,500,
,08/07/2018,4,Other,400,600,500,
,09/07/2018,4,Other,400,600,500,
,10/07/2018,1.4,Other,300,500,400,
,11/07/2018,4.2,Other,400,700,500,
,12/07/2018,4.48, ,NR,NR,NR,
,13/07/2018,1.28,Other,500,700,600,
,14/07/2018,2.8,Other,400,600,500,
,15/07/2018,0.2,Other,400,600,500,
,18/07/2018,4.64,Other,400,600,500,
,19/07/2018,0.56,Other,400,600,500,
,20/07/2018,0.24,Other,400,600,500,
,21/07/2018,0.12,Other,400,600,500,
,22/07/2018,0.24,Other,400,600,500,
,24/07/2018,0.36,Other,400,600,500,
,25/07/2018,0.16,Other,400,600,500,
,26/07/2018,0.72,Other,400,600,500,
,27/07/2018,0.32,Other,400,600,500,
,28/07/2018,0.16,Other,400,600,500,
,29/07/2018,0.8,Other,400,600,500,
,31/07/2018,1.8,Other,500,700,600,
Dewas(F&V),01/07/2018,0.3,Other,800,1000,900,
,05/07/2018,0.2,Other,1350,1950,1650,
,08/07/2018,0.4,Other,1050,1950,1500,
,09/07/2018,0.3,Other,1150,2150,1650,
,10/07/2018,0.6,Other,900,1800,1350,
,11/07/2018,0.2,Other,1150,1750,1450,
,13/07/2018,0.3,Other,950,1650,1300,
,14/07/2018,0.4,Other,800,1600,1200,
,15/07/2018,0.6,Other,950,1750,1350,
,16/07/2018,0.2,Other,1150,1950,1550,
,17/07/2018,0.2,Other,800,1000,900,
,18/07/2018,0.4,Other,750,1250,1000,
,19/07/2018,0.3,Other,950,1650,1300,
,23/07/2018,0.2,Other,1200,1800,1500,
,24/07/2018,0.6,Other,700,900,800,
,25/07/2018,0.8,Other,650,950,800,
,26/07/2018,0.7,Other,700,900,800,
,27/07/2018,0.2,Other,850,1250,1050,
,28/07/2018,0.3,Other,900,1100,1000,
Dhamnod,20/07/2018,0.4,Other,500,700,600,
,21/07/2018,0.4,Other,600,700,650,
,28/07/2018,0.6,Other,600,850,800,
,29/07/2018,0.9,Other,600,700,650,
,30/07/2018,0.9,Other,600,700,650,
,31/07/2018,0.3,Other,650,750,700,
Haatpipliya,02/07/2018,0.03,Cauliflower,1500,1800,1650,
,05/07/2018,0.04,Cauliflower,1200,1500,1350,
,11/07/2018,0.07,Cauliflower,1000,1800,1400,
,12/07/2018,0.07,Cauliflower,1000,2000,1500,
,13/07/2018,0.1,Cauliflower,1000,1800,1400,
,14/07/2018,0.07,Cauliflower,1000,2000,1500,
,16/07/2018,0.09,Cauliflower,800,1400,1100,
,18/07/2018,0.07,Cauliflower,1000,2000,1500,
,21/07/2018,0.05,Cauliflower,1500,2200,2000,
,22/07/2018,0.05,Cauliflower,1600,2500,2000,
,23/07/2018,0.04,Cauliflower,1500,3000,2200,
,24/07/2018,0.04,Cauliflower,1500,3000,2500,
,25/07/2018,0.06,Cauliflower,1400,2000,1600,
,26/07/2018,0.06,Cauliflower,1500,2000,1800,
,27/07/2018,0.05,Cauliflower,1200,2500,2000,
,28/07/2018,0.05,Cauliflower,1500,2200,2000,
,29/07/2018,0.06,Cauliflower,1500,2000,1600,
,30/07/2018,0.04,Cauliflower,1600,3000,2500,
,31/07/2018,0.06,Cauliflower,1500,2000,1800,
Harda(F&V),02/07/2018,0.2,Other,2500,3500,3000,
,19/07/2018,0.1,Other,2000,2500,2200,
Indore(F&V),02/07/2018,30,Local,1000,2000,1500,
,03/07/2018,4,Local,1000,2000,1500,
,05/07/2018,4.5, ,NR,NR,NR,
,06/07/2018,200, ,NR,NR,NR,
,07/07/2018,150, ,NR,NR,NR,
,09/07/2018,100, ,NR,NR,NR,
,10/07/2018,150,Local,500,1500,1000,
,11/07/2018,155,Local,500,1500,1000,
,12/07/2018,15,Local,1000,2000,1500,
,13/07/2018,80, ,NR,NR,NR,
,14/07/2018,1.95,Local,800,2000,1500,
,16/07/2018,10,Local,800,2000,1500,
,17/07/2018,17,Local,1000,2000,1500,
,18/07/2018,11,Local,300,1000,800,
,19/07/2018,15,Local,800,1500,1200,
,20/07/2018,20,Local,400,1000,600,
,21/07/2018,18,Local,400,1000,800,
,23/07/2018,20,Local,500,1000,800,
,24/07/2018,25,Local,400,1000,600,
,25/07/2018,21,Local,400,1000,800,
,26/07/2018,25,Local,600,1000,800,
,27/07/2018,22,Local,400,1000,800,
,28/07/2018,20,Local,400,1000,800,
,30/07/2018,180,Local,400,1500,1000,
