Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Azadpur,01/04/2019,45.8,Cauliflower,1250,2250,1833,
,02/04/2019,118.7,Cauliflower,1250,2000,1617,
,03/04/2019,92,Cauliflower,1000,1750,1400,
,04/04/2019,87,Cauliflower,1000,1750,1400,
,05/04/2019,107.2,Cauliflower,1000,1750,1400,
,06/04/2019,85.3,Cauliflower,1000,1750,1400,
,08/04/2019,69.5,Cauliflower,1000,1750,1400,
,09/04/2019,125,Cauliflower,1000,1750,1400,
,10/04/2019,122.8,Cauliflower,1000,1750,1400,
,11/04/2019,129,Cauliflower,1000,1750,1400,
,12/04/2019,115,Cauliflower,750,1625,1333,
,13/04/2019,127.4,Cauliflower,750,1625,1333,
,15/04/2019,79.9,Cauliflower,750,1500,1317,
,16/04/2019,115.6,Cauliflower,750,1500,1317,
,17/04/2019,98.8,Cauliflower,1000,1500,1317,
,18/04/2019,132,Cauliflower,1000,1500,1317,
,19/04/2019,76.9,Cauliflower,1000,1500,1317,
,20/04/2019,82.2,Cauliflower,1000,1500,1317,
,22/04/2019,64.9,Cauliflower,1100,2000,1583,
,23/04/2019,99.3,Cauliflower,1100,2000,1583,
,24/04/2019,78.1,Cauliflower,1100,2000,1583,
,25/04/2019,85.7,Cauliflower,1100,2000,1500,
,26/04/2019,84.6,Cauliflower,1100,2000,1500,
,27/04/2019,89,Cauliflower,1100,2000,1500,
,29/04/2019,36.6,Cauliflower,1100,2000,1583,
,30/04/2019,40.4,Cauliflower,1100,2000,1583,
Keshopur,01/04/2019,72.8,Cauliflower,1000,1700,1400,
,04/04/2019,55,Cauliflower,1000,1600,1300,
,05/04/2019,66.59,Cauliflower,1000,1600,1300,
,06/04/2019,72.03,Cauliflower,500,1100,800,
,07/04/2019,62.25,Cauliflower,800,1600,1200,
,08/04/2019,80.05,Cauliflower,800,1600,1200,
,09/04/2019,91.65,Cauliflower,800,1500,1200,
,11/04/2019,77,Cauliflower,600,1600,1100,
,13/04/2019,87.5,Cauliflower,600,1400,1000,
,14/04/2019,69.38,Cauliflower,700,1500,1100,
,15/04/2019,73.1,Cauliflower,600,1200,900,
,16/04/2019,72.55,Cauliflower,900,1600,1300,
,18/04/2019,46.5,Cauliflower,1000,1600,1300,
,19/04/2019,48.25,Cauliflower,1100,1700,1400,
,20/04/2019,43.63,Cauliflower,800,1600,1200,
,21/04/2019,39.58,Cauliflower,700,1300,1000,
,22/04/2019,37.27,Cauliflower,700,1600,1200,
,23/04/2019,43.08,Cauliflower,800,1600,1300,
,25/04/2019,48.58,Cauliflower,600,1600,1100,
,26/04/2019,47.73,Cauliflower,800,1600,1300,
,27/04/2019,47.73,Cauliflower,1000,1600,1400,
,29/04/2019,32.4,Cauliflower,1200,2600,1900,
Shahdara,01/04/2019,34.85,Cauliflower,1400,1800,1600,
,02/04/2019,31.22,Cauliflower,1400,1600,1500,
,03/04/2019,37.95,Cauliflower,1200,1600,1400,
,04/04/2019,40.07,Cauliflower,1200,1600,1400,
,05/04/2019,39.32,Cauliflower,1200,1800,1500,
,06/04/2019,48.2,Cauliflower,1200,1600,1400,
,07/04/2019,43.3,Cauliflower,1200,1600,1400,
,08/04/2019,56.48,Cauliflower,1000,1400,1200,
,09/04/2019,44.27,Cauliflower,1400,1600,1500,
,10/04/2019,36.15,Cauliflower,1200,1800,1500,
,11/04/2019,60.38,Cauliflower,1400,1600,1500,
,13/04/2019,35.09,Cauliflower,1400,2000,1500,
,14/04/2019,36.4,Cauliflower,1400,2000,1800,
,15/04/2019,39.1,Cauliflower,1500,2000,1800,
,17/04/2019,33.54,Cauliflower,1300,1500,1400,
,18/04/2019,27.28,Cauliflower,1400,1600,1500,
,19/04/2019,29.01,Cauliflower,1400,1600,1500,
,20/04/2019,46.16,Cauliflower,1400,1600,1500,
,21/04/2019,22.6,Cauliflower,1400,1600,1500,
,22/04/2019,42.86,Cauliflower,1400,1600,1500,
,23/04/2019,36.81,Cauliflower,1400,1800,1600,
,24/04/2019,53.96,Cauliflower,1400,2000,1600,
,25/04/2019,29.08,Cauliflower,1200,2000,1400,
,26/04/2019,39.6,Cauliflower,1500,2500,2000,
,27/04/2019,30.15,Cauliflower,1400,1800,1600,
,28/04/2019,17.09,Cauliflower,1400,1800,1600,
,29/04/2019,24.29,Cauliflower,1400,1800,1600,
,30/04/2019,20.87,Cauliflower,1400,2000,1700,
